COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP President,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP US Senator,"REP US Representative, Dist 28","REP US Representative, Dist 28","REP US Representative, Dist 28",REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP Chief Justice, Supreme Court","REP Chief Justice, Supreme Court","REP Chief Justice, Supreme Court","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 6","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 7","REP Justice, Supreme Court, Pl 8","REP Justice, Supreme Court, Pl 8","REP Justice, Supreme Court, Pl 8","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 3","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 4","REP Judge, Ct of Crim App, Pl 9","REP Judge, Ct of Crim App, Pl 9","REP Judge, Ct of Crim App, Pl 9","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP Member, State BoE, Dist 1","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 19","REP State Senator, Dist 21","REP State Senator, Dist 21","REP State Senator, Dist 21","REP State Representative, Dist 31","REP State Representative, Dist 31","REP State Representative, Dist 31","REP Chief Justice, 4th Ct of App Dist","REP Chief Justice, 4th Ct of App Dist","REP Chief Justice, 4th Ct of App Dist","REP Dist Attorney, 81st Judicial Dist","REP Dist Attorney, 81st Judicial Dist","REP Dist Attorney, 81st Judicial Dist",REP County Attorney,REP County Attorney,REP County Attorney,REP Sheriff,REP Sheriff,REP Sheriff,REP Sheriff,REP County Tax Assessor-Collector,REP County Tax Assessor-Collector,REP County Tax Assessor-Collector,REP County Commissioner,REP County Commissioner,REP County Commissioner,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP Constable,REP County Chair,REP County Chair,REP County Chair,REP County Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Precinct Chair,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 1,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 2,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 3,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 4,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 5,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 6,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 7,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 8,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 9,REP Proposition 10,REP Proposition 10,REP Proposition 10,REP Proposition 10,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM President,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,DEM US Senator,"DEM US Representative, Dist 28","DEM US Representative, Dist 28","DEM US Representative, Dist 28","DEM US Representative, Dist 28",DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,DEM Railroad Commissioner,"DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Chief Justice, Supreme Court","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 6","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 7","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Justice, Supreme Court, Pl 8","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 3","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 4","DEM Judge, Ct of Crim App, Pl 9","DEM Judge, Ct of Crim App, Pl 9","DEM Judge, Ct of Crim App, Pl 9","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM Member, State BoE, Dist 1","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 19","DEM State Senator, Dist 21","DEM State Senator, Dist 21","DEM State Senator, Dist 21","DEM State Representative, Dist 31","DEM State Representative, Dist 31","DEM State Representative, Dist 31","DEM Chief Justice, 4th Ct of App Dist","DEM Chief Justice, 4th Ct of App Dist","DEM Chief Justice, 4th Ct of App Dist",DEM Sheriff,DEM Sheriff,DEM Sheriff,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM County Commissioner,DEM Constable,DEM Constable,DEM Constable,DEM Constable,DEM County Chair,DEM County Chair,DEM County Chair,DEM Proposition #1,DEM Proposition #1,DEM Proposition #1,DEM Proposition #1,DEM Proposition #2,DEM Proposition #2,DEM Proposition #2,DEM Proposition #2,DEM Proposition #3,DEM Proposition #3,DEM Proposition #3,DEM Proposition #3,DEM Proposition #4,DEM Proposition #4,DEM Proposition #4,DEM Proposition #4,DEM Proposition #5,DEM Proposition #5,DEM Proposition #5,DEM Proposition #5,DEM Proposition #6,DEM Proposition #6,DEM Proposition #6,DEM Proposition #6,DEM Proposition #7,DEM Proposition #7,DEM Proposition #7,DEM Proposition #7,DEM Proposition #8,DEM Proposition #8,DEM Proposition #8,DEM Proposition #8,DEM Proposition #9,DEM Proposition #9,DEM Proposition #9,DEM Proposition #9,DEM Proposition #10,DEM Proposition #10,DEM Proposition #10,DEM Proposition #10,DEM Proposition #11,DEM Proposition #11,DEM Proposition #11,DEM Proposition #11
ATASC,2,VB #2,0,0,0,0,17,3,14,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,2,1,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,1,0,0,2,0,1,3,0,0,3,0,0,3,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,0,0,3,0,0,0,3,0,0,0,2,1,0,0,2,1,0,0,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0,0,0,4,1,3,0,0,0,0,0,0,2,0,0,0,0,3,1,0,6,0,1,0,0,2,0,1,1,1,0,0,0,2,6,8,0,0,5,4,1,2,0,2,6,6,0,2,3,10,0,1,3,9,0,2,8,3,0,3,11,2,0,0,1,11,1,0,2,9,0,5,9,0,5,5,2,5,0,2,0,0,0,9,0,5,12,0,2,12,0,2,0,0,0,0,0,0,0,0,0,0,13,0,1,12,2,0,0,14,0,0,0,14,0,0,0,13,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,13,0,0,1,13,1,0,0,13,1,0,0
ATASC,2,VB #2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,3,VB #3,0,0,0,0,196,115,81,0,0,0,99,2,0,2,0,0,11,0,1,15,13,72,10,1,0,4,107,0,8,81,27,0,7,112,0,3,109,0,6,110,0,5,108,0,7,63,42,0,10,109,0,6,109,0,6,108,0,7,110,0,5,0,0,0,108,0,7,107,0,8,111,0,4,109,0,6,85,28,0,2,112,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,16,37,0,1,66,42,0,7,0,0,0,0,0,0,0,0,0,0,0,0,93,21,0,1,93,21,0,1,105,8,0,2,99,15,0,1,97,16,0,2,103,11,0,1,112,2,0,1,113,1,0,1,110,4,0,1,98,16,0,1,1,0,16,0,25,0,0,0,2,0,1,4,1,0,0,0,28,0,3,11,7,3,1,3,5,1,4,21,2,2,13,0,8,38,42,0,1,39,8,9,20,0,5,52,23,0,6,36,40,0,5,26,49,0,6,22,51,0,8,50,18,6,0,7,53,22,0,6,77,0,4,77,0,4,34,13,28,0,6,0,0,0,77,0,4,78,0,3,76,0,5,0,0,0,0,0,0,0,0,0,0,74,0,7,75,6,0,0,79,2,0,0,80,1,0,0,74,7,0,0,77,4,0,0,78,3,0,0,74,7,0,0,79,2,0,0,78,3,0,0,74,7,0,0,74,6,0,1
ATASC,3,VB #3,0,0,0,0,205,154,51,0,0,0,143,1,0,2,0,0,8,0,0,11,14,110,14,0,0,5,143,0,11,105,40,0,9,144,0,10,143,0,11,145,0,9,142,0,12,75,64,0,15,140,0,14,141,0,13,140,0,14,145,0,9,0,0,0,139,0,15,141,0,13,142,0,12,145,0,9,115,36,0,3,148,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,53,21,0,3,91,53,0,10,0,0,0,0,0,0,0,0,0,0,0,0,134,19,0,1,130,23,0,1,137,15,0,2,139,12,0,3,133,20,0,1,147,4,0,3,147,3,0,4,147,5,0,2,144,8,0,2,145,8,0,1,1,1,3,5,18,1,0,1,0,0,0,1,0,2,0,2,14,0,2,12,1,5,0,0,3,2,2,8,0,5,9,0,4,20,30,0,1,18,3,6,20,0,4,35,13,0,3,18,30,0,3,16,31,0,4,16,32,0,3,32,10,6,0,3,38,10,0,3,46,0,5,49,0,2,29,8,11,0,3,0,0,0,48,0,3,49,0,2,49,0,2,0,0,0,0,0,0,0,0,0,0,48,0,3,49,1,0,1,48,2,0,1,50,0,0,1,48,2,0,1,48,2,0,1,49,1,0,1,47,3,0,1,50,0,0,1,50,0,0,1,46,4,0,1,47,3,0,1
ATASC,3,VB #3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,3,VB #3,0,0,0,0,22,1,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,7,3,1,0,0,0,1,0,0,1,0,0,0,0,8,0,0,3,2,2,1,0,0,0,2,5,1,0,1,0,4,0,21,0,0,7,3,2,6,2,1,14,6,0,1,7,12,0,2,8,11,0,2,7,11,0,3,11,8,0,0,2,15,4,0,2,18,0,3,19,0,2,12,3,4,0,2,0,0,0,20,0,1,17,0,4,18,0,3,0,0,0,0,0,0,0,0,0,0,21,0,0,18,2,0,1,19,1,0,1,19,1,0,1,20,0,0,1,19,1,0,1,19,1,0,1,19,1,0,1,20,0,0,1,20,0,0,1,19,0,0,2,20,0,0,1
ATASC,3,VB #3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
ATASC,4,VB #4,0,0,0,0,42,28,14,0,0,0,27,0,0,1,0,0,0,0,0,2,2,21,1,0,0,2,24,0,4,18,8,0,2,24,0,4,23,0,5,23,0,5,22,0,6,11,15,0,2,24,0,4,23,0,5,23,0,5,0,0,0,23,0,5,23,0,5,22,0,6,22,0,6,23,0,5,26,2,0,0,26,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,7,0,0,16,10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,7,0,0,24,4,0,0,27,1,0,0,25,3,0,0,25,3,0,0,26,0,0,2,27,1,0,0,28,0,0,0,27,1,0,0,26,1,0,1,0,0,2,0,4,0,0,0,0,0,0,1,0,0,0,0,6,0,1,2,0,2,0,0,0,0,0,5,0,0,1,0,4,6,6,0,2,7,1,1,1,0,4,6,5,0,3,4,7,0,3,4,7,0,3,3,7,0,4,7,4,0,0,3,8,2,0,4,10,0,4,11,0,3,0,0,0,0,0,11,0,3,11,0,3,11,0,3,12,0,2,0,0,0,0,0,0,0,0,0,0,11,0,3,11,0,0,3,10,0,0,4,11,0,0,3,11,0,0,3,11,1,0,2,11,0,0,3,11,0,0,3,11,0,0,3,11,0,0,3,10,1,0,3,11,0,0,3
ATASC,4,VB #4,0,0,0,0,11,10,1,0,0,0,9,0,0,0,0,0,1,0,0,1,1,8,0,0,0,0,7,0,3,3,6,0,1,8,0,2,7,0,3,7,0,3,7,0,3,1,8,0,1,7,0,3,7,0,3,7,0,3,0,0,0,7,0,3,6,0,4,7,0,3,8,0,2,8,0,2,10,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,9,0,0,1,10,0,0,0,8,1,0,1,7,3,0,0,8,2,0,0,9,1,0,0,10,0,0,0,10,0,0,0,9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
ATASC,4,VB #4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,4,VB #4,0,0,0,0,3,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,0,1,1,0,0,1,1,0,1,2,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,1,1,0,0,2,0,0,0,0,1,0,1
ATASC,4,VB #4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,5,VB #5,0,0,0,0,168,83,85,0,0,1,73,3,1,1,0,0,4,0,0,16,9,43,11,2,0,2,78,0,5,51,25,0,7,78,0,5,77,0,6,78,0,5,78,0,5,39,38,0,6,78,0,5,78,0,5,78,0,5,80,0,3,0,0,0,78,0,5,78,0,5,79,0,4,78,0,5,65,15,0,3,81,0,2,76,0,7,13,32,35,0,3,0,0,0,0,0,0,0,0,0,0,0,51,27,0,5,59,21,0,3,0,0,0,0,0,0,0,0,66,16,0,1,71,11,0,1,77,3,0,3,76,6,0,1,70,10,0,3,78,3,0,2,78,2,0,3,78,3,0,2,73,7,0,3,75,6,0,2,1,0,20,1,17,0,0,0,4,0,0,7,0,0,2,0,33,0,0,11,4,3,1,5,3,0,10,25,3,2,12,0,6,53,31,0,1,51,5,5,20,0,4,55,24,0,6,26,53,0,6,35,43,0,7,20,60,0,5,53,16,11,0,5,60,22,0,3,75,0,10,75,0,10,35,16,31,0,3,0,0,0,76,0,9,76,0,9,77,0,8,79,0,6,0,0,0,0,0,0,0,74,0,11,79,5,0,1,81,3,0,1,84,1,0,0,80,2,0,3,82,1,0,2,82,1,0,2,81,1,0,3,79,3,0,3,82,1,0,2,83,1,0,1,77,4,0,4
ATASC,5,VB #5,0,0,0,0,130,81,49,0,0,0,77,0,0,1,0,0,2,0,1,7,10,55,4,2,0,3,75,0,6,62,16,0,3,74,0,7,74,0,7,74,0,7,75,0,6,39,36,0,6,76,0,5,75,0,6,75,0,6,73,0,8,0,0,0,71,0,10,73,0,8,74,0,7,72,0,9,68,11,0,2,76,0,5,76,0,5,7,31,40,0,3,0,0,0,0,0,0,0,0,0,0,0,43,32,0,6,52,25,0,4,0,0,0,0,0,0,0,0,66,14,0,1,70,10,0,1,77,3,0,1,74,5,0,2,77,1,0,3,73,6,0,2,78,1,0,2,78,1,0,2,73,6,0,2,72,8,0,1,0,0,10,4,15,0,0,0,0,0,0,11,0,0,0,4,5,0,0,14,1,5,0,2,1,1,5,8,0,1,8,0,3,23,26,0,0,22,4,4,15,0,4,34,11,0,4,11,33,0,5,21,23,0,5,8,37,0,4,33,9,2,0,5,37,8,0,4,43,0,6,45,0,4,18,6,24,0,1,0,0,0,46,0,3,44,0,5,48,0,1,45,0,4,0,0,0,0,0,0,0,46,0,3,48,1,0,0,47,1,0,1,49,0,0,0,48,0,0,1,48,0,0,1,48,0,0,1,47,1,0,1,48,0,0,1,48,0,0,1,47,0,0,2,43,5,0,1
ATASC,5,VB #5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASC,5,VB #5,0,0,0,0,25,6,19,0,0,0,4,2,0,0,0,0,0,0,0,0,0,4,2,0,0,0,6,0,0,4,2,0,0,6,0,0,6,0,0,6,0,0,6,0,0,2,4,0,0,6,0,0,6,0,0,6,0,0,6,0,0,0,0,0,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,0,6,0,0,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,0,0,0,0,0,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,0,0,7,0,1,0,0,0,2,0,0,4,0,0,0,2,2,1,0,2,0,0,0,2,2,0,0,3,1,0,6,0,3,7,12,0,0,10,0,0,7,0,2,16,1,0,2,5,10,0,4,4,11,0,4,3,11,0,5,10,5,0,0,4,11,4,0,4,13,0,6,14,0,5,7,1,7,0,4,0,0,0,15,0,4,14,0,5,15,0,4,14,0,5,0,0,0,0,0,0,0,10,0,9,17,0,0,2,17,0,0,2,17,0,0,2,17,0,0,2,16,0,0,3,16,1,0,2,17,0,0,2,17,0,0,2,17,0,0,2,17,0,0,2,14,3,0,2
