political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_votes,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Tulsi Gabbard,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,John K. Delaney,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Cory Booker,DEM,0,1,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Julián Castro,DEM,2,0,0,2
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Marianne Williamson,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Michael Bennet,DEM,1,1,0,1
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Tom Steyer,DEM,0,1,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Michael R. Bloomberg,DEM,8,3,4,4
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,"Roque ""Rocky"" De La Fuente",DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Joseph R. Biden,DEM,6,10,4,2
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Robby Wells,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Deval Patrick,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Bernie Sanders,DEM,7,2,3,4
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Elizabeth Warren,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Amy Klobuchar,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Andrew Yang,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,President,Pete Buttigieg,DEM,2,0,1,1
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,Royce West,DEM,2,1,2,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,Amanda K. Edwards,DEM,1,0,0,1
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,"Mary ""MJ"" Hegar",DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,D.R. Hunter,DEM,0,0,0,0
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,"Annie ""Mamá"" Garcia",DEM,4,3,3,1
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,Chris Bell,DEM,1,3,0,1
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,Sema Hernandez,DEM,7,6,4,3
Refugio County,3/3/2020,Primary Election,0,0,1,457,United States Senator,Jack Daniel Foster Jr,DEM,0,0,0,0
