political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,Bill Weld,REP,0,3
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,Donald J. Trump,REP,208,359
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,"Roque ""Rocky"" De La Fuente Guerra",REP,0,1
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,Joe Walsh,REP,1,4
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,Bob Ely,REP,0,0
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,Zoltan G. Istvan,REP,0,0
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,Matthew John Matern,REP,0,0
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,President,Uncommitted,REP,2,5
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,United States Senator,John Cornyn,REP,171,266
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,United States Senator,Virgil Bierschwale,REP,3,5
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,United States Senator,John Anthony Castro,REP,5,13
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,United States Senator,Dwayne Stovall,REP,18,37
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,United States Senator,Mark Yancey,REP,6,18
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"United States Representative, District No. 1",Louie Gohmert,REP,191,332
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"United States Representative, District No. 1",Johnathan Kyle Davidson,REP,15,28
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,Railroad Commissioner,Ryan Sitton,REP,117,241
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,Railroad Commissioner,"James ""Jim"" Wright",REP,71,76
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Chief Justice, Supreme Court",Nathan Hecht,REP,163,253
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Justice, Supreme Court, Place 6 -  Unexpired Term",Jane Bland,REP,158,251
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Justice, Supreme Court, Place 7",Jeff Boyd,REP,158,247
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Justice, Supreme Court, Place 8",Brett Busby,REP,158,251
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Judge, Court of Criminal Appeals, Place 3",Gina Parker,REP,89,154
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Judge, Court of Criminal Appeals, Place 3",Bert Richardson,REP,83,138
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Judge, Court of Criminal Appeals, Place 4",Kevin Patrick Yeary,REP,153,247
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Judge, Court of Criminal Appeals, Place 9",David Newell,REP,155,246
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Member, State Board of Education, District 9",Keven M. Ellis,REP,159,247
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"State Representative, District 11",Travis Clardy,REP,175,280
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"Chief Justice, 12th Court of Appeals District",Jim Worthen,REP,157,246
NACOGDOCHES COUNTY,3/3/2020,2020 REPUBLICAN PRIMARY,2,2,12,1875,"District Judge, 145th Judicial District",Jeff Davis,REP,171,268
