tbContestName,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,Royce West,,6,46.15%,3,17.65%,8,38.10%,17,33.33%,13,100.00%,17,100.00%,21,100.00%,51,100.00%,0,1,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,7,53.85%,14,82.35%,13,61.90%,34,66.67%,13,100.00%,17,100.00%,21,100.00%,51,100.00%,0,1,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Democratic Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Greg Sagan,,6,46.15%,7,38.89%,5,22.73%,18,33.96%,13,100.00%,18,100.00%,22,100.00%,53,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Democratic Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Gus Trujillo,,7,53.85%,11,61.11%,17,77.27%,35,66.04%,13,100.00%,18,100.00%,22,100.00%,53,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,11,84.62%,12,70.59%,9,45.00%,32,64.00%,13,100.00%,17,100.00%,20,100.00%,50,100.00%,0,1,2,3,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,2,15.38%,5,29.41%,11,55.00%,18,36.00%,13,100.00%,17,100.00%,20,100.00%,50,100.00%,0,1,2,3,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,Royce West,,7,31.82%,12,44.44%,5,27.78%,24,35.82%,22,100.00%,27,100.00%,18,100.00%,67,100.00%,2,2,1,5,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,15,68.18%,15,55.56%,13,72.22%,43,64.18%,22,100.00%,27,100.00%,18,100.00%,67,100.00%,2,2,1,5,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Democratic Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Greg Sagan,,9,37.50%,8,28.57%,4,23.53%,21,30.43%,24,100.00%,28,100.00%,17,100.00%,69,100.00%,0,1,2,3,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Democratic Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Gus Trujillo,,15,62.50%,20,71.43%,13,76.47%,48,69.57%,24,100.00%,28,100.00%,17,100.00%,69,100.00%,0,1,2,3,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,16,72.73%,17,65.38%,14,77.78%,47,71.21%,22,100.00%,26,100.00%,18,100.00%,66,100.00%,2,3,1,6,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,6,27.27%,9,34.62%,4,22.22%,19,28.79%,22,100.00%,26,100.00%,18,100.00%,66,100.00%,2,3,1,6,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,Royce West,,10,35.71%,25,32.89%,19,37.25%,54,34.84%,28,100.00%,76,100.00%,51,100.00%,155,100.00%,0,4,1,5,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,18,64.29%,51,67.11%,32,62.75%,101,65.16%,28,100.00%,76,100.00%,51,100.00%,155,100.00%,0,4,1,5,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Democratic Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Greg Sagan,,15,55.56%,22,28.21%,15,29.41%,52,33.33%,27,100.00%,78,100.00%,51,100.00%,156,100.00%,1,2,1,4,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Democratic Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Gus Trujillo,,12,44.44%,56,71.79%,36,70.59%,104,66.67%,27,100.00%,78,100.00%,51,100.00%,156,100.00%,1,2,1,4,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,21,75.00%,50,66.67%,33,67.35%,104,68.42%,28,100.00%,75,100.00%,49,100.00%,152,100.00%,0,5,3,8,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,7,25.00%,25,33.33%,16,32.65%,48,31.58%,28,100.00%,75,100.00%,49,100.00%,152,100.00%,0,5,3,8,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,Royce West,,7,46.67%,3,13.64%,5,20.00%,15,24.19%,15,100.00%,22,100.00%,25,100.00%,62,100.00%,0,1,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party - Vote for One,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,8,53.33%,19,86.36%,20,80.00%,47,75.81%,15,100.00%,22,100.00%,25,100.00%,62,100.00%,0,1,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Democratic Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Greg Sagan,,4,26.67%,10,47.62%,4,16.00%,18,29.51%,15,100.00%,21,100.00%,25,100.00%,61,100.00%,0,2,0,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
