tbContestName,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
"United States Representative, District 13 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Josh Winegarner,,31,46.97%,122,40.26%,47,32.41%,200,38.91%,66,100.00%,303,100.00%,145,100.00%,514,100.00%,0,0,1,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Ronny Jackson,,35,53.03%,181,59.74%,98,67.59%,314,61.09%,66,100.00%,303,100.00%,145,100.00%,514,100.00%,0,0,1,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Justice, 7th Court of Appeals District, Place 4 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Steven Denny,,41,65.08%,165,58.51%,86,60.99%,292,60.08%,63,100.00%,282,100.00%,141,100.00%,486,100.00%,3,21,5,29,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Justice, 7th Court of Appeals District, Place 4 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Larry Doss,,22,34.92%,117,41.49%,55,39.01%,194,39.92%,63,100.00%,282,100.00%,141,100.00%,486,100.00%,3,21,5,29,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Josh Winegarner,,47,61.04%,84,43.52%,25,29.41%,156,43.94%,77,100.00%,193,100.00%,85,100.00%,355,100.00%,1,0,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Ronny Jackson,,30,38.96%,109,56.48%,60,70.59%,199,56.06%,77,100.00%,193,100.00%,85,100.00%,355,100.00%,1,0,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Justice, 7th Court of Appeals District, Place 4 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Steven Denny,,37,50.00%,106,59.89%,44,51.76%,187,55.65%,74,100.00%,177,100.00%,85,100.00%,336,100.00%,4,16,0,20,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Justice, 7th Court of Appeals District, Place 4 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Larry Doss,,37,50.00%,71,40.11%,41,48.24%,149,44.35%,74,100.00%,177,100.00%,85,100.00%,336,100.00%,4,16,0,20,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Josh Winegarner,,36,66.67%,156,47.56%,85,40.48%,277,46.79%,54,100.00%,328,100.00%,210,100.00%,592,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"United States Representative, District 13 - Republican Party - Vote for One",Absentee Voting,Early Voting,Election Day Voting,Ronny Jackson,,18,33.33%,172,52.44%,125,59.52%,315,53.21%,54,100.00%,328,100.00%,210,100.00%,592,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
