COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Democratic Party,BALLOTS CAST - Republican Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,US Senator,US Senator,Railroad Commissioner,Railroad Commissioner,"State Senator, District 19","State Senator, District 19",Constable,Constable
,,,,DEM,REP,NON,,DEM,REP,NON,,DEM,DEM,DEM,DEM,DEM,DEM,REP,REP
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,"Mary ""MJ"" Hegar",Royce West,"Roberto R. ""Beto"" Alonzo",Chrysta Castaneda,Roland Gutierrez,Xochil Pena Rodriguez,"Miguel ""Mike"" Mares Jr",John Rothenbach
ATASC,1,VB #1,0,0,0,0,16,16,0,0,0,13,3,13,3,6,10,0,0
ATASC,2,VB #2,0,0,0,0,25,25,0,0,0,19,5,12,13,11,13,0,0
ATASC,3,VB #3,0,0,0,0,41,41,0,0,0,27,13,22,19,22,19,0,0
ATASC,4,VB #4,0,0,0,0,3,3,0,0,1,1,1,1,1,0,0,0,0
ATASC,5,VB #5,0,0,0,0,119,60,59,0,1,47,11,20,39,24,35,38,21
ATASC,6,VB #6,0,0,0,0,2,2,0,0,0,0,2,0,2,0,0,0,0
ATASC,7,VB #7,0,0,0,0,151,47,104,0,1,26,19,20,25,22,24,69,35
ATASC,8,VB #8,0,0,0,0,19,19,0,0,0,13,6,6,13,8,11,0,0
ATASC,9,VB #9,0,0,0,0,4,4,0,0,0,1,3,3,1,0,0,0,0
ATASC,10,VB #10,0,0,0,0,19,19,0,0,0,13,4,10,8,11,8,0,0
ATASC,11,VB #11,0,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0
ATASC,12,VB #12,0,0,0,0,40,40,0,0,1,31,8,22,17,25,14,0,0
ATASC,13,VB #13,0,0,0,0,89,89,0,0,0,57,30,57,32,54,34,0,0
ATASC,14,VB #14,0,0,0,0,10,10,0,0,0,7,3,3,7,4,6,0,0
ATASC,15,VB #15,0,0,0,0,147,71,76,0,2,50,20,49,22,50,21,59,15
ATASC,16,VB #16,0,0,0,0,29,13,16,0,0,9,4,4,9,8,5,3,13
ATASC,17,VB #17,0,0,0,0,128,128,0,0,0,67,56,87,39,101,25,0,0
ATASC,18,VB #18,0,0,0,0,48,48,0,0,0,31,17,34,14,29,19,0,0
ATASC,19,VB #19,0,0,0,0,6,6,0,0,0,2,4,2,4,5,1,0,0
ATASC,20,VB #20,0,0,0,0,90,90,0,0,0,65,25,40,50,56,34,0,0
ATASC,21,VB #21,0,0,0,0,3,3,0,0,0,3,0,2,1,0,0,0,0
ATASC,22,VB #22,0,0,0,0,128,19,109,0,0,16,3,14,5,10,9,88,21
ATASC,23,VB #23,0,0,0,0,19,19,0,0,0,13,6,13,6,10,9,0,0
ATASC,24,VB #24,0,0,0,0,47,47,0,0,0,32,15,16,30,21,25,0,0
ATASC,ZZZ,COUNTY TOTALS,0,0,0,0,1185,821,364,0,6,545,258,452,360,477,322,257,105
