political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,registered_voters,race_name,party_code,candidate_name,election_votes,early_votes,election_votes
floyd county,7/14/2020,primary runoff,0,0,1,0,United States Senator,DEM,Royce West,0,3,3
floyd county,7/14/2020,primary runoff,0,0,1,0,United States Senator,DEM,"Mary ""MJ"" Hegar",1,2,3
floyd county,7/14/2020,primary runoff,0,0,1,0,Railroad Commissioner,DEM,Chrysta Castañeda,1,4,5
floyd county,7/14/2020,primary runoff,0,0,1,0,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",0,1,1
floyd county,7/14/2020,primary runoff,0,0,1,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Steven Denny,6,8,14
floyd county,7/14/2020,primary runoff,0,0,1,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Larry Doss,18,16,34
floyd county,7/14/2020,primary runoff,0,0,9,0,United States Senator,DEM,Royce West,0,0,0
floyd county,7/14/2020,primary runoff,0,0,9,0,United States Senator,DEM,"Mary ""MJ"" Hegar",0,0,0
floyd county,7/14/2020,primary runoff,0,0,9,0,"United States Representative,
District No. 13",DEM,Greg Sagan,0,0,0
floyd county,7/14/2020,primary runoff,0,0,9,0,"United States Representative,
District No. 13",DEM,Gus Trujillo,0,0,0
floyd county,7/14/2020,primary runoff,0,0,9,0,Railroad Commissioner,DEM,Chrysta Castañeda,0,0,0
floyd county,7/14/2020,primary runoff,0,0,9,0,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",0,0,0
floyd county,7/14/2020,primary runoff,0,0,9,0,"United States Representative,
District No. 13",REP,Ronny Jackson,6,2,8
floyd county,7/14/2020,primary runoff,0,0,9,0,"United States Representative,
District No. 13",REP,Josh Winegarner,9,1,10
floyd county,7/14/2020,primary runoff,0,0,9,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Steven Denny,3,1,4
floyd county,7/14/2020,primary runoff,0,0,9,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Larry Doss,7,0,7
floyd county,7/14/2020,primary runoff,0,0,18,0,United States Senator,DEM,Royce West,0,0,0
floyd county,7/14/2020,primary runoff,0,0,18,0,United States Senator,DEM,"Mary ""MJ"" Hegar",2,1,3
floyd county,7/14/2020,primary runoff,0,0,18,0,"United States Representative,
District No. 13",DEM,Greg Sagan,1,0,1
floyd county,7/14/2020,primary runoff,0,0,18,0,"United States Representative,
District No. 13",DEM,Gus Trujillo,1,1,2
floyd county,7/14/2020,primary runoff,0,0,18,0,Railroad Commissioner,DEM,Chrysta Castañeda,1,0,1
floyd county,7/14/2020,primary runoff,0,0,18,0,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",1,1,2
floyd county,7/14/2020,primary runoff,0,0,18,0,"United States Representative,
District No. 13",REP,Ronny Jackson,22,24,46
floyd county,7/14/2020,primary runoff,0,0,18,0,"United States Representative,
District No. 13",REP,Josh Winegarner,22,53,75
floyd county,7/14/2020,primary runoff,0,0,18,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Steven Denny,8,19,27
floyd county,7/14/2020,primary runoff,0,0,18,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Larry Doss,29,46,75
floyd county,7/14/2020,primary runoff,0,0,23,0,United States Senator,DEM,Royce West,1,0,1
floyd county,7/14/2020,primary runoff,0,0,23,0,United States Senator,DEM,"Mary ""MJ"" Hegar",0,0,0
floyd county,7/14/2020,primary runoff,0,0,23,0,Railroad Commissioner,DEM,Chrysta Castañeda,0,0,0
floyd county,7/14/2020,primary runoff,0,0,23,0,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",1,0,1
floyd county,7/14/2020,primary runoff,0,0,23,0,"Justice, 7th Court of Appeals District, Place 4 - Unexpired Term",REP,Steven Denny,4,1,5
