Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,TotalUnderVotes,OverVotes,TotalOverVotes,InvalidVotes,TotalInvalidVotes,RejectedWriteInVotes,TotalRejectedWriteInVotes,UnresolvedWriteInVotes,TotalUnresolvedWriteInVotes
United States Senator - Democratic Party,102,Absentee Voting,Royce West,,2,66.67%,3,75.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,102,Early Voting,Royce West,,0,0.00%,3,75.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,102,Election Day Voting,Royce West,,1,100.00%,3,75.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,102,Absentee Voting,"Mary ""MJ"" Hegar",,1,33.33%,1,25.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,102,Early Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,25.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,102,Election Day Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,25.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,102,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,3,100.00%,4,100.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,102,Early Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,4,100.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,102,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,1,100.00%,4,100.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,102,Absentee Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,102,Early Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,102,Election Day Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,203,Absentee Voting,Royce West,,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,203,Early Voting,Royce West,,0,0.00%,0,0.00%,1,100.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,203,Election Day Voting,Royce West,,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,203,Absentee Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,203,Early Voting,"Mary ""MJ"" Hegar",,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,203,Election Day Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,203,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,203,Early Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,0,0.00%,1,100.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,203,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,0,0.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,203,Absentee Voting,Chrysta Castañeda,,0,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,203,Early Voting,Chrysta Castañeda,,1,100.00%,1,100.00%,1,100.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,203,Election Day Voting,Chrysta Castañeda,,0,0.00%,1,100.00%,0,0.00%,1,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,204,Absentee Voting,Royce West,,1,50.00%,1,50.00%,2,100.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,204,Early Voting,Royce West,,0,0.00%,1,50.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,204,Election Day Voting,Royce West,,0,0.00%,1,50.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,204,Absentee Voting,"Mary ""MJ"" Hegar",,1,50.00%,1,50.00%,2,100.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,204,Early Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,50.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,204,Election Day Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,50.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,204,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,2,100.00%,2,100.00%,2,100.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,204,Early Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,2,100.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,204,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,2,100.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,204,Absentee Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,2,100.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,204,Early Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,204,Election Day Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,0,0.00%,2,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,205,Absentee Voting,Royce West,,1,100.00%,3,75.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,205,Early Voting,Royce West,,0,0.00%,3,75.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,205,Election Day Voting,Royce West,,2,66.67%,3,75.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,205,Absentee Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,25.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,205,Early Voting,"Mary ""MJ"" Hegar",,0,0.00%,1,25.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,205,Election Day Voting,"Mary ""MJ"" Hegar",,1,33.33%,1,25.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,205,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,1,100.00%,2,50.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,205,Early Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,2,50.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,205,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,1,33.33%,2,50.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,205,Absentee Voting,Chrysta Castañeda,,0,0.00%,2,50.00%,1,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,205,Early Voting,Chrysta Castañeda,,0,0.00%,2,50.00%,0,0.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,205,Election Day Voting,Chrysta Castañeda,,2,66.67%,2,50.00%,3,100.00%,4,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,306,Absentee Voting,Royce West,,2,20.00%,3,21.43%,10,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,306,Early Voting,Royce West,,0,0.00%,3,21.43%,1,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,306,Election Day Voting,Royce West,,1,33.33%,3,21.43%,3,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,306,Absentee Voting,"Mary ""MJ"" Hegar",,8,80.00%,11,78.57%,10,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,306,Early Voting,"Mary ""MJ"" Hegar",,1,100.00%,11,78.57%,1,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,306,Election Day Voting,"Mary ""MJ"" Hegar",,2,66.67%,11,78.57%,3,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,306,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,5,50.00%,6,42.86%,10,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,306,Early Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,6,42.86%,1,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,306,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,1,33.33%,6,42.86%,3,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,306,Absentee Voting,Chrysta Castañeda,,5,50.00%,8,57.14%,10,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,306,Early Voting,Chrysta Castañeda,,1,100.00%,8,57.14%,1,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,306,Election Day Voting,Chrysta Castañeda,,2,66.67%,8,57.14%,3,100.00%,14,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,407,Absentee Voting,Royce West,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,407,Early Voting,Royce West,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,407,Election Day Voting,Royce West,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,407,Absentee Voting,"Mary ""MJ"" Hegar",,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,407,Early Voting,"Mary ""MJ"" Hegar",,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,407,Election Day Voting,"Mary ""MJ"" Hegar",,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,407,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,407,Early Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,407,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,407,Absentee Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,407,Early Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,407,Election Day Voting,Chrysta Castañeda,,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,408,Absentee Voting,Royce West,,0,0.00%,2,33.33%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,408,Early Voting,Royce West,,0,0.00%,2,33.33%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,408,Election Day Voting,Royce West,,2,100.00%,2,33.33%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,408,Absentee Voting,"Mary ""MJ"" Hegar",,2,100.00%,4,66.67%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,408,Early Voting,"Mary ""MJ"" Hegar",,2,100.00%,4,66.67%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,408,Election Day Voting,"Mary ""MJ"" Hegar",,0,0.00%,4,66.67%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,408,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,2,33.33%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,408,Early Voting,"Roberto R. ""Beto"" Alonzo",,1,50.00%,2,33.33%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,408,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,1,50.00%,2,33.33%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,408,Absentee Voting,Chrysta Castañeda,,2,100.00%,4,66.67%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,408,Early Voting,Chrysta Castañeda,,1,50.00%,4,66.67%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,408,Election Day Voting,Chrysta Castañeda,,1,50.00%,4,66.67%,2,100.00%,6,100.00%,0,0,0,0,0,0,0,0,0,0

