Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,TotalUnderVotes,OverVotes,TotalOverVotes,InvalidVotes,TotalInvalidVotes,RejectedWriteInVotes,TotalRejectedWriteInVotes,UnresolvedWriteInVotes,TotalUnresolvedWriteInVotes
United States Senator - Democratic Party,101,Absentee Voting,Royce West,,1,50.00%,4,57.14%,2,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,101,Early Voting,Royce West,,3,75.00%,4,57.14%,4,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,101,Election Day Voting,Royce West,,0,0.00%,4,57.14%,1,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,101,Absentee Voting,"Mary ""MJ"" Hegar",,1,50.00%,3,42.86%,2,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,101,Early Voting,"Mary ""MJ"" Hegar",,1,25.00%,3,42.86%,4,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
United States Senator - Democratic Party,101,Election Day Voting,"Mary ""MJ"" Hegar",,1,100.00%,3,42.86%,1,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,101,Absentee Voting,"Roberto R. ""Beto"" Alonzo",,1,50.00%,2,28.57%,2,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,101,Early Voting,"Roberto R. ""Beto"" Alonzo",,1,25.00%,2,28.57%,4,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,101,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,0,0.00%,2,28.57%,1,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,101,Absentee Voting,Chrysta Castañeda,,1,50.00%,5,71.43%,2,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,101,Early Voting,Chrysta Castañeda,,3,75.00%,5,71.43%,4,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
Railroad Commissioner - Democratic Party,101,Election Day Voting,Chrysta Castañeda,,1,100.00%,5,71.43%,1,100.00%,7,100.00%,0,0,0,0,0,0,0,0,0,0
