COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - Republican Party,REGISTERED VOTERS - Democratic Party,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,"REP US Representative, Dist 23","REP US Representative, Dist 23",REP County Commissioner,REP County Commissioner,DEM US Senator,DEM US Senator,DEM Railroad Commissioner,DEM Railroad Commissioner,
,,,,REP,DEM,NON,,REP,DEM,NON,,REP,REP,REP,REP,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Tony Gonzales,Raul Reyes,Daniel Sanchez,Manuella Y. Kirkpatrick,Royce West,"Mary ""MJ"" Hegar",Chrysta Castaneda,"Roberto R. ""Beto"" Alonzo",
CRANE,0001,Precinct 1,0,0,0,0,98,98,0,0,0,40,57,57,41,0,0,0,0,
CRANE,0001,Precinct 1,0,0,0,0,149,147,2,0,0,63,80,63,84,0,1,1,1,
CRANE,0001,Precinct 1,0,0,0,0,5,5,0,0,1,0,3,2,2,0,0,0,0,
CRANE,0002,Precinct 2,0,0,0,0,29,29,0,0,0,20,9,0,0,0,0,0,0,
CRANE,0002,Precinct 2,0,0,0,0,31,28,3,0,0,12,16,0,0,0,3,0,3,
CRANE,0002,Precinct 2,0,0,0,0,5,1,4,0,0,1,0,0,0,1,3,3,1,
CRANE,0003,Precinct 3,0,0,0,0,23,16,7,0,0,5,11,0,0,5,2,5,1,
CRANE,0003,Precinct 3,0,0,0,0,9,6,3,0,0,3,3,0,0,2,1,0,3,
CRANE,0003,Precinct 3,0,0,0,0,2,0,2,0,0,0,0,0,0,1,1,1,1,
CRANE,0004,Precinct 4,0,0,0,0,13,12,1,0,0,8,4,0,0,0,1,0,1,
CRANE,0004,Precinct 4,0,0,0,0,28,27,1,0,0,13,14,0,0,1,0,1,0,
CRANE,0004,Precinct 4,0,0,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,
CRANE,ZZZ,COUNTY TOTALS,0,0,0,0,394,371,23,0,1,165,199,122,127,10,12,11,11,
