"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 203)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","89","75","164","81.59%","Cody Thane Vasut","22","67","75","164","81.59%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 203)","Ro'vin Garrett","28","9","37","18.41%","Ro'vin Garrett","9","19","9","37","18.41%","Cast Votes:","117","99.15%","84","98.82%","201","Over Votes:","0","0","0","0.00%","Under Votes:","1","1","2","0.99%","Cast Votes:","31","86","84","98.82%","201","99.01%","Over Votes:","0","0","0","0","0.00%","Under Votes:","1","0","1","2","0.99%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1B  (Ballots Cast: 214)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","103","45","148","69.81%","Cody Thane Vasut","29","74","45","148","69.81%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1B  (Ballots Cast: 214)","Ro'vin Garrett","54","10","64","30.19%","Ro'vin Garrett","18","36","10","64","30.19%","Cast Votes:","157","100.00%","55","96.49%","212","Over Votes:","0","0","0","0.00%","Under Votes:","0","2","2","0.93%","Cast Votes:","47","110","55","96.49%","212","99.07%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","0","2","2","0.93%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1C  (Ballots Cast: 21)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","9","2","11","55.00%","Cody Thane Vasut","2","7","2","11","55.00%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1C  (Ballots Cast: 21)","Ro'vin Garrett","7","2","9","45.00%","Ro'vin Garrett","1","6","2","9","45.00%","Cast Votes:","16","100.00%","4","80.00%","20","Over Votes:","0","0","0","0.00%","Under Votes:","0","1","1","4.76%","Cast Votes:","3","13","4","80.00%","20","95.24%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","0","1","1","4.76%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1D  (Ballots Cast: 41)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","21","6","27","65.85%","Cody Thane Vasut","10","11","6","27","65.85%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1D  (Ballots Cast: 41)","Ro'vin Garrett","9","5","14","34.15%","Ro'vin Garrett","5","4","5","14","34.15%","Cast Votes:","30","100.00%","11","100.00%","41","Over Votes:","0","0","0","0.00%","Under Votes:","0","0","0","0.00%","Cast Votes:","15","15","11","100.00%","41","100.00%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","0","0","0","0.00%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1E  (Ballots Cast: 88)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","41","20","61","72.62%","Cody Thane Vasut","9","32","20","61","72.62%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1E  (Ballots Cast: 88)","Ro'vin Garrett","11","12","23","27.38%","Ro'vin Garrett","3","8","12","23","27.38%","Cast Votes:","52","96.30%","32","94.12%","84","Over Votes:","0","0","0","0.00%","Under Votes:","2","2","4","4.55%","Cast Votes:","12","40","32","94.12%","84","95.45%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","2","2","4","4.55%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1E  (Ballots Cast: 88)","County Commissioner, Precinct No. 3, Vote For 1     REPUBLICAN PARTY","Troy Shimek","19","7","26","30.23%","Troy Shimek","6","13","7","26","30.23%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1E  (Ballots Cast: 88)","Steven Johnson","35","25","60","69.77%","Steven Johnson","6","29","25","60","69.77%","Cast Votes:","54","100.00%","32","94.12%","86","Over Votes:","0","0","0","0.00%","Under Votes:","0","2","2","2.27%","Cast Votes:","12","42","32","94.12%","86","97.73%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","0","2","2","2.27%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1F  (Ballots Cast: 30)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","9","10","19","65.52%","Cody Thane Vasut","0","9","10","19","65.52%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1F  (Ballots Cast: 30)","Ro'vin Garrett","4","6","10","34.48%","Ro'vin Garrett","1","3","6","10","34.48%","Cast Votes:","13","100.00%","16","94.12%","29","Over Votes:","0","0","0","0.00%","Under Votes:","0","1","1","3.33%","Cast Votes:","1","12","16","94.12%","29","96.67%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","0","1","1","3.33%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 2  (Ballots Cast: 49)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","8","25","33","67.35%","Cody Thane Vasut","3","5","25","33","67.35%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 2  (Ballots Cast: 49)","Ro'vin Garrett","8","8","16","32.65%","Ro'vin Garrett","4","4","8","16","32.65%","Cast Votes:","16","100.00%","33","100.00%","49","Over Votes:","0","0","0","0.00%","Under Votes:","0","0","0","0.00%","Cast Votes:","7","9","33","100.00%","49","100.00%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","0","0","0","0.00%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 3A  (Ballots Cast: 178)"
"State Representative, District 25, Vote For 1     REPUBLICAN PARTY","Cody Thane Vasut","60","53","113","69.33%","Cody Thane Vasut","11","49","53","113","69.33%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 3A  (Ballots Cast: 178)","Ro'vin Garrett","36","14","50","30.67%","Ro'vin Garrett","5","31","14","50","30.67%","Cast Votes:","96","93.20%","67","89.33%","163","Over Votes:","0","0","0","0.00%","Under Votes:","7","8","15","8.43%","Cast Votes:","16","80","67","89.33%","163","91.57%","Over Votes:","0","0","0","0","0.00%","Under Votes:","1","6","8","15","8.43%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 3A  (Ballots Cast: 178)","County Commissioner, Precinct No. 3, Vote For 1     REPUBLICAN PARTY","Troy Shimek","84","54","138","78.41%","Troy Shimek","15","69","54","138","78.41%"
"","","Page 1 of 1","08/05/2020 09:37 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 3A  (Ballots Cast: 178)","Steven Johnson","18","20","38","21.59%","Steven Johnson","2","16","20","38","21.59%","Cast Votes:","102","99.03%","74","98.67%","176","Over Votes:","0","0","0","0.00%","Under Votes:","1","1","2","1.12%","Cast Votes:","17","85","74","98.67%","176","98.88%","Over Votes:","0","0","0","0","0.00%","Under Votes:","0","1","1","2","1.12%"
