political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_voting,election_votes
Refugio County,7/14/2020,Primary Runoff Election,0,0,1,462,United States Senator,Royce West,DEM,10,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,1,462,United States Senator,"Mary ""MJ"" Hegar",DEM,6,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,1,462,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,8,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,1,462,Railroad Commissioner,Chrysta Castañeda,DEM,7,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,1A,578,United States Senator,Royce West,DEM,7,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,1A,578,United States Senator,"Mary ""MJ"" Hegar",DEM,6,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,1A,578,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,9,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,1A,578,Railroad Commissioner,Chrysta Castañeda,DEM,4,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,2,890,United States Senator,Royce West,DEM,0,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,2,890,United States Senator,"Mary ""MJ"" Hegar",DEM,8,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,2,890,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,2,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,2,890,Railroad Commissioner,Chrysta Castañeda,DEM,6,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,2A,194,United States Senator,Royce West,DEM,0,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,2A,194,United States Senator,"Mary ""MJ"" Hegar",DEM,0,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,2A,194,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,0,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,2A,194,Railroad Commissioner,Chrysta Castañeda,DEM,0,0
Refugio County,7/14/2020,Primary Runoff Election,2,2,2B,292,United States Senator,Royce West,DEM,4,0
Refugio County,7/14/2020,Primary Runoff Election,2,2,2B,292,United States Senator,"Mary ""MJ"" Hegar",DEM,6,5
Refugio County,7/14/2020,Primary Runoff Election,2,2,2B,292,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,4,0
Refugio County,7/14/2020,Primary Runoff Election,2,2,2B,292,Railroad Commissioner,Chrysta Castañeda,DEM,6,4
Refugio County,7/14/2020,Primary Runoff Election,0,0,3,705,United States Senator,Royce West,DEM,6,2
Refugio County,7/14/2020,Primary Runoff Election,0,0,3,705,United States Senator,"Mary ""MJ"" Hegar",DEM,1,2
Refugio County,7/14/2020,Primary Runoff Election,0,0,3,705,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,4,4
Refugio County,7/14/2020,Primary Runoff Election,0,0,3,705,Railroad Commissioner,Chrysta Castañeda,DEM,3,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,3A,696,United States Senator,Royce West,DEM,5,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,3A,696,United States Senator,"Mary ""MJ"" Hegar",DEM,5,2
Refugio County,7/14/2020,Primary Runoff Election,0,0,3A,696,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,7,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,3A,696,Railroad Commissioner,Chrysta Castañeda,DEM,3,2
Refugio County,7/14/2020,Primary Runoff Election,0,0,4,497,United States Senator,Royce West,DEM,6,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,4,497,United States Senator,"Mary ""MJ"" Hegar",DEM,9,6
Refugio County,7/14/2020,Primary Runoff Election,0,0,4,497,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,7,3
Refugio County,7/14/2020,Primary Runoff Election,0,0,4,497,Railroad Commissioner,Chrysta Castañeda,DEM,8,4
Refugio County,7/14/2020,Primary Runoff Election,0,0,4A,410,United States Senator,Royce West,DEM,1,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,4A,410,United States Senator,"Mary ""MJ"" Hegar",DEM,0,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,4A,410,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,1,1
Refugio County,7/14/2020,Primary Runoff Election,0,0,4A,410,Railroad Commissioner,Chrysta Castañeda,DEM,0,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,4B,173,United States Senator,Royce West,DEM,6,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,4B,173,United States Senator,"Mary ""MJ"" Hegar",DEM,4,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,4B,173,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,5,0
Refugio County,7/14/2020,Primary Runoff Election,0,0,4B,173,Railroad Commissioner,Chrysta Castañeda,DEM,5,0
