00000000002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000200000000000000000PRECINCTS COUNTED - TOTAL                               PRECINCTS COUNTED - TOTAL                                      00 
0001001000200010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020001030          REGISTERED VOTERS - TOTAL                               REGISTERED VOTERS - TOTAL                                      00 
0002001000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000          REGISTERED VOTERS - Republican Party                    REGISTERED VOTERS - Republican Party                           00 
0003001000200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020000000          REGISTERED VOTERS - Democratic Party                    REGISTERED VOTERS - Democratic Party                           00 
0004001000200010300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020001030          REGISTERED VOTERS - NONPARTISAN                         REGISTERED VOTERS - NONPARTISAN                                00 
000500100020000269000014100000610000067000000000000000000000000000000000000000000000000000000000000000000000000000000002002002           BALLOTS CAST - TOTAL                                    BALLOTS CAST - TOTAL                                           00 
000600100020000250000013800000580000054000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REP       BALLOTS CAST - Republican Party                         BALLOTS CAST - Republican Party                                00 
000700100020000019000000300000030000013000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 DEM       BALLOTS CAST - Democratic Party                         BALLOTS CAST - Democratic Party                                00 
000800100020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 NON       BALLOTS CAST - NONPARTISAN                              BALLOTS CAST - NONPARTISAN                                     00 
000900100020000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002002002           BALLOTS CAST - BLANK                                    BALLOTS CAST - BLANK                                           00 
001000100020000116000006800000300000018000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REP       REP US Representative, Dist 13                          Ronny Jackson                                                  01 
001000200020000133000006900000280000036000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REP       REP US Representative, Dist 13                          Josh Winegarner                                                01 
001100100020000079000003800000130000028000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REP       REP Justice, 7th Ct of App Dist, Pl 4                   Steven Denny                                                   01 
001100200020000139000008300000360000020000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 REP       REP Justice, 7th Ct of App Dist, Pl 4                   Larry Doss                                                     01 
001200100020000008000000200000000000006000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 DEM       DEM US Senator                                          Royce West                                                     01 
001200200020000011000000100000030000007000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 DEM       DEM US Senator                                          Mary "MJ" Hegar                                                01 
001300100020000013000000200000030000008000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 DEM       DEM US Representative, Dist 13                          Gus Trujillo                                                   01 
001300200020000006000000100000000000005000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 DEM       DEM US Representative, Dist 13                          Greg Sagan                                                     01 
001400100020000008000000100000010000006000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 DEM       DEM Railroad Commissioner                               Roberto R. "Beto" Alonzo                                       01 
001400200020000011000000200000020000007000000000000000000000000000000000000000000000000000000000000000000000000000000002002002 DEM       DEM Railroad Commissioner                               Chrysta Castaneda                                              01 
