political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,1 - BS6,4278,State Representative District 25,Ro'Vin Garrett,REP,96,21
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,1 - BS6,4278,State Representative District 25,Cody Thane Vasut,REP,265,98
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,1 - BS6,4278,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,74,26
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,1 - BS6,4278,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,240,83
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,2 - BS6,3939,State Representative District 25,Ro'Vin Garrett,REP,103,48
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,2 - BS6,3939,State Representative District 25,Cody Thane Vasut,REP,212,124
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,2 - BS6,3939,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,69,35
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,2 - BS6,3939,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,211,132
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,3 - BS7,4755,U. S. Representative District 22,Troy Nehls,REP,142,46
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,3 - BS7,4755,U. S. Representative District 22,Kathaleen Wall,REP,205,77
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,3 - BS7,4755,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,79,31
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,3 - BS7,4755,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,246,84
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,4 - BS6,3222,State Representative District 25,Ro'Vin Garrett,REP,107,25
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,4 - BS6,3222,State Representative District 25,Cody Thane Vasut,REP,208,96
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,4 - BS6,3222,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,75,15
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,4 - BS6,3222,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,215,91
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,5 - BS6,2058,State Representative District 25,Ro'Vin Garrett,REP,41,24
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,5 - BS6,2058,State Representative District 25,Cody Thane Vasut,REP,122,49
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,5 - BS6,2058,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,30,22
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,5 - BS6,2058,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,118,40
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,6 - BS5,1453,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,23,8
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,6 - BS5,1453,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,42,29
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,7 - BS6,2725,State Representative District 25,Ro'Vin Garrett,REP,36,14
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,7 - BS6,2725,State Representative District 25,Cody Thane Vasut,REP,28,23
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,7 - BS6,2725,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,15,5
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,7 - BS6,2725,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,39,25
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,8 - BS6,1324,State Representative District 25,Ro'Vin Garrett,REP,30,25
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,8 - BS6,1324,State Representative District 25,Cody Thane Vasut,REP,46,22
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,8 - BS6,1324,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,20,18
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,8 - BS6,1324,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,54,25
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,9 - BS6,829,State Representative District 25,Ro'Vin Garrett,REP,11,4
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,9 - BS6,829,State Representative District 25,Cody Thane Vasut,REP,32,18
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,9 - BS6,829,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,11,6
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,9 - BS6,829,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,30,15
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,10 - BS6,1037,State Representative District 25,Ro'Vin Garrett,REP,24,6
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,10 - BS6,1037,State Representative District 25,Cody Thane Vasut,REP,51,14
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,10 - BS6,1037,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,17,6
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,10 - BS6,1037,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,53,14
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,11 - BS7,3656,U. S. Representative District 22,Troy Nehls,REP,107,47
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,11 - BS7,3656,U. S. Representative District 22,Kathaleen Wall,REP,91,41
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,11 - BS7,3656,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,64,19
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,11 - BS7,3656,"Justice, 1st Court of Appeals District, Place 5",Terry Adams,REP,120,57
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,12 - BS7,3561,U. S. Representative District 22,Troy Nehls,REP,101,37
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,12 - BS7,3561,U. S. Representative District 22,Kathaleen Wall,REP,116,69
Brazoria County,7/14/2020,2020 Republican Primary Runoff Election,,,12 - BS7,3561,"Justice, 1st Court of Appeals District, Place 5",James Lombardino,REP,59,31
