political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_numbers,reg_voters,race_name,party code,candidate_name,early_votes,election_votes
Bee County,7/14/2020,Democratic Primary Runoff,0,0,5,397,United States Senator,DEM,"Mary ""MJ"" Hegar",0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,5,397,Railroad Commissioner,DEM,Chrysta Castañeda,0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,5,397,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",1,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,6,1247,United States Senator,DEM,Royce West,4,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,6,1247,United States Senator,DEM,"Mary ""MJ"" Hegar",9,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,6,1247,Railroad Commissioner,DEM,Chrysta Castañeda,6,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,6,1247,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",6,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,8,242,United States Senator,DEM,Royce West,2,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,8,242,United States Senator,DEM,"Mary ""MJ"" Hegar",0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,8,242,Railroad Commissioner,DEM,Chrysta Castañeda,2,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,8,242,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,9,728,United States Senator,DEM,Royce West,9,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,9,728,United States Senator,DEM,"Mary ""MJ"" Hegar",19,6
Bee County,7/14/2020,Democratic Primary Runoff,0,0,9,728,Railroad Commissioner,DEM,Chrysta Castañeda,15,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,9,728,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",13,5
Bee County,7/14/2020,Democratic Primary Runoff,0,0,10,1535,United States Senator,DEM,Royce West,6,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,10,1535,United States Senator,DEM,"Mary ""MJ"" Hegar",17,3
Bee County,7/14/2020,Democratic Primary Runoff,0,0,10,1535,Railroad Commissioner,DEM,Chrysta Castañeda,13,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,10,1535,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",11,3
Bee County,7/14/2020,Democratic Primary Runoff,0,0,11,281,United States Senator,DEM,Royce West,0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,11,281,United States Senator,DEM,"Mary ""MJ"" Hegar",1,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,11,281,Railroad Commissioner,DEM,Chrysta Castañeda,0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,11,281,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",1,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,12,309,United States Senator,DEM,Royce West,1,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,12,309,United States Senator,DEM,"Mary ""MJ"" Hegar",1,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,12,309,Railroad Commissioner,DEM,Chrysta Castañeda,1,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,12,309,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,13,1534,United States Senator,DEM,Royce West,1,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,13,1534,United States Senator,DEM,"Mary ""MJ"" Hegar",19,6
Bee County,7/14/2020,Democratic Primary Runoff,0,0,13,1534,Railroad Commissioner,DEM,Chrysta Castañeda,16,7
Bee County,7/14/2020,Democratic Primary Runoff,0,0,13,1534,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",4,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,14,258,United States Senator,DEM,Royce West,2,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,14,258,United States Senator,DEM,"Mary ""MJ"" Hegar",2,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,14,258,Railroad Commissioner,DEM,Chrysta Castañeda,2,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,14,258,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",2,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,16,1069,United States Senator,DEM,Royce West,6,3
Bee County,7/14/2020,Democratic Primary Runoff,0,0,16,1069,United States Senator,DEM,"Mary ""MJ"" Hegar",14,5
Bee County,7/14/2020,Democratic Primary Runoff,0,0,16,1069,Railroad Commissioner,DEM,Chrysta Castañeda,12,5
Bee County,7/14/2020,Democratic Primary Runoff,0,0,16,1069,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",8,3
Bee County,7/14/2020,Democratic Primary Runoff,0,0,17,1183,United States Senator,DEM,Royce West,12,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,17,1183,United States Senator,DEM,"Mary ""MJ"" Hegar",12,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,17,1183,Railroad Commissioner,DEM,Chrysta Castañeda,15,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,17,1183,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",9,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,18,1684,United States Senator,DEM,Royce West,4,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,18,1684,United States Senator,DEM,"Mary ""MJ"" Hegar",12,3
Bee County,7/14/2020,Democratic Primary Runoff,0,0,18,1684,Railroad Commissioner,DEM,Chrysta Castañeda,10,3
Bee County,7/14/2020,Democratic Primary Runoff,0,0,18,1684,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",6,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,19,672,United States Senator,DEM,Royce West,7,4
Bee County,7/14/2020,Democratic Primary Runoff,0,0,19,672,United States Senator,DEM,"Mary ""MJ"" Hegar",4,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,19,672,Railroad Commissioner,DEM,Chrysta Castañeda,7,5
Bee County,7/14/2020,Democratic Primary Runoff,0,0,19,672,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",4,0
