political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_numbers,reg_voters,race_name,party code,candidate_name,early_votes,election_votes
Bee County,7/14/2020,Democratic Primary Runoff,0,0,1,2174,United States Senator,DEM,Royce West,9,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,1,2174,United States Senator,DEM,"Mary ""MJ"" Hegar",15,12
Bee County,7/14/2020,Democratic Primary Runoff,0,0,1,2174,Railroad Commissioner,DEM,Chrysta Castañeda,15,8
Bee County,7/14/2020,Democratic Primary Runoff,0,0,1,2174,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",9,5
Bee County,7/14/2020,Democratic Primary Runoff,0,0,2,263,United States Senator,DEM,Royce West,0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,2,263,United States Senator,DEM,"Mary ""MJ"" Hegar",0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,2,263,Railroad Commissioner,DEM,Chrysta Castañeda,0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,2,263,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",0,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,3,1789,United States Senator,DEM,Royce West,5,2
Bee County,7/14/2020,Democratic Primary Runoff,0,0,3,1789,United States Senator,DEM,"Mary ""MJ"" Hegar",8,6
Bee County,7/14/2020,Democratic Primary Runoff,0,0,3,1789,Railroad Commissioner,DEM,Chrysta Castañeda,7,7
Bee County,7/14/2020,Democratic Primary Runoff,0,0,3,1789,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",5,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,4,355,United States Senator,DEM,Royce West,1,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,4,355,United States Senator,DEM,"Mary ""MJ"" Hegar",3,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,4,355,Railroad Commissioner,DEM,Chrysta Castañeda,4,0
Bee County,7/14/2020,Democratic Primary Runoff,0,0,4,355,Railroad Commissioner,DEM,"Roberto R. ""Beto"" Alonzo",0,1
Bee County,7/14/2020,Democratic Primary Runoff,0,0,5,397,United States Senator,DEM,Royce West,1,0
