political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,3 - BS7,4755,U. S. Senator,Royce West,DEM,23,11
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,3 - BS7,4755,U. S. Senator,"Mary ""MJ"" Hegar",DEM,65,24
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,3 - BS7,4755,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,32,14
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,3 - BS7,4755,Railroad Commissioner,Chrysta Castañeda,DEM,57,21
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,3 - BS7,4755,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,42,17
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,3 - BS7,4755,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,43,18
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,4 - BS6,3222,U. S. Senator,Royce West,DEM,39,13
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,4 - BS6,3222,U. S. Senator,"Mary ""MJ"" Hegar",DEM,27,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,4 - BS6,3222,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,43,12
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,4 - BS6,3222,Railroad Commissioner,Chrysta Castañeda,DEM,21,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,4 - BS6,3222,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,30,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,4 - BS6,3222,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,36,12
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,5 - BS6,2058,U. S. Senator,Royce West,DEM,14,17
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,5 - BS6,2058,U. S. Senator,"Mary ""MJ"" Hegar",DEM,12,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,5 - BS6,2058,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,14,15
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,5 - BS6,2058,Railroad Commissioner,Chrysta Castañeda,DEM,12,7
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,5 - BS6,2058,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,18,16
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,5 - BS6,2058,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,8,6
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,6 - BS5,1453,U. S. Senator,Royce West,DEM,5,1
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,6 - BS5,1453,U. S. Senator,"Mary ""MJ"" Hegar",DEM,6,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,6 - BS5,1453,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,3,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,6 - BS5,1453,Railroad Commissioner,Chrysta Castañeda,DEM,8,3
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,6 - BS5,1453,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,4,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,6 - BS5,1453,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,6,2
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,7 - BS6,2725,U. S. Senator,Royce West,DEM,34,9
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,7 - BS6,2725,U. S. Senator,"Mary ""MJ"" Hegar",DEM,25,11
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,7 - BS6,2725,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,35,13
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,7 - BS6,2725,Railroad Commissioner,Chrysta Castañeda,DEM,24,9
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,7 - BS6,2725,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,32,9
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,7 - BS6,2725,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,27,13
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,8 - BS6,1324,U. S. Senator,Royce West,DEM,5,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,8 - BS6,1324,U. S. Senator,"Mary ""MJ"" Hegar",DEM,15,1
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,8 - BS6,1324,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,4,0
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,8 - BS6,1324,Railroad Commissioner,Chrysta Castañeda,DEM,16,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,8 - BS6,1324,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,8,2
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,8 - BS6,1324,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,12,3
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,9 - BS6,829,U. S. Senator,Royce West,DEM,19,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,9 - BS6,829,U. S. Senator,"Mary ""MJ"" Hegar",DEM,0,9
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,9 - BS6,829,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,6,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,9 - BS6,829,Railroad Commissioner,Chrysta Castañeda,DEM,13,4
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,9 - BS6,829,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,15,8
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,9 - BS6,829,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,3,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,10 - BS6,1037,U. S. Senator,Royce West,DEM,3,1
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,10 - BS6,1037,U. S. Senator,"Mary ""MJ"" Hegar",DEM,6,1
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,10 - BS6,1037,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,2,1
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,10 - BS6,1037,Railroad Commissioner,Chrysta Castañeda,DEM,7,1
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,10 - BS6,1037,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,2,0
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,10 - BS6,1037,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,7,2
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,11 - BS7,3656,U. S. Senator,Royce West,DEM,71,36
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,11 - BS7,3656,U. S. Senator,"Mary ""MJ"" Hegar",DEM,64,26
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,11 - BS7,3656,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,61,27
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,11 - BS7,3656,Railroad Commissioner,Chrysta Castañeda,DEM,71,33
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,11 - BS7,3656,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,90,37
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,11 - BS7,3656,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,43,23
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,12 - BS7,3561,U. S. Senator,Royce West,DEM,42,20
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,12 - BS7,3561,U. S. Senator,"Mary ""MJ"" Hegar",DEM,56,34
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,12 - BS7,3561,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,41,21
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,12 - BS7,3561,Railroad Commissioner,Chrysta Castañeda,DEM,56,33
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,12 - BS7,3561,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,55,35
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,12 - BS7,3561,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,42,19
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,13 - BS7,4325,U. S. Senator,Royce West,DEM,88,56
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,13 - BS7,4325,U. S. Senator,"Mary ""MJ"" Hegar",DEM,80,42
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,13 - BS7,4325,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,73,34
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,13 - BS7,4325,Railroad Commissioner,Chrysta Castañeda,DEM,91,63
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,13 - BS7,4325,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,99,66
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,13 - BS7,4325,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,62,33
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,14 - BS6,4948,U. S. Senator,Royce West,DEM,59,41
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,14 - BS6,4948,U. S. Senator,"Mary ""MJ"" Hegar",DEM,37,21
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,14 - BS6,4948,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,37,34
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,14 - BS6,4948,Railroad Commissioner,Chrysta Castañeda,DEM,58,28
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,14 - BS6,4948,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,45,27
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,14 - BS6,4948,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,50,34
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,15 - BS6,2433,U. S. Senator,Royce West,DEM,3,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,15 - BS6,2433,U. S. Senator,"Mary ""MJ"" Hegar",DEM,9,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,15 - BS6,2433,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",DEM,0,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,15 - BS6,2433,Railroad Commissioner,Chrysta Castañeda,DEM,12,5
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,15 - BS6,2433,"Justice, 14th Court of Appeals District, Place 7","Tamika ""Tami"" Craft",DEM,5,6
Brazoria County,7/14/2020,2020 Democratic Primary Runoff Election,,,15 - BS6,2433,"Justice, 14th Court of Appeals District, Place 7",Cheri Thomas,DEM,6,4
