COUNTY NUMBER,ELECTION DATE,ELECTION NAME,Total Provisional,Total Provisional Counted,,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST - Republican Party,"US Rep, District 13","US Rep, District 13","Justice, 2nd Ct of App Dist. PL7","Justice, 2nd Ct of App Dist. PL7"
,,,,,,,,REP,REP,REP,REP,REP
,,,,,,,VOTERS,BALLOTS CAST,Ronny Jackson,Josh Winegarner,Elizabeth Beach,Brian Walker
COOKE ,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 1,1431,15,13,2,5,9
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 1,1431,80,46,33,36,35
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 1,1431,37,12,25,8,24
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 2,266,8,6,2,4,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 2,266,3,1,2,1,2
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 2,266,9,7,2,0,8
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 3,458,4,2,2,2,2
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 3,458,37,22,15,13,19
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 3,458,19,17,2,7,12
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 4,557,9,1,8,2,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 4,557,19,13,6,7,11
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 4,557,22,11,11,8,10
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 5,1369,16,10,6,3,13
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 5,1369,52,32,20,22,26
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 5,1369,29,21,7,8,20
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 6,552,5,3,2,1,4
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 6,552,17,10,7,2,15
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 6,552,36,26,10,8,26
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 7,1613,27,8,19,15,12
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 7,1613,73,38,34,15,49
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 7,1613,103,61,41,21,69
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 8,992,4,1,3,0,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 8,992,48,33,13,13,29
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 8,992,45,31,14,8,31
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 9,1510,21,14,7,9,10
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 9,1510,36,29,7,9,25
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 9,1510,77,51,26,16,52
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 10,1906,33,18,15,11,20
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 10,1906,85,41,44,24,52
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 10,1906,136,79,57,36,88
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 11,2578,20,10,10,7,13
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 11,2578,78,35,43,20,49
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 11,2578,167,78,89,47,108
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 12,805,5,2,3,3,0
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 12,805,21,6,15,7,14
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 12,805,74,29,44,22,46
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 14,300,3,3,0,1,2
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 14,300,12,10,2,2,9
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 14,300,34,16,18,13,20
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 15,283,3,1,2,2,1
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 15,283,4,1,3,1,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 15,283,28,18,10,11,15
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 17,435,10,3,7,2,8
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 17,435,6,0,6,2,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 17,435,51,13,37,13,33
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 18,1811,28,7,21,12,16
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 18,1811,39,4,35,11,21
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 18,1811,189,79,110,60,98
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 19,420,5,1,4,0,5
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 19,420,22,11,11,6,14
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 19,420,33,20,13,9,20
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 20,457,5,2,3,2,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 20,457,47,31,16,15,29
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 20,457,36,22,14,10,21
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 21,1204,16,8,8,7,9
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 21,1204,36,19,17,8,27
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 21,1204,122,63,59,34,67
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 22,1990,55,30,25,25,27
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 22,1990,94,61,33,37,48
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 22,1990,266,185,80,107,135
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 26,566,5,1,4,2,2
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 26,566,19,9,10,6,12
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 26,566,20,16,4,8,10
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 27,283,2,2,0,0,2
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 27,283,7,3,4,2,5
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 27,283,9,3,6,3,6
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 28,111,0,0,0,0,0
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 28,111,1,1,0,0,1
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 28,111,3,0,3,0,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 30,281,4,4,0,0,4
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 30,281,6,3,3,3,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 30,281,4,3,1,3,1
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 31,218,0,0,0,0,0
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 31,218,7,5,2,2,4
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 31,218,1,0,1,0,1
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 33,474,1,1,0,0,1
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 33,474,22,6,16,4,16
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 33,474,42,22,20,17,22
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 34,731,5,2,3,2,3
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 34,731,8,3,5,2,6
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 34,731,12,7,4,2,8
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 35,1067,2,2,0,2,0
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 35,1067,20,4,16,6,11
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 35,1067,24,14,9,10,11
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting by Mail ,Pct. 37,1599,29,15,14,17,10
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Early Voting in Person,Pct. 37,1599,64,44,19,20,40
COOKE,14-Jul-20,REPUBLICAN PRIMARY RUNOFF,11,3,Election Day ,Pct. 37,1599,89,57,32,36,47
