COUNTY NUMBER,ELECTION DATE,ELECTION NAME,Total Provisional,Total Provisional Counted,,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST - Democratic Party,US Senator,US Senator,"US Rep, District 13","US Rep, District 13",Railroad Commissioner,Railroad Commissioner
,,,,,,,,DEM,DEM,DEM,DEM,DEM,DEM,DEM
,,,,,,,VOTERS,BALLOTS CAST,Royce West,"Mary ""MJ"" Hegar",Gus Trujillo,Greg Sagan,Chrysta Castaneda,"Roberto R. ""Beto"" Alonzo"
COOKE ,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 1,1431,19,11,8,12,7,14,5
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 1,1431,16,9,7,9,6,8,7
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 1,1431,13,6,7,9,3,5,7
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 2,266,4,2,2,3,0,4,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 2,266,3,1,2,2,1,2,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 2,266,2,0,1,1,1,1,1
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 3,458,1,0,1,0,1,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 3,458,2,2,0,2,0,2,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 3,458,1,1,0,1,0,1,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 4,557,4,2,2,4,0,1,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 4,557,3,2,1,2,1,3,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 4,557,4,3,1,3,1,4,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 5,1369,10,1,9,7,3,7,3
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 5,1369,15,10,5,12,3,9,6
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Election Day ,Pct. 5,1369,7,1,6,4,3,5,2
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting by Mail ,Pct. 6,552,0,0,0,0,0,0,0
COOKE,14-Jul-20,DEMOCRATIC PRIMARY,11,3,Early Voting in Person,Pct. 6,552,0,0,0,0,0,0,0
