COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,REGISTERED VOTERS - NONPARTISAN,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,BALLOTS CAST - NONPARTISAN,BALLOTS CAST BLANK,"REP Dist Judge, 142nd Judicial Dist","REP Dist Judge, 142nd Judicial Dist",DEM US Senator,DEM US Senator,DEM Railroad Commissioner,DEM Railroad Commissioner,
,,,,NON,,REP,DEM,NON,,REP,REP,DEM,DEM,DEM,DEM,
,,,VOTERS,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,David G. Rogers,Mary Baker,Royce West,"Mary ""MJ"" Hegar","Roberto R. ""Beto"" Alonzo",Chrysta Castaneda,
MIDLA,1,PCT 101,967,967,41,41,0,0,0,34,7,0,0,0,0,
MIDLA,2,PCT 102,3590,3590,246,200,46,0,2,110,88,16,30,13,33,
MIDLA,3,PCT 103,2692,2692,308,253,55,0,1,163,89,23,31,26,29,
MIDLA,4,PCT 104,1074,1074,48,35,13,0,0,25,10,4,9,5,8,
MIDLA,5,PCT 105,1908,1908,126,88,38,0,2,60,27,14,23,12,24,
MIDLA,6,PCT 106,3649,3649,300,230,70,0,1,140,89,38,32,35,34,
MIDLA,7,PCT 107,2971,2971,439,378,61,0,0,239,139,24,36,24,33,
MIDLA,8,PCT 108,604,604,30,25,5,0,0,14,11,2,3,4,1,
MIDLA,9,PCT 108A,544,544,18,15,3,0,0,9,6,1,2,0,3,
MIDLA,10,PCT 109,823,823,48,35,13,0,0,21,14,6,7,6,7,
MIDLA,11,PCT 110,3078,3078,512,475,37,0,4,242,231,14,21,14,20,
MIDLA,12,PCT 201,2724,2724,216,204,12,0,0,142,62,2,9,2,9,
MIDLA,13,PCT 202,5768,5768,354,327,27,0,2,211,114,11,16,12,15,
MIDLA,14,PCT 203,753,753,63,55,8,0,0,32,23,2,6,5,3,
MIDLA,15,PCT 204,2718,2718,575,517,58,0,1,343,173,21,36,18,39,
MIDLA,16,PCT 205,973,973,302,275,27,0,0,171,104,7,20,8,17,
MIDLA,17,PCT 206,1781,1781,344,306,38,0,3,216,88,10,27,9,28,
MIDLA,18,PCT 207,2716,2716,619,542,77,0,0,398,144,20,57,31,44,
MIDLA,19,PCT 208,884,884,87,69,18,0,0,34,35,5,13,11,7,
MIDLA,20,PCT 210,1589,1589,220,185,35,0,1,118,66,14,21,11,23,
MIDLA,21,PCT 211,3478,3478,286,239,47,0,1,138,100,16,31,21,25,
MIDLA,22,PCT 212,1665,1665,257,223,34,0,0,144,79,20,14,11,21,
MIDLA,23,PCT 302,3490,3490,198,175,23,0,1,108,67,8,14,10,11,
MIDLA,24,PCT 303,400,400,19,13,6,0,0,8,5,2,4,3,2,
MIDLA,25,PCT 304,1719,1719,54,33,21,0,2,17,14,7,14,13,8,
MIDLA,26,PCT 305,1491,1491,82,17,65,0,0,12,5,53,12,39,26,
MIDLA,27,PCT 306,2386,2386,119,31,88,0,0,22,9,48,40,52,36,
MIDLA,28,PCT 307,1164,1164,165,130,35,0,1,71,59,17,17,14,20,
MIDLA,29,PCT 307A,266,266,39,30,9,0,0,12,18,4,5,3,6,
MIDLA,30,PCT 308,4150,4150,333,102,231,0,4,50,49,155,73,126,94,
MIDLA,31,PCT 309,407,407,22,15,7,0,0,6,9,3,4,4,3,
MIDLA,32,PCT 309A,31,31,4,4,0,0,1,2,1,0,0,0,0,
MIDLA,33,PCT 310,592,592,30,15,15,0,0,10,5,11,4,10,5,
MIDLA,34,PCT 401,1102,1102,84,80,4,0,0,56,24,1,3,2,2,
MIDLA,35,PCT 402,303,303,45,38,7,0,0,27,11,2,5,2,5,
MIDLA,36,PCT 402A,784,784,125,113,12,0,2,65,46,6,6,2,9,
MIDLA,37,PCT 403,3253,3253,565,502,63,0,4,336,163,21,41,21,40,
MIDLA,38,PCT 404,2494,2494,470,411,59,0,3,208,201,24,34,18,39,
MIDLA,39,PCT 405,2650,2650,383,347,36,0,0,222,125,17,19,14,22,
MIDLA,40,PCT 406,1940,1940,73,56,17,0,0,48,8,7,10,6,10,
MIDLA,41,PCT 407,3083,3083,257,214,43,0,0,134,80,12,31,11,31,
MIDLA,42,PCT 408,1980,1980,414,387,27,0,1,202,184,8,19,7,19,
MIDLA,43,PCT 409,1934,1934,270,241,29,0,0,142,99,13,16,13,16,
MIDLA,44,PCT 410,1323,1323,157,142,15,0,1,72,69,9,5,4,11,
MIDLA,45,PCT 411,3736,3736,850,785,65,0,4,404,377,19,45,22,40,
MIDLA,ZZZ,COUNTY TOTALS,87627,87627,10197,8598,1599,0,42,5238,3327,717,865,674,878,
