politican subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted ,precinct_number,reg_voters,NON Ballots Cast,race_name,candidate_name,party code,early_votes,election_votes
Reagan County,14-Jul-20,Run-Off,0,0,1,0,0,United States Senator,"Mary ""MJ"" Hegar",,0,0
Reagan County,14-Jul-20,Run-Off,0,0,1,0,0,United States Senator,Royce West,,0,0
Reagan County,14-Jul-20,Run-Off,0,0,1,0,0,Railroad Commissioner,Chrysta Castañeda,,0,0
Reagan County,14-Jul-20,Run-Off,0,0,1,0,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,0,0
Reagan County,14-Jul-20,Run-Off,0,0,1,0,0,"United States Representative,
District No. 23",Tony Gonzales,,2,0
Reagan County,14-Jul-20,Run-Off,0,0,1,0,0,"United States Representative,
District No. 23",Raul Reyes,,6,7
Reagan County,14-Jul-20,Run-Off,0,0,2,0,0,United States Senator,"Mary ""MJ"" Hegar",,0,0
Reagan County,14-Jul-20,Run-Off,0,0,2,0,0,United States Senator,Royce West,,0,0
Reagan County,14-Jul-20,Run-Off,0,0,2,0,0,Railroad Commissioner,Chrysta Castañeda,,0,0
Reagan County,14-Jul-20,Run-Off,0,0,2,0,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,0,0
Reagan County,14-Jul-20,Run-Off,0,0,2,0,0,"United States Representative,
District No. 23",Tony Gonzales,,7,10
Reagan County,14-Jul-20,Run-Off,0,0,2,0,0,"United States Representative,
District No. 23",Raul Reyes,,10,26
Reagan County,14-Jul-20,Run-Off,0,0,3,0,0,United States Senator,"Mary ""MJ"" Hegar",,0,0
Reagan County,14-Jul-20,Run-Off,0,0,3,0,0,United States Senator,Royce West,,0,0
Reagan County,14-Jul-20,Run-Off,0,0,3,0,0,Railroad Commissioner,Chrysta Castañeda,,0,0
Reagan County,14-Jul-20,Run-Off,0,0,3,0,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,0,0
Reagan County,14-Jul-20,Run-Off,0,0,3,0,0,"United States Representative,
District No. 23",Tony Gonzales,,8,9
Reagan County,14-Jul-20,Run-Off,0,0,3,0,0,"United States Representative,
District No. 23",Raul Reyes,,15,19
Reagan County,14-Jul-20,Run-Off,0,0,4,0,0,United States Senator,"Mary ""MJ"" Hegar",,2,0
Reagan County,14-Jul-20,Run-Off,0,0,4,0,0,United States Senator,Royce West,,0,0
Reagan County,14-Jul-20,Run-Off,0,0,4,0,0,Railroad Commissioner,Chrysta Castañeda,,2,0
Reagan County,14-Jul-20,Run-Off,0,0,4,0,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,0,0
Reagan County,14-Jul-20,Run-Off,0,0,4,0,0,"United States Representative,
District No. 23",Tony Gonzales,,8,7
Reagan County,14-Jul-20,Run-Off,0,0,4,0,0,"United States Representative,
District No. 23",Raul Reyes,,12,15
