Political_subdivision,Election_date,Election_name,total provisional ballots,total provisional ballots counted,precint_number,Precinct ID,Precinct Reporting,reg_voters,REP Ballots Cast,Turnout Percentage,race_name,candidate_name,Choice ID,party code,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,election_votes,DEM Ballots Cast,NON Ballots Cast,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
Milam County,7/14/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,"United States Representative, District 17",Renée Swann,0,REP,241,0,25,,30,0,1,,153,0,18,,58,58,0,0,6,
Milam County,7/15/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,"United States Representative, District 17",Pete Sessions,0,REP,335,0,25,,27,0,1,,239,0,18,,69,58,0,0,6,
Milam County,7/16/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,"County Commissioner, Precinct No. 1","Richard ""Opey"" Watkins",0,REP,245,0,0,,27,0,0,,169,0,0,,49,58,0,0,0,
Milam County,7/17/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,"County Commissioner, Precinct No. 1","Henry ""Hub"" Hubnik",0,REP,356,0,0,,31,0,0,,241,0,0,,84,58,0,0,0,
Milam County,7/18/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,United States Senator,"Mary ""MJ"" Hegar",0,DEM,45,0,2,,13,0,0,,23,0,1,,9,58,0,0,1,
Milam County,7/19/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,United States Senator,Royce West,0,DEM,11,0,2,,6,0,0,,2,0,1,,3,58,0,0,1,
Milam County,7/20/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,"United States Representative, District 17",David Anthony Jaramillo,0,DEM,18,0,4,,6,0,2,,7,0,1,,5,58,0,0,1,
Milam County,7/21/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,"United States Representative, District 17",Rick Kennedy,0,DEM,36,0,4,,11,0,2,,18,0,1,,7,58,0,0,1,
Milam County,7/22/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",0,DEM,31,0,3,,11,0,2,,15,0,0,,5,58,0,0,1,
Milam County,7/23/2020,Primary Runoff,7,3,101,0,Reporting,0,601,0,Railroad Commissioner,Chrysta Castañeda,0,DEM,24,0,3,,6,0,2,,11,0,0,,7,58,0,0,1,
Milam County,7/24/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,"United States Representative, District 17",Renée Swann,0,REP,85,0,7,,9,0,0,,41,0,6,,35,26,0,0,1,
Milam County,7/25/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,"United States Representative, District 17",Pete Sessions,0,REP,126,0,7,,28,0,0,,59,0,6,,39,26,0,0,1,
Milam County,7/26/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,"County Commissioner, Precinct No. 1","Richard ""Opey"" Watkins",0,REP,92,0,3,,22,0,0,,43,0,2,,27,26,0,0,1,
Milam County,7/27/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,"County Commissioner, Precinct No. 1","Henry ""Hub"" Hubnik",0,REP,123,0,3,,15,0,0,,61,0,2,,47,26,0,0,1,
Milam County,7/28/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,United States Senator,"Mary ""MJ"" Hegar",0,DEM,24,0,0,,10,0,0,,11,0,0,,3,26,0,0,0,
Milam County,7/29/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,United States Senator,Royce West,0,DEM,2,0,0,,2,0,0,,0,0,0,,0,26,0,0,0,
Milam County,7/30/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,"United States Representative, District 17",David Anthony Jaramillo,0,DEM,5,0,0,,3,0,0,,1,0,0,,1,26,0,0,0,
Milam County,7/31/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,"United States Representative, District 17",Rick Kennedy,0,DEM,21,0,0,,9,0,0,,10,0,0,,2,26,0,0,0,
Milam County,8/1/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",0,DEM,8,0,0,,3,0,0,,5,0,0,,0,26,0,0,0,
Milam County,8/2/2020,Primary Runoff,7,3,105,0,Reporting,0,218,0,Railroad Commissioner,Chrysta Castañeda,0,DEM,18,0,0,,9,0,0,,6,0,0,,3,26,0,0,0,
Milam County,8/3/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,"United States Representative, District 17",Renée Swann,0,REP,31,0,0,,4,0,0,,19,0,0,,8,6,0,0,0,
Milam County,8/4/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,"United States Representative, District 17",Pete Sessions,0,REP,27,0,0,,2,0,0,,15,0,0,,10,6,0,0,0,
Milam County,8/5/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,United States Senator,"Mary ""MJ"" Hegar",0,DEM,2,0,0,,1,0,0,,0,0,0,,1,6,0,0,0,
Milam County,8/6/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,United States Senator,Royce West,0,DEM,4,0,0,,2,0,0,,2,0,0,,0,6,0,0,0,
Milam County,8/7/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,"United States Representative, District 17",David Anthony Jaramillo,0,DEM,3,0,0,,1,0,0,,2,0,0,,0,6,0,0,0,
Milam County,8/8/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,"United States Representative, District 17",Rick Kennedy,0,DEM,3,0,0,,2,0,0,,0,0,0,,1,6,0,0,0,
Milam County,8/9/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",0,DEM,0,0,0,,0,0,0,,0,0,0,,0,6,0,0,0,
Milam County,8/10/2020,Primary Runoff,7,3,203,0,Reporting,0,58,0,Railroad Commissioner,Chrysta Castañeda,0,DEM,6,0,0,,3,0,0,,2,0,0,,1,6,0,0,0,
Milam County,8/11/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,"United States Representative, District 17",Renée Swann,0,REP,17,0,0,,4,0,0,,7,0,0,,6,20,0,0,0,
Milam County,8/12/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,"United States Representative, District 17",Pete Sessions,0,REP,21,0,0,,5,0,0,,5,0,0,,11,20,0,0,0,
Milam County,8/13/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,United States Senator,"Mary ""MJ"" Hegar",0,DEM,11,0,0,,7,0,0,,1,0,0,,3,20,0,0,0,
Milam County,8/14/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,United States Senator,Royce West,0,DEM,9,0,0,,3,0,0,,5,0,0,,1,20,0,0,0,
Milam County,8/15/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,"United States Representative, District 17",David Anthony Jaramillo,0,DEM,8,0,0,,4,0,0,,2,0,0,,2,20,0,0,0,
Milam County,8/16/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,"United States Representative, District 17",Rick Kennedy,0,DEM,12,0,0,,6,0,0,,4,0,0,,2,20,0,0,0,
Milam County,8/17/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",0,DEM,12,0,0,,6,0,0,,5,0,0,,1,20,0,0,0,
Milam County,8/18/2020,Primary Runoff,7,3,207,0,Reporting,0,38,0,Railroad Commissioner,Chrysta Castañeda,0,DEM,8,0,0,,4,0,0,,1,0,0,,3,20,0,0,0,
Milam County,8/19/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,"United States Representative, District 17",Renée Swann,0,REP,33,0,0,,3,0,0,,18,0,0,,12,12,0,0,0,
Milam County,8/20/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,"United States Representative, District 17",Pete Sessions,0,REP,24,0,0,,6,0,0,,9,0,0,,9,12,0,0,0,
Milam County,8/21/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,United States Senator,"Mary ""MJ"" Hegar",0,DEM,5,0,0,,3,0,0,,2,0,0,,0,12,0,0,0,
Milam County,8/22/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,United States Senator,Royce West,0,DEM,7,0,0,,5,0,0,,2,0,0,,0,12,0,0,0,
Milam County,8/23/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,"United States Representative, District 17",David Anthony Jaramillo,0,DEM,4,0,1,,3,0,1,,1,0,0,,0,12,0,0,0,
Milam County,8/24/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,"United States Representative, District 17",Rick Kennedy,0,DEM,7,0,1,,4,0,1,,3,0,0,,0,12,0,0,0,
Milam County,8/25/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",0,DEM,5,0,0,,4,0,0,,1,0,0,,0,12,0,0,0,
Milam County,8/26/2020,Primary Runoff,7,3,210,0,Reporting,0,57,0,Railroad Commissioner,Chrysta Castañeda,0,DEM,7,0,0,,4,0,0,,3,0,0,,0,12,0,0,0,
Milam County,8/27/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,"United States Representative, District 17",Renée Swann,0,REP,88,1,0,,15,1,0,,40,0,0,,33,89,0,0,0,
Milam County,8/28/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,"United States Representative, District 17",Pete Sessions,0,REP,69,1,0,,11,1,0,,41,0,0,,17,89,0,0,0,
Milam County,8/29/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,United States Senator,"Mary ""MJ"" Hegar",0,DEM,56,0,0,,20,0,0,,23,0,0,,13,89,0,0,0,
Milam County,8/30/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,United States Senator,Royce West,0,DEM,33,0,0,,13,0,0,,8,0,0,,12,89,0,0,0,
Milam County,8/31/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,"United States Representative, District 17",David Anthony Jaramillo,0,DEM,41,0,0,,16,0,0,,13,0,0,,12,89,0,0,0,
Milam County,9/1/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,"United States Representative, District 17",Rick Kennedy,0,DEM,48,0,0,,17,0,0,,18,0,0,,13,89,0,0,0,
Milam County,9/2/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",0,DEM,43,0,3,,19,0,1,,9,0,1,,15,89,0,0,1,
Milam County,9/3/2020,Primary Runoff,7,3,212,0,Reporting,0,158,0,Railroad Commissioner,Chrysta Castañeda,0,DEM,43,0,3,,13,0,1,,21,0,1,,9,89,0,0,1,
Milam County,9/4/2020,Primary Runoff,7,3,316,0,Reporting,0,56,0,"United States Representative, District 17",Renée Swann,0,REP,29,0,0,,11,0,0,,9,0,0,,9,16,0,0,0,
Milam County,9/5/2020,Primary Runoff,7,3,316,0,Reporting,0,56,0,"United States Representative, District 17",Pete Sessions,0,REP,27,0,0,,10,0,0,,4,0,0,,13,16,0,0,0,
Milam County,9/6/2020,Primary Runoff,7,3,316,0,Reporting,0,56,0,United States Senator,"Mary ""MJ"" Hegar",0,DEM,11,0,0,,6,0,0,,3,0,0,,2,16,0,0,0,
