political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_rovters,race_name,candidate_name,party code,early_votes,election_votes
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,1-EASTLAND,2756,U.S. Senator,Royce West,,7,2
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,1-EASTLAND,2756,U.S. Senator,"Mary ""MJ"" Hegar",,5,6
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,1-EASTLAND,2756,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,5,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,1-EASTLAND,2756,Railroad Commissioner,Chrysta Castañeda,,7,7
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,1-EASTLAND,2756,"State Representative, District 60",Glenn Rogers,,20,121
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,1-EASTLAND,2756,"State Representative, District 60",Jon Francis,,60,175
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,U.S. Senator,Royce West,,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,U.S. Senator,"Mary ""MJ"" Hegar",,1,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,Railroad Commissioner,Chrysta Castañeda,,1,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,"State Representative, District 60",Glenn Rogers,,2,15
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,"State Representative, District 60",Jon Francis,,5,13
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,"County Commissioner, Precinct 2, Unexpired Term",Jay Gentry,,2,15
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,2-OLDEN,357,"County Commissioner, Precinct 2, Unexpired Term",James Crenshaw,,4,12
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,U.S. Senator,Royce West,,4,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,U.S. Senator,"Mary ""MJ"" Hegar",,9,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,3,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,Railroad Commissioner,Chrysta Castañeda,,10,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,"State Representative, District 60",Glenn Rogers,,12,30
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,"State Representative, District 60",Jon Francis,,20,46
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,"County Commissioner, Precinct 2, Unexpired Term",Jay Gentry,,11,21
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,3-RANGER,1927,"County Commissioner, Precinct 2, Unexpired Term",James Crenshaw,,17,51
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,U.S. Senator,Royce West,,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,U.S. Senator,"Mary ""MJ"" Hegar",,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,Railroad Commissioner,Chrysta Castañeda,,0,0
