political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_rovters,race_name,candidate_name,party code,early_votes,election_votes
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,"State Representative, District 60",Glenn Rogers,,3,12
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,"State Representative, District 60",Jon Francis,,12,10
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,"County Commissioner, Precinct 2, Unexpired Term",Jay Gentry,,6,6
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,4-DESDEMONA,302,"County Commissioner, Precinct 2, Unexpired Term",James Crenshaw,,8,16
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,5-GORMAN,700,U.S. Senator,Royce West,,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,5-GORMAN,700,U.S. Senator,"Mary ""MJ"" Hegar",,3,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,5-GORMAN,700,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,5-GORMAN,700,Railroad Commissioner,Chrysta Castañeda,,3,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,5-GORMAN,700,"State Representative, District 60",Glenn Rogers,,5,16
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,5-GORMAN,700,"State Representative, District 60",Jon Francis,,16,10
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,6-CARBON,340,U.S. Senator,Royce West,,0,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,6-CARBON,340,U.S. Senator,"Mary ""MJ"" Hegar",,3,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,6-CARBON,340,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,1,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,6-CARBON,340,Railroad Commissioner,Chrysta Castañeda,,2,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,6-CARBON,340,"State Representative, District 60",Glenn Rogers,,5,11
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,6-CARBON,340,"State Representative, District 60",Jon Francis,,5,12
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,7-RISING STAR,2004,U.S. Senator,Royce West,,6,2
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,7-RISING STAR,2004,U.S. Senator,"Mary ""MJ"" Hegar",,11,4
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,7-RISING STAR,2004,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,14,3
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,7-RISING STAR,2004,Railroad Commissioner,Chrysta Castañeda,,4,3
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,7-RISING STAR,2004,"State Representative, District 60",Glenn Rogers,,35,68
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,7-RISING STAR,2004,"State Representative, District 60",Jon Francis,,71,111
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,8-CISCO,2812,U.S. Senator,Royce West,,15,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,8-CISCO,2812,U.S. Senator,"Mary ""MJ"" Hegar",,8,7
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,8-CISCO,2812,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,14,2
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,8-CISCO,2812,Railroad Commissioner,Chrysta Castañeda,,9,4
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,8-CISCO,2812,"State Representative, District 60",Glenn Rogers,,37,94
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,8-CISCO,2812,"State Representative, District 60",Jon Francis,,95,224
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,U.S. Senator,Royce West,,2,0
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,U.S. Senator,"Mary ""MJ"" Hegar",,2,2
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,1,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,Railroad Commissioner,Chrysta Castañeda,,3,1
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,"State Representative, District 60",Glenn Rogers,,13,27
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,"State Representative, District 60",Jon Francis,,17,42
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,"County Commissioner, Precinct 2, Unexpired Term",Jay Gentry,,7,32
EASTLAND COUNTY,7/14/2020,2020 JOINT PRIMARY RUNOFF,3,0,9-LAKE LEON,581,"County Commissioner, Precinct 2, Unexpired Term",James Crenshaw,,22,37
