political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,DEM Ballots Cast,race_name,candidate_name,,,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
,,,,,1,1180,United States Senator,"Mary ""MJ"" Hegar",,,429,73,31,398
,,,,,1,1180,United States Senator,Royce West,,,235,45,19,216
,,,,,1,1180,Railroad Commissioner,Chrysta Castañeda,,,278,41,22,256
,,,,,1,1180,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,,394,81,27,367
,,,,,1,1180,Sheriff,Raymundo Del Bosque,,,542,89,28,514
,,,,,1,1180,Sheriff,Ramon E. Montes,,,465,79,41,424
,,,,,1A,68,United States Senator,"Mary ""MJ"" Hegar",,,7,14,0,7
,,,,,1A,68,United States Senator,Royce West,,,5,12,1,4
,,,,,1A,68,Railroad Commissioner,Chrysta Castañeda,,,0,9,0,0
,,,,,1A,68,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,,13,18,1,12
,,,,,1A,68,Sheriff,Raymundo Del Bosque,,,21,17,0,21
,,,,,1A,68,Sheriff,Ramon E. Montes,,,4,26,1,3
,,,,,1B,84,United States Senator,"Mary ""MJ"" Hegar",,,20,16,0,20
,,,,,1B,84,United States Senator,Royce West,,,12,9,2,10
,,,,,1B,84,Railroad Commissioner,Chrysta Castañeda,,,13,10,0,13
,,,,,1B,84,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,,20,16,2,18
,,,,,1B,84,Sheriff,Raymundo Del Bosque,,,38,14,5,33
,,,,,1B,84,Sheriff,Ramon E. Montes,,,16,16,7,9
,,,,,2,915,United States Senator,"Mary ""MJ"" Hegar",,,270,86,10,260
,,,,,2,915,United States Senator,Royce West,,,170,69,3,167
,,,,,2,915,Railroad Commissioner,Chrysta Castañeda,,,182,67,8,174
,,,,,2,915,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,,265,90,5,260
,,,,,2,915,Sheriff,Raymundo Del Bosque,,,339,108,9,330
,,,,,2,915,Sheriff,Ramon E. Montes,,,354,114,19,335
,,,,,2A,364,United States Senator,"Mary ""MJ"" Hegar",,,80,49,7,73
,,,,,2A,364,United States Senator,Royce West,,,46,23,5,41
,,,,,2A,364,Railroad Commissioner,Chrysta Castañeda,,,69,37,4,65
,,,,,2A,364,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,,63,35,8,55
,,,,,2A,364,Sheriff,Raymundo Del Bosque,,,99,44,13,86
,,,,,2A,364,Sheriff,Ramon E. Montes,,,128,91,21,107
,,,,,3,1400,United States Senator,"Mary ""MJ"" Hegar",,,504,100,27,477
,,,,,3,1400,United States Senator,Royce West,,,273,51,7,266
,,,,,3,1400,Railroad Commissioner,Chrysta Castañeda,,,337,62,17,320
,,,,,3,1400,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,,442,89,17,425
,,,,,3,1400,Sheriff,Raymundo Del Bosque,,,632,108,33,599
,,,,,3,1400,Sheriff,Ramon E. Montes,,,554,102,21,533
,,,,,3,1400,"County Commissioner, Precinct 3","Jose A. ""Joey"" Solis",,,835,139,31,804
,,,,,3,1400,"County Commissioner, Precinct 3",Benito Reyes,,,328,67,22,306
,,,,,4,1103,United States Senator,"Mary ""MJ"" Hegar",,,316,76,17,299
,,,,,4,1103,United States Senator,Royce West,,,199,57,12,187
,,,,,4,1103,Railroad Commissioner,Chrysta Castañeda,,,206,64,14,192
,,,,,4,1103,Railroad Commissioner,"Roberto R. ""Beto"" Alonzo",,,325,73,16,309
,,,,,4,1103,Sheriff,Raymundo Del Bosque,,,503,86,30,473
,,,,,4,1103,Sheriff,Ramon E. Montes,,,412,100,41,371
