political_subdivision,election_date,election_name,#Precinct,Precinct ID,Precinct Reporting,Registered Voters,REP Ballots Cast,DEM Ballots Cast,NON Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,"Justice, 1st Court of Appeals District, Place 5",1,REP,James Lombardino,2,,89,0,64,0,14,0,6,0,50,0,44,0,25,0,14,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,"Justice, 1st Court of Appeals District, Place 5",1,REP,Terry Adams,1,,192,0,64,0,22,0,6,0,122,0,44,0,48,0,14,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,Sheriff,5,REP,R. Glenn Smith,1,,215,0,0,0,32,0,0,0,140,0,0,0,43,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,Sheriff,5,REP,Troy Guidry,2,,130,0,0,0,10,0,0,0,76,0,0,0,44,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,United States Senator,4,DEM,Royce West,1,,20,0,1,0,6,0,0,0,9,0,1,0,5,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,United States Senator,4,DEM,"Mary ""MJ"" Hegar",2,,38,0,1,0,7,0,0,0,13,0,1,0,18,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,"United States Representative, District 10",6,DEM,Mike Siegel,2,,39,0,2,0,10,0,0,0,16,0,1,0,13,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,"United States Representative, District 10",6,DEM,Pritesh Gandhi,1,,18,0,2,0,3,0,0,0,6,0,1,0,9,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,Railroad Commissioner,3,DEM,"Roberto R. ""Beto"" Alonzo",1,,31,0,3,0,11,0,0,0,9,0,2,0,11,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,Railroad Commissioner,3,DEM,Chrysta Castañeda,2,,25,0,3,0,2,0,0,0,12,0,2,0,11,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,"Justice, 14th Court of Appeals District, Place 7",2,DEM,"Tamika ""Tami"" Craft",1,,28,0,3,0,5,0,0,0,10,0,2,0,13,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,101,3,Reporting         ,1904,345,59,0,21.22,"Justice, 14th Court of Appeals District, Place 7",2,DEM,Cheri Thomas,2,,28,0,3,0,8,0,0,0,11,0,2,0,9,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,"Justice, 1st Court of Appeals District, Place 5",1,REP,James Lombardino,2,,56,0,40,0,4,0,0,0,38,0,29,0,14,0,11,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,"Justice, 1st Court of Appeals District, Place 5",1,REP,Terry Adams,1,,125,0,40,0,13,0,0,0,81,0,29,0,31,0,11,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,Sheriff,5,REP,R. Glenn Smith,1,,106,0,1,0,15,0,0,0,70,0,0,0,21,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,Sheriff,5,REP,Troy Guidry,2,,114,0,1,0,2,0,0,0,78,0,0,0,34,0,1,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,United States Senator,4,DEM,Royce West,1,,75,0,6,0,33,0,1,0,23,0,2,0,19,0,3,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,United States Senator,4,DEM,"Mary ""MJ"" Hegar",2,,28,0,6,0,11,0,1,0,7,0,2,0,10,0,3,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,"United States Representative, District 10",6,DEM,Mike Siegel,2,,68,0,6,0,29,0,0,0,21,0,1,0,18,0,5,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,"United States Representative, District 10",6,DEM,Pritesh Gandhi,1,,35,0,6,0,16,0,0,0,10,0,1,0,9,0,5,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,Railroad Commissioner,3,DEM,"Roberto R. ""Beto"" Alonzo",1,,58,1,10,0,26,1,1,0,11,0,4,0,21,0,5,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,Railroad Commissioner,3,DEM,Chrysta Castañeda,2,,40,1,10,0,17,1,1,0,17,0,4,0,6,0,5,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,"Justice, 14th Court of Appeals District, Place 7",2,DEM,"Tamika ""Tami"" Craft",1,,67,0,8,0,31,0,0,0,19,0,4,0,17,0,4,0
Waller County,7/14/2020,2020 Primary Runoff ,102,2,Reporting         ,1731,221,109,0,19.06,"Justice, 14th Court of Appeals District, Place 7",2,DEM,Cheri Thomas,2,,34,0,8,0,14,0,0,0,9,0,4,0,11,0,4,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,"Justice, 1st Court of Appeals District, Place 5",1,REP,James Lombardino,2,,36,0,42,0,8,0,6,0,22,0,28,0,6,0,8,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,"Justice, 1st Court of Appeals District, Place 5",1,REP,Terry Adams,1,,113,0,42,0,5,0,6,0,70,0,28,0,38,0,8,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,Sheriff,5,REP,R. Glenn Smith,1,,115,0,0,0,14,0,0,0,69,0,0,0,32,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,Sheriff,5,REP,Troy Guidry,2,,76,0,0,0,5,0,0,0,51,0,0,0,20,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,United States Senator,4,DEM,Royce West,1,,47,0,1,0,27,0,1,0,14,0,0,0,6,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,United States Senator,4,DEM,"Mary ""MJ"" Hegar",2,,21,0,1,0,3,0,1,0,8,0,0,0,10,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,"United States Representative, District 10",6,DEM,Mike Siegel,2,,42,0,0,0,21,0,0,0,14,0,0,0,7,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,"United States Representative, District 10",6,DEM,Pritesh Gandhi,1,,27,0,0,0,10,0,0,0,8,0,0,0,9,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,Railroad Commissioner,3,DEM,"Roberto R. ""Beto"" Alonzo",1,,43,0,2,0,18,0,1,0,13,0,1,0,12,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,Railroad Commissioner,3,DEM,Chrysta Castañeda,2,,24,0,2,0,12,0,1,0,8,0,1,0,4,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,"Justice, 14th Court of Appeals District, Place 7",2,DEM,"Tamika ""Tami"" Craft",1,,35,0,0,0,11,0,0,0,12,0,0,0,12,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,103,13,Reporting         ,1369,191,69,0,18.99,"Justice, 14th Court of Appeals District, Place 7",2,DEM,Cheri Thomas,2,,34,0,0,0,20,0,0,0,10,0,0,0,4,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,104,10,Reporting         ,795,106,20,0,15.85,"Justice, 1st Court of Appeals District, Place 5",1,REP,James Lombardino,2,,32,0,14,0,1,0,0,0,21,0,10,0,10,0,4,0
Waller County,7/14/2020,2020 Primary Runoff ,104,10,Reporting         ,795,106,20,0,15.85,"Justice, 1st Court of Appeals District, Place 5",1,REP,Terry Adams,1,,60,0,14,0,5,0,0,0,36,0,10,0,19,0,4,0
Waller County,7/14/2020,2020 Primary Runoff ,104,10,Reporting         ,795,106,20,0,15.85,Sheriff,5,REP,R. Glenn Smith,1,,37,0,0,0,4,0,0,0,26,0,0,0,7,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,104,10,Reporting         ,795,106,20,0,15.85,Sheriff,5,REP,Troy Guidry,2,,69,0,0,0,2,0,0,0,41,0,0,0,26,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,104,10,Reporting         ,795,106,20,0,15.85,United States Senator,4,DEM,Royce West,1,,12,0,0,0,4,0,0,0,5,0,0,0,3,0,0,0
Waller County,7/14/2020,2020 Primary Runoff ,104,10,Reporting         ,795,106,20,0,15.85,United States Senator,4,DEM,"Mary ""MJ"" Hegar",2,,8,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0
