tbContestName,Textbox25,Textbox29,Textbox33,ChoiceName,ChoicePartyNames,ID1__Votes,ID1__VotesP,ID2__Votes,ID2__VotesP,ID3__Votes,ID3__VotesP,Textbox46,Textbox54,Textbox31,Textbox32,Textbox34,Textbox35,Textbox36,Textbox38,Textbox47,Textbox55,Textbox3,Textbox5,Textbox7,Textbox13,Textbox17,Textbox19,Textbox22,Textbox49,Textbox50,Textbox56,Textbox87,Textbox93,Textbox53,Textbox57,Textbox59,Textbox61,Textbox67,Textbox69,Textbox71,Textbox73,Textbox75,Textbox81
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,33,70.21%,43,86.00%,0,0.00%,76,77.55%,47,100.00%,50,100.00%,1,100.00%,98,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,94,87.85%,36,81.82%,14,82.35%,144,85.71%,107,100.00%,44,100.00%,17,100.00%,168,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,13,12.15%,8,18.18%,3,17.65%,24,14.29%,107,100.00%,44,100.00%,17,100.00%,168,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,82,78.85%,30,73.17%,8,57.14%,120,75.47%,104,100.00%,41,100.00%,14,100.00%,159,100.00%,3,3,3,9,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,22,21.15%,11,26.83%,6,42.86%,39,24.53%,104,100.00%,41,100.00%,14,100.00%,159,100.00%,3,3,3,9,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,24,21.24%,9,4.74%,11,11.11%,44,10.95%,113,100.00%,190,100.00%,99,100.00%,402,100.00%,0,1,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Lani Popp,,89,78.76%,181,95.26%,88,88.89%,358,89.05%,113,100.00%,190,100.00%,99,100.00%,402,100.00%,0,1,1,2,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Mary ""MJ"" Hegar",,38,86.36%,25,92.59%,1,100.00%,64,88.89%,44,100.00%,27,100.00%,1,100.00%,72,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
United States Senator - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Royce West,,6,13.64%,2,7.41%,0,0.00%,8,11.11%,44,100.00%,27,100.00%,1,100.00%,72,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,Chrysta Castañeda,,36,83.72%,19,70.37%,1,100.00%,56,78.87%,43,100.00%,27,100.00%,1,100.00%,71,100.00%,1,0,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
Railroad Commissioner - Democratic Party,Absentee Voting,Early Voting,Election Day Voting,"Roberto R. ""Beto"" Alonzo",,7,16.28%,8,29.63%,0,0.00%,15,21.13%,43,100.00%,27,100.00%,1,100.00%,71,100.00%,1,0,0,1,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
"Member, State Board of Education, District 5 - Republican Party",Absentee Voting,Early Voting,Election Day Voting,Robert Morrow,,12,14.81%,26,22.22%,0,0.00%,38,19.19%,81,100.00%,117,100.00%,0,0.00%,198,100.00%,0,0,0,0,0,0,0,0,0,0,0,0,Rejected write-in votes:,0,0,0,0,Unresolved write-in votes:,0,0,0,0
