id	precinct	office	district	party	candidate	votes	absentee	early_voting	election_day
2	Precinct 11	Registered Voters				"1,022"			
3	Precinct 11	Ballots Cast				610	19	467	124
4	Precinct 11	Ballots Cast - Blank				0	0	0	0
5	Precinct 11	President							
6	Precinct 11				REP Donald J. Trump	412	8	332	72
7	Precinct 11				DEM Kamala D. Harris	193	11	133	49
8	Precinct 11				LIB Chase Oliver	1	0	0	1
9	Precinct 11				GRN Jill Stein	0	0	0	0
10	Precinct 11				Write-ins	3	0	1	2
11	Precinct 11				Over Votes	0	0	0	0
12	Precinct 11				Under Votes	1	0	1	0
13	Precinct 11	U.S. Senate							
14	Precinct 11				REP Ted Cruz	374	8	308	58
15	Precinct 11				DEM Colin Allred	213	11	143	59
16	Precinct 11				LIB Ted Brown	9	0	8	1
17	Precinct 11				Write-ins	2	0	0	2
18	Precinct 11				Over Votes	2	0	2	0
19	Precinct 11				Under Votes	10	0	6	4
20	Precinct 11								
21	Precinct 11	"US Representative, Dist 27"							
22	Precinct 11				REP Michael Cloud	396	8	322	66
23	Precinct 11				DEM Tanya Lloyd	190	11	128	51
24	Precinct 11				Over Votes	0	0	0	0
25	Precinct 11				Under Votes	24	0	17	7
26	Precinct 11	Railroad Commissioner							
27	Precinct 11				REP Christi Craddick	370	8	306	56
28	Precinct 11				DEM Katherine Culbert	172	11	116	45
29	Precinct 11				LIB Hawk Dunlap	9	0	3	6
30	Precinct 11				GRN Eddie Espinoza	18	0	13	5
31	Precinct 11				Write-ins	3	0	1	2
32	Precinct 11				Over Votes	0	0	0	0
33	Precinct 11				Under Votes	38	0	28	10
34	Precinct 11	"Justice, Supreme Court, Pl 2"							
35	Precinct 11				REP Jimmy Blacklock	388	8	318	62
36	Precinct 11				DEM DaSean Jones	177	11	117	49
37	Precinct 11				Over Votes	0	0	0	0
38	Precinct 11				Under Votes	45	0	32	13
39	Precinct 11	"Justice, Supreme Court, Pl 4"							
40	Precinct 11				REP John Devine	377	8	307	62
41	Precinct 11				DEM Christine Vinh Weems	189	11	127	51
42	Precinct 11				Over Votes	0	0	0	0
43	Precinct 11				Under Votes	44	0	33	11
44	Precinct 11								
45	Precinct 11	"Justice, Supreme Court, Pl 6"							
46	Precinct 11				REP Jane Bland	372	8	303	61
47	Precinct 11				DEM Bonnie Lee Goldstein	180	11	121	48
48	Precinct 11				LIB J. David Roberson	14	0	8	6
49	Precinct 11				Over Votes	0	0	0	0
50	Precinct 11				Under Votes	44	0	35	9
51	Precinct 11	"Presiding Judge, Ct of Crim App"							
52	Precinct 11				REP David J. Schenck	378	8	311	59
53	Precinct 11				DEM Holly Taylor	184	11	120	53
54	Precinct 11				Over Votes	0	0	0	0
55	Precinct 11				Under Votes	48	0	36	12
56	Precinct 11	"Judge, Ct of Crim App, Pl 7"							
57	Precinct 11				REP Gina Parker	377	8	308	61
58	Precinct 11				DEM Nancy Mulder	178	11	115	52
59	Precinct 11				Over Votes	0	0	0	0
60	Precinct 11				Under Votes	55	0	44	11
61	Precinct 11	"Judge, Ct of Crim App, Pl 8"							
62	Precinct 11				REP Lee Finley	392	9	315	68
63	Precinct 11				DEM Chika Anyiam	164	10	110	44
64	Precinct 11				Over Votes	0	0	0	0
65	Precinct 11				Under Votes	54	0	42	12
66	Precinct 11								
67	Precinct 11	"Member, State BoE, Dist 3"							
68	Precinct 11				DEM Marisa Perez-Diaz	282	12	193	77
