political_subdivison,election_name,electin_date,Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,4,8,United States Senator  REP,,1,4,Ted Cruz,C,1,DEM,43,23,0,0,0,0,0,0,11,4,0,0,32,19,0,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,4,8,United States Senator  REP,,1,5,David Dewhurst,C,7,DEM,43,13,0,0,0,0,0,0,11,3,0,0,32,10,0,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,5,9,United States Senator  DEM,,1,3,Paul Sadler,C,1,DEM,43,5,0,0,0,0,0,0,11,3,0,0,32,2,0,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,5,9,United States Senator  DEM,,1,4,Grady Yarbrough,C,3,DEM,43,2,0,0,0,0,0,0,11,1,0,0,32,1,0,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,10,14,Railroad Commissioner  REP,,1,3,Warren Chisum,C,1,DEM,43,15,4,0,0,0,0,0,11,3,1,0,32,12,3,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,10,14,Railroad Commissioner  REP,,1,5,Christi Craddick,C,2,DEM,43,17,4,0,0,0,0,0,11,3,1,0,32,14,3,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,98,15,Railroad Commissioner Unexpired Term  Rep,,1,4,Barry Smitherman,C,1,REP,43,21,3,0,0,0,0,0,11,5,0,0,32,16,3,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,98,15,Railroad Commissioner Unexpired Term  Rep,,1,3,Greg Parker,C,2,REP,43,12,3,0,0,0,0,0,11,2,0,0,32,10,3,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,14,19,"Justice, Supreme Court, Place 4  REP",,1,2,David Medina,C,1,DEM,43,19,2,0,0,0,0,0,11,5,0,0,32,14,2,0
MARION COUNTY,2012 Primary Runoff,7/31/2012,1,,1,6,1,1,600,0.07,14,19,"Justice, Supreme Court, Place 4  REP",,1,1,John Devine,C,3,DEM,43,15,2,0,0,0,0,0,11,2,0,0,32,13,2,0
