political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct,reg_voters,race_name,party_code,candidate_name,early_votes,election_votes
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,U. S. Senator,REP,Mary Miller,23,19
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,U. S. Senator,REP,Stefano de Stefano,3,3
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,U. S. Senator,REP,Ted Cruz,351,142
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,U. S. Senator,REP,"Bruce Jacobson, Jr.",7,7
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,U. S. Senator,REP,Geraldine Sam,3,2
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,"U. S. Representative, District 14",REP,Keith Casey,25,19
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,"U. S. Representative, District 14",REP,"Bill ""Sarge"" Sargent",43,36
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,"U. S. Representative, District 14",REP,Randy Weber,309,117
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,Governor,REP,SECEDE Kilgore,7,4
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,Governor,REP,Greg Abbott,359,155
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,Governor,REP,Barbara Krueger,21,13
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,Lieutenant Governor,REP,Scott Milder,64,38
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,Lieutenant Governor,REP,Dan Patrick,315,133
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,Attorney General,REP,Ken Paxton,342,155
BRAZORIA COUNTY,3/6/2018,Republican Party Primary  Election,,,1 - BS2,4367,Comptroller of Public Accounts,REP,Glenn Hegar,329,153
