Political_subdivision,Election_date,Election_name,Total Prov Ballots,Total Prov Counted,Precinct_Number,Reg_Voters,Race_Name,Candidate_Name,Party_Code,Early_votes,Election_Votes
San Patricio County,3/6/2018,Republican Primary,15,12,101,489,United States Senator,Stefano de Stefano,Rep,0,0
San Patricio County,3/6/2018,Republican Primary,,,101,489,United States Senator,Mary Miller,REP,1,1
San Patricio County,3/6/2018,Republican Primary,,,101,489,United States Senator,Geraldine Sam,REP,0,0
San Patricio County,3/6/2018,Republican Primary,,,101,489,United States Senator,"Bruce Jacobson, Jr.",REP,1,2
San Patricio County,3/6/2018,Republican Primary,,,101,489,United States Senator,Ted Cruz,REP,10,28
San Patricio County,3/6/2018,Republican Primary,,,101,489,"United States Representative, District No. 27",John Grunwald,REP,2,2
San Patricio County,3/6/2018,Republican Primary,,,101,489,"United States Representative, District No. 27",Bech Bruun,REP,3,16
San Patricio County,3/6/2018,Republican Primary,,,101,489,"United States Representative, District No. 27",Michael Cloud,REP,5,4
San Patricio County,3/6/2018,Republican Primary,,,101,489,"United States Representative, District No. 27",Christopher K. Mapp,REP,0,2
San Patricio County,3/6/2018,Republican Primary,,,101,489,"United States Representative, District No. 27",Eddie Gassman,REP,1,1
San Patricio County,3/6/2018,Republican Primary,,,101,489,"United States Representative, District No. 27",Jerry Hall,REP,1,4
San Patricio County,3/6/2018,Republican Primary,,,101,489,Governor,SECEDE Kilgore,REP,0,0
San Patricio County,3/6/2018,Republican Primary,,,101,489,Governor,Barbara Krueger,REP,1,1
San Patricio County,3/6/2018,Republican Primary,,,101,489,Governor,Greg Abbott,REP,11,30
San Patricio County,3/6/2018,Republican Primary,,,101,489,Lieutenant Governor,Dan Patrick,REP,10,27
San Patricio County,3/6/2018,Republican Primary,,,101,489,Lieutenant Governor,Scott Milder,REP,2,4
San Patricio County,3/6/2018,Republican Primary,,,101,489,Attorney General,Ken Paxton,REP,11,27
San Patricio County,3/6/2018,Republican Primary,,,101,489,Comptroller of Public Accounts,Glenn Hegar,REP,11,27
San Patricio County,3/6/2018,Republican Primary,,,101,489,Commissioner of the General Land Office,Davey Edwards,REP,0,1
San Patricio County,3/6/2018,Republican Primary,,,101,489,Commissioner of the General Land Office,Rick Range,REP,1,2
San Patricio County,3/6/2018,Republican Primary,,,101,489,Commissioner of the General Land Office,Jerry Patterson,REP,2,17
San Patricio County,3/6/2018,Republican Primary,,,101,489,Commissioner of the General Land Office,George P. Bush,REP,9,10
San Patricio County,3/6/2018,Republican Primary,,,101,489,Commissioner of Agriculture,Sid Miller,REP,6,19
San Patricio County,3/6/2018,Republican Primary,,,101,489,Commissioner of Agriculture,Jim Hogan,REP,2,8
San Patricio County,3/6/2018,Republican Primary,,,101,489,Commissioner of Agriculture,Trey Blocker,REP,4,3
San Patricio County,3/6/2018,Republican Primary,,,101,489,Railroad Commissioner,Weston Martinez,REP,5,3
San Patricio County,3/6/2018,Republican Primary,,,101,489,Railroad Commissioner,Christi Craddick,REP,7,25
San Patricio County,3/6/2018,Republican Primary,,,101,489,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,11,24
San Patricio County,3/6/2018,Republican Primary,,,101,489,"Justice, Supreme Court, Place 4",John Devine,REP,11,24
San Patricio County,3/6/2018,Republican Primary,,,101,489,"Justice, Supreme Court, Place 6",Jeff Brown,REP,11,23
San Patricio County,3/6/2018,Republican Primary,,,101,489,"Presiding Judge, Court of Criminal Appeals",David Bridges,REP,6,22
San Patricio County,3/6/2018,Republican Primary,,,101,489,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,6,4
San Patricio County,3/6/2018,Republican Primary,,,101,489,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,11,23
