political_subdivision,election_date,election_name,,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,Early Voting Votes,election_votes
Irion County,3/6/2018,2018 Primary,,0,0,100,320,United States Senator,Ted Cruz,Republican,43,53
Irion County,3/6/2018,2018 Primary,,0,0,100,320,United States Senator,"Bruce Jacobson, Jr.",Republican,2,1
Irion County,3/6/2018,2018 Primary,,0,0,100,320,United States Senator,Geraldine Sam,Republican,0,0
Irion County,3/6/2018,2018 Primary,,0,0,100,320,United States Senator,Stefano de Stefano,Republican,0,1
Irion County,3/6/2018,2018 Primary,,0,0,100,320,United States Senator,Mary Miller,Republican,3,3
Irion County,3/6/2018,2018 Primary,,0,0,100,320,"United States Representative, District No. 11",Mike Conaway,Republican,46,54
Irion County,3/6/2018,2018 Primary,,0,0,100,320,"United States Representative, District No. 11",Paul Myers,Republican,4,2
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Governor,Greg Abbott,Republican,38,54
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Governor,SECEDE Kilgore,Republican,1,0
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Governor,Barbara Krueger,Republican,8,4
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Lieutenant Governor,Dan Patrick,Republican,32,43
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Lieutenant Governor,Scott Milder,Republican,20,11
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Attorney General,Ken Paxton,Republican,43,50
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Comptroller of Public Accounts,Glenn Hegar,Republican,45,48
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Commissioner of the General Land Office,Davey Edwards,Republican,3,3
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Commissioner of the General Land Office,George P. Bush,Republican,26,35
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Commissioner of the General Land Office,Rick Range,Republican,6,2
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Commissioner of the General Land Office,Jerry Patterson,Republican,17,15
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Commissioner of Agriculture,Sid Miller,Republican,25,36
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Commissioner of Agriculture,Trey Blocker,Republican,18,7
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Commissioner of Agriculture,Jim Hogan,Republican,6,7
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Railroad Commissioner,Weston Martinez,Republican,15,19
Irion County,3/6/2018,2018 Primary,,0,0,100,320,Railroad Commissioner,Christi Craddick,Republican,30,34
Irion County,3/6/2018,2018 Primary,,0,0,100,320,"Justice, Supreme Court, Place 2",Jimmy Blacklock,Republican,44,47
Irion County,3/6/2018,2018 Primary,,0,0,100,320,"Justice, Supreme Court, Place 4",John Devine,Republican,42,47
Irion County,3/6/2018,2018 Primary,,0,0,100,320,"Justice, Supreme Court, Place 6",Jeff Brown,Republican,41,45
