political_subdivision,election_date,election_name,total provision ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,United States Senator,Mary Miller,REP,7,10
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,United States Senator,"Bruce Jacobson, Jr.",REP,3,6
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,United States Senator,Stefano de Stefano,REP,4,2
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,United States Senator,Geraldine Sam,REP,1,0
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,United States Senator,Ted Cruz,REP,86,93
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,"United States Representative, District No. 34",Rey Gonzalez,REP,78,91
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Governor,SECEDE Kilgore,REP,2,2
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Governor,Greg Abbott,REP,88,107
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Governor,Barbara Krueger,REP,10,5
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Lieutenant Governor,Scott Milder,REP,29,19
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Lieutenant Governor,Dan Patrick,REP,67,90
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Attorney General,Ken Paxton,REP,82,100
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Comptroller of Public Accounts,Glenn Hegar,REP,80,98
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Commissioner of the General Land Office,Davey Edwards,REP,3,9
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Commissioner of the General Land Office,Rick Range,REP,8,7
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Commissioner of the General Land Office,Jerry Patterson,REP,26,35
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Commissioner of the General Land Office,George P. Bush,REP,61,59
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Commissioner of Agriculture,Trey Blocker,REP,19,29
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Commissioner of Agriculture,Sid Miller,REP,47,52
Bee County,3/6/2018,2018 Republican Primary,8,7,1,2147,Commissioner of Agriculture,Jim Hogan,REP,22,22
