Political_subdivision,Precinct_name,Election-Date,Republican_Democrat Primary,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,4,4,United States Senator,,1,2,Mary Miller,C,1,REP,212,13,13,0,0,0,0,0,137,10,8,0,75,3,5,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,1,0,4,4,United States Senator,,1,3,Ted Cruz,C,2,REP,212,176,13,0,0,0,0,0,137,115,8,0,75,61,5,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,4,4,United States Senator,,1,1,Geraldine Sam,C,3,REP,212,2,13,0,0,0,0,0,137,1,8,0,75,1,5,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,4,4,United States Senator,,1,5,Stefano de Stefano,C,4,REP,212,0,13,0,0,0,0,0,137,0,8,0,75,0,5,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,4,4,United States Senator,,1,4,"Bruce Jacobson, Jr.",C,5,REP,212,6,13,0,0,0,0,0,137,2,8,0,75,4,5,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,5,5,"United States Representative, District No. 19",,1,1,Jodey Arrington,C,1,REP,212,183,27,0,0,0,0,0,137,116,20,0,75,67,7,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,6,6,Governor,,1,4,SECEDE Kilgore,C,1,REP,212,3,9,0,0,0,0,0,137,0,6,0,75,3,3,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,6,6,Governor,,1,5,Barbara Krueger,C,2,REP,212,15,9,0,0,0,0,0,137,11,6,0,75,4,3,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,6,6,Governor,,1,2,Greg Abbott,C,3,REP,212,183,9,0,0,0,0,0,137,119,6,0,75,64,3,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,7,7,Lieutenant Governor,,1,4,Dan Patrick,C,1,REP,212,144,17,0,0,0,0,0,137,95,9,0,75,49,8,0
Shackelford County,101,3/6/2018,REP,1,5,1,1,0,0,7,7,Lieutenant Governor,,1,1,Scott Milder,C,2,REP,212,49,17,0,0,0,0,0,137,32,9,0,75,17,8,0
