political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,3 - BS5,2974,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,61,20
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,3 - BS5,2974,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,38,9
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,3 - BS6,1708,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,24,7
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,3 - BS6,1708,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,43,3
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,16 - BS3,2414,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,19,15
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,16 - BS3,2414,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,27,4
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,16 - BS4,1852,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,28,7
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,16 - BS4,1852,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,26,5
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,25 - BS4,640,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,12,7
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,25 - BS4,640,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,11,5
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,34 - BS2,401,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,5,1
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,34 - BS2,401,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,1,0
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,39 - BS2,2520,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,35,14
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,39 - BS2,2520,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,18,1
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,39 - BS6,1317,"Councilmember-at-Large, Position 2, Unexpired Term",Joel Castro,NP,26,3
CITY OF ALVIN,3/24/2018,"City of Alvin, Texas Special Runoff Election",,,39 - BS6,1317,"Councilmember-at-Large, Position 2, Unexpired Term",John Burkey,NP,33,5
