Political Subdivision,Election Date,Election name,Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,4,4,Republican Primary,,1,5,Stefano de Stefano,C,1,REP,154,3,13,0,0,0,0,0,78,1,8,0,76,2,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,4,4,Republican Primary,,1,3,Ted Cruz,C,2,REP,154,119,13,0,0,0,0,0,78,65,8,0,76,54,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,4,4,Republican Primary,,1,2,Mary Miller,C,3,REP,154,3,13,0,0,0,0,0,78,1,8,0,76,2,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,4,4,Republican Primary,,1,1,Geraldine Sam,C,4,REP,154,1,13,0,0,0,0,0,78,0,8,0,76,1,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,4,4,Republican Primary,,1,4,"Bruce Jacobson, Jr.",C,5,REP,154,9,13,0,0,0,0,0,78,3,8,0,76,6,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,5,5,Republican Primary,,1,1,Mike Conaway,C,1,REP,154,117,13,0,0,0,0,0,78,59,8,0,76,58,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,5,5,Republican Primary,,1,2,Paul Myers,C,2,REP,154,18,13,0,0,0,0,0,78,11,8,0,76,7,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,6,6,Republican Primary,,1,4,SECEDE Kilgore,C,1,REP,154,6,12,0,0,0,0,0,78,4,9,0,76,2,3,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,6,6,Republican Primary,,1,2,Greg Abbott,C,2,REP,154,118,12,0,0,0,0,0,78,62,9,0,76,56,3,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,6,6,Republican Primary,,1,5,Barbara Krueger,C,3,REP,154,12,12,0,0,0,0,0,78,3,9,0,76,9,3,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,7,7,Republican Primary,,1,4,Dan Patrick,C,1,REP,154,96,18,0,0,0,0,0,78,41,12,0,76,55,6,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,7,7,Republican Primary,,1,1,Scott Milder,C,2,REP,154,34,18,0,0,0,0,0,78,25,12,0,76,9,6,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,8,8,Republican Primary,,1,3,Ken Paxton,C,3,REP,154,116,32,0,0,0,0,0,78,57,21,0,76,59,11,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,9,9,Republican Primary,,1,1,Glenn Hegar,C,1,REP,154,112,36,0,0,0,0,0,78,54,24,0,76,58,12,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,10,10,Republican Primary,,1,1,Davey Edwards,C,1,REP,154,10,20,0,0,0,0,0,78,5,15,0,76,5,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,10,10,Republican Primary,,1,3,Rick Range,C,2,REP,154,6,20,0,0,0,0,0,78,4,15,0,76,2,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,10,10,Republican Primary,,1,2,George P. Bush,C,3,REP,154,77,20,0,0,0,0,0,78,35,15,0,76,42,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,10,10,Republican Primary,,1,4,Jerry Patterson,C,4,REP,154,35,20,0,0,0,0,0,78,19,15,0,76,16,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,11,11,Republican Primary,,1,4,Trey Blocker,C,1,REP,154,46,28,0,0,0,0,0,78,24,20,0,76,22,8,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,11,11,Republican Primary,,1,3,Jim Hogan,C,2,REP,154,20,28,0,0,0,0,0,78,9,20,0,76,11,8,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,11,11,Republican Primary,,1,2,Sid Miller,C,3,REP,154,54,28,0,0,0,0,0,78,25,20,0,76,29,8,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,12,12,Republican Primary,,1,2,Weston Martinez,C,1,REP,154,52,22,0,0,0,0,0,78,27,16,0,76,25,6,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,12,12,Republican Primary,,1,1,Christi Craddick,C,2,REP,154,74,22,0,0,0,0,0,78,35,16,0,76,39,6,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,104,13,Republican Primary,,1,1,Jimmy Blacklock,C,1,REP,154,109,39,0,0,0,0,0,78,50,28,0,76,59,11,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,14,14,Republican Primary,,1,1,John Devine,C,1,REP,154,107,41,0,0,0,0,0,78,49,29,0,76,58,12,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,15,15,Republican Primary,,1,1,Jeff Brown,C,1,REP,154,107,41,0,0,0,0,0,78,49,29,0,76,58,12,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,105,16,Republican Primary,,1,2,Sharon Keller,C,1,REP,154,76,34,0,0,0,0,0,78,32,25,0,76,44,9,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,105,16,Republican Primary,,1,1,David Bridges,C,2,REP,154,38,34,0,0,0,0,0,78,21,25,0,76,17,9,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,106,17,Republican Primary,,1,1,Barbara Parker Hervey,C,1,REP,154,106,42,0,0,0,0,0,78,48,30,0,76,58,12,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,17,18,Republican Primary,,1,2,Jay Brandon,C,1,REP,154,48,40,0,0,0,0,0,78,20,28,0,76,28,12,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,17,18,Republican Primary,,1,3,Michelle Slaughter,C,2,REP,154,50,40,0,0,0,0,0,78,27,28,0,76,23,12,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,17,18,Republican Primary,,1,1,Dib Waldrip,C,3,REP,154,10,40,0,0,0,0,0,78,3,28,0,76,7,12,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,20,19,Republican Primary,,1,1,Mike Canon,C,1,REP,154,68,18,0,0,0,0,0,78,31,13,0,76,37,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,20,19,Republican Primary,,1,2,Kel Seliger,C,2,REP,154,46,18,0,0,0,0,0,78,28,13,0,76,18,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,20,19,Republican Primary,,1,3,Victor Leal,C,3,REP,154,16,18,0,0,0,0,0,78,6,13,0,76,10,5,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,21,20,Republican Primary,,1,1,Tom Craddick,C,1,REP,154,108,40,0,0,0,0,0,78,49,29,0,76,59,11,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,22,21,Republican Primary,,1,1,John Bailey,C,1,REP,154,106,42,0,0,0,0,0,78,47,31,0,76,59,11,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,24,22,Republican Primary,,1,1,Timothy D. Yeats,C,1,REP,154,109,39,0,0,0,0,0,78,48,30,0,76,61,9,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,26,23,Republican Primary,,1,1,Bryan Cox,C,1,REP,154,115,33,0,0,0,0,0,78,55,23,0,76,60,10,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,27,24,Republican Primary,,1,1,Jaque Chapa,C,1,REP,154,41,3,0,0,0,0,0,78,27,1,0,76,14,2,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,27,24,Republican Primary,,1,2,Linda Lucas Gonzales,C,2,REP,154,68,3,0,0,0,0,0,78,38,1,0,76,30,2,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,27,24,Republican Primary,,1,3,Melissa Rios,C,3,REP,154,36,3,0,0,0,0,0,78,12,1,0,76,24,2,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,29,25,Republican Primary,,1,1,Cynthia O'Donnell,C,1,REP,154,124,24,0,0,0,0,0,78,64,14,0,76,60,10,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,34,28,Republican Primary,,1,1,Jarrell W. Hedrick,C,1,REP,154,128,20,0,0,0,0,0,78,66,12,0,76,62,8,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,76,30,Republican Primary,,1,1,Clayton Price Black,C,1,REP,154,117,31,0,0,0,0,0,78,57,21,0,76,60,10,0
Martin County,3/6/2018,2018 Primaries,1,,1,10,1,1,768,0.2,40,31,Democrat Primary,,1,1,Beto O'Rourke,C,1,DEM,154,3,0,0,0,0,0,0,78,0,0,0,76,3,0,0
