,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ARMSTRONG COUNTY, TEXAS
MAY 6, 2018",Precinct Total Votes,FEDERAL,US SENATOR,Edward Kimbrough,Sema Hernandez,Beto O'Rourke,Undervote,Race Total,"U. S.  Representative, District 13",Greg Sagan,Undervote,Race Total,STATE,Governor,Jeffrey Payne,Cedric Davis Sr.,Grady Yarbrough,Andrew White,Tom Wakely,Lupe Valdez,Joe Mumbach,James Jolly Clark,Adrian Ocegueda,Undervote,Race Total,Lieutenant Governor,Mike Collier,Michael Cooper,Undervote,Race Total,Attorney General,Justin Nelson,Undervote,Race Total,COMPTOLLER OF PUBLIC ACCOUNTS,Joy Chevalier,Tim Mahoney,Undervote,Race Total,COMMISSIONER OF THE GENRAL LAND OFFICE ,Miguel Suazo,Tex Morgan,Undervote,Race Total,COMMISSIONER OF AGRICULTURE,Kim Olson,Undervote,,RAILROAD COMMISSIONER ,Chris Spellmon,Roman McAllen,Undervote,,"Justice, Supreme Court, Place 2",Steven Kirkland,Undervote,,"JUSTICE SUPREME COURT, PLACE 4",R.K. Sandill,Undervote,,"Justice, Supreme Court, Place 6",Kathy Cheng,Undervote,,"PRESIDING JUDGE, COURT OF CRIMINAL APPEALS",Maria T.(Terri) Jackson,Undervote,,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,Undervote,,"State Representative, District 88",Ezekiel Barron,Undervote,,COUNTY,COUNTY JUDGE,,,COUNTY & DISTRICT CLERK,,County Tax Assessor Collector,,,COUNTY TREASURER,,,"County Commissionner, Precinct No. 2",,,,,"County Commissionner, Precinct No. 4",,,,JUSTICE OF THE PEACE ,,,REFERENDUMS,,Proposition 1 Yes,1 No,Undervote,Race Total,Proposition 2 Yes,2 No,Undervote,Race Total,Proposition 3 Yes,3 No,Undervote,Race Total,Proposition 4 Yes,4 No,Undervote,Race Total,Propostition 5 Yes,5 No,Undervote,Race Total,Proposition 6 Yes,6 No,Undervote,Race Total,Proposition 7 Yes,7 No,Undervote,Race Total,Proposition 8 Yes,8 No,Undervote,Race Total,Proposition 9 Yes,9 No,Undervote,Race Total,Proposition 10 Yes,10 No,Undervote,Race Total,Proposition 11 Yes,11 No,Undervote,Race Total,Proposition 12 Yes,12 No,Undervote,Race Total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early Voting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct 101,4, , ,3,0,1,0,4,,4,0,4,,,3,0,0,1,0,0,0,0,0,0,4,,4,0,0,4,,4,0,4,,1,2,1,4,,1,3,0,4,,4,0,4,,3,1,0,4,,4,0,4,,4,0,4,,4,0,4,,4,0,4,,4,0,4,,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,4,0,0,4,
Precinct 201 ,0,,,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Precinct 202,0,,,0,0,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Precinct 301 ,1,,,0,0,1,0,1,,1,0,1,,,0,0,0,0,0,0,0,0,1,0,1,,1,0,0,1,,1,0,1,,1,0,0,1,,1,0,0,1,,1,0,1,,0,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,
Precinct 303,0,,,0,0,0,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Precinct 401 ,0,,,0,0,0,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Precinct 402,0,,,0,0,0,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Precinct 404,0,,,0,0,0,,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0,,0,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
