political_subdivision,election_date,election_name,totalprovisionalballots,totalprovisionalballotscounted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,Willie L. Wilson,D,1,0
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,Keith Judd,D,1,0
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,Star Locke,D,0,0
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,Calvis L. Hawes,D,0,0
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,Hillary Clinton,D,59,100
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,Bernie Sanders,D,27,44
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,"Roque ""Rocky"" De La Fuente",D,1,0
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,President    D,Martin J. O'Malley,D,3,0
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"U. S. Representative, District 14    D",Michael Cole,D,60,104
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,Railroad Commissioner    D,Lon Burnam,D,15,15
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,Railroad Commissioner    D,Grady Yarbrough,D,31,48
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,Railroad Commissioner    D,Cody Garrett,D,27,57
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"Justice, Supreme Court, Place 3    D",Mike Westergren,D,61,111
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"Justice, Supreme Court, Place 5    D",Dori Contreras Garza,D,67,118
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"Justice, Supreme Court, Place 9    D",Savannah Robinson,D,61,111
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 2    D","Lawrence ""Larry"" Meyers",D,62,111
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 5    D",Betsy Johnson,D,66,114
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 6    D",Robert Burns,D,63,115
BRAZORIA COUNTY,3/1/2016,2016 Democratic Primary Election,,,1,4198,"Chief Justice, 1st Court of Appeals     D",Jim Peacock,D,63,110
