Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,10,Rand Paul,C,1,,702,0,18,0,0,0,0,0,336,0,11,0,366,0,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,11,Ted Cruz,C,2,,702,216,18,0,0,0,0,0,336,89,11,0,366,127,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,9,Mike Huckabee,C,3,,702,2,18,0,0,0,0,0,336,1,11,0,366,1,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,7,Lindsey Graham,C,4,,702,1,18,0,0,0,0,0,336,1,11,0,366,0,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,4,Donald J. Trump,C,5,,702,133,18,0,0,0,0,0,336,61,11,0,366,72,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,14,Rick Santorum,C,6,,702,0,18,0,0,0,0,0,336,0,11,0,366,0,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,3,Chris Christie,C,7,,702,0,18,0,0,0,0,0,336,0,11,0,366,0,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,5,Jeb Bush,C,8,,702,7,18,0,0,0,0,0,336,5,11,0,366,2,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,1,Ben Carson,C,9,,702,7,18,0,0,0,0,0,336,4,11,0,366,3,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,13,Elizabeth Gray,C,10,,702,0,18,0,0,0,0,0,336,0,11,0,366,0,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,6,John R. Kasich,C,11,,702,10,18,0,0,0,0,0,336,3,11,0,366,7,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,8,Marco Rubio,C,12,,702,54,18,0,0,0,0,0,336,29,11,0,366,25,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,2,Carly Fiorina,C,13,,702,0,18,0,0,0,0,0,336,0,11,0,366,0,7,0
1,,1,10,1,1,3932,0.18,7,6,President,REPUBLICAN PARTY,1,12,Uncommitted,C,14,,702,15,18,0,0,0,0,0,336,12,11,0,366,3,7,0
1,,1,10,1,1,3932,0.18,8,7,"United States Representative, District 34",REPUBLICAN PARTY,1,1,Rey Gonzalez Jr.,C,1,,702,207,83,2,0,0,0,0,336,100,33,2,366,107,50,0
1,,1,10,1,1,3932,0.18,8,7,"United States Representative, District 34",REPUBLICAN PARTY,1,2,"William ""Willie"" Vaden",C,2,,702,171,83,2,0,0,0,0,336,81,33,2,366,90,50,0
1,,1,10,1,1,3932,0.18,9,8,Railroad Commissioner,REPUBLICAN PARTY,1,5,Wayne Christian,C,1,,702,68,115,0,0,0,0,0,336,30,53,0,366,38,62,0
1,,1,10,1,1,3932,0.18,9,8,Railroad Commissioner,REPUBLICAN PARTY,1,8,Lance N. Christian,C,2,,702,27,115,0,0,0,0,0,336,13,53,0,366,14,62,0
1,,1,10,1,1,3932,0.18,9,8,Railroad Commissioner,REPUBLICAN PARTY,1,2,Gary Gates,C,3,,702,94,115,0,0,0,0,0,336,52,53,0,366,42,62,0
1,,1,10,1,1,3932,0.18,9,8,Railroad Commissioner,REPUBLICAN PARTY,1,4,Ron Hale,C,4,,702,63,115,0,0,0,0,0,336,26,53,0,366,37,62,0
1,,1,10,1,1,3932,0.18,9,8,Railroad Commissioner,REPUBLICAN PARTY,1,9,Doug Jeffrey,C,5,,702,29,115,0,0,0,0,0,336,11,53,0,366,18,62,0
1,,1,10,1,1,3932,0.18,9,8,Railroad Commissioner,REPUBLICAN PARTY,1,3,John Greytok,C,6,,702,15,115,0,0,0,0,0,336,1,53,0,366,14,62,0
1,,1,10,1,1,3932,0.18,9,8,Railroad Commissioner,REPUBLICAN PARTY,1,7,Weston Martinez,C,7,,702,52,115,0,0,0,0,0,336,30,53,0,366,22,62,0
1,,1,10,1,1,3932,0.18,10,9,"Justice, Supreme Court, Place 3",REPUBLICAN PARTY,1,1,Debra Lehrmann,C,1,,702,191,98,0,0,0,0,0,336,85,45,0,366,106,53,0
1,,1,10,1,1,3932,0.18,10,9,"Justice, Supreme Court, Place 3",REPUBLICAN PARTY,1,2,Michael Massengale,C,2,,702,174,98,0,0,0,0,0,336,86,45,0,366,88,53,0
1,,1,10,1,1,3932,0.18,11,10,"Justice, Supreme Court, Place 5",REPUBLICAN PARTY,1,1,Paul Green,C,1,,702,226,112,0,0,0,0,0,336,110,53,0,366,116,59,0
1,,1,10,1,1,3932,0.18,11,10,"Justice, Supreme Court, Place 5",REPUBLICAN PARTY,1,2,Rick Green,C,2,,702,125,112,0,0,0,0,0,336,53,53,0,366,72,59,0
1,,1,10,1,1,3932,0.18,12,11,"Justice, Supreme Court, Place 9",REPUBLICAN PARTY,1,1,Eva Guzman,C,1,,702,201,99,0,0,0,0,0,336,101,42,0,366,100,57,0
1,,1,10,1,1,3932,0.18,12,11,"Justice, Supreme Court, Place 9",REPUBLICAN PARTY,1,2,Joe Pool,C,2,,702,163,99,0,0,0,0,0,336,73,42,0,366,90,57,0
1,,1,10,1,1,3932,0.18,13,12,"Judge, Court of Criminal Appeals, Place 2",REPUBLICAN PARTY,1,3,Chris Oldner,C,1,,702,91,124,0,0,0,0,0,336,41,61,0,366,50,63,0
1,,1,10,1,1,3932,0.18,13,12,"Judge, Court of Criminal Appeals, Place 2",REPUBLICAN PARTY,1,2,Ray Wheless,C,2,,702,95,124,0,0,0,0,0,336,43,61,0,366,52,63,0
1,,1,10,1,1,3932,0.18,13,12,"Judge, Court of Criminal Appeals, Place 2",REPUBLICAN PARTY,1,1,Mary Lou Keel,C,3,,702,153,124,0,0,0,0,0,336,71,61,0,366,82,63,0
1,,1,10,1,1,3932,0.18,14,13,"Judge, Court of Criminal Appeals, Place 5",REPUBLICAN PARTY,1,2,Sid Harle,C,1,,702,59,115,0,0,0,0,0,336,28,55,0,366,31,60,0
1,,1,10,1,1,3932,0.18,14,13,"Judge, Court of Criminal Appeals, Place 5",REPUBLICAN PARTY,1,1,Brent Webster,C,2,,702,49,115,0,0,0,0,0,336,22,55,0,366,27,60,0
1,,1,10,1,1,3932,0.18,14,13,"Judge, Court of Criminal Appeals, Place 5",REPUBLICAN PARTY,1,3,Scott Walker,C,3,,702,202,115,0,0,0,0,0,336,91,55,0,366,111,60,0
1,,1,10,1,1,3932,0.18,14,13,"Judge, Court of Criminal Appeals, Place 5",REPUBLICAN PARTY,1,4,Steve Smith,C,4,,702,38,115,0,0,0,0,0,336,20,55,0,366,18,60,0
1,,1,10,1,1,3932,0.18,15,14,"Judge, Court of Criminal Appeals, Place 6",REPUBLICAN PARTY,1,1,Michael E. Keasler,C,1,,702,214,126,0,0,0,0,0,336,98,59,0,366,116,67,0
1,,1,10,1,1,3932,0.18,15,14,"Judge, Court of Criminal Appeals, Place 6",REPUBLICAN PARTY,1,2,Richard Davis,C,2,,702,123,126,0,0,0,0,0,336,59,59,0,366,64,67,0
1,,1,10,1,1,3932,0.18,18,17,"State Representative, District 43",REPUBLICAN PARTY,1,1,J.M. Lozano,C,1,,702,335,128,0,0,0,0,0,336,157,59,0,366,178,69,0
1,,1,10,1,1,3932,0.18,19,19,"Justice, 13th Court of Appeals District, Place 3",REPUBLICAN PARTY,1,1,Greg Perkes,C,1,,702,320,143,0,0,0,0,0,336,144,72,0,366,176,71,0
1,,1,10,1,1,3932,0.18,20,20,"District Judge, 343rd Judicial District",REPUBLICAN PARTY,1,1,Janna K. Whatley,C,1,,702,352,111,0,0,0,0,0,336,162,54,0,366,190,57,0
1,,1,10,1,1,3932,0.18,21,21,"District Attorney, 156th Judicial District",REPUBLICAN PARTY,1,1,Jose Aliseda,C,1,,702,348,115,0,0,0,0,0,336,170,46,0,366,178,69,0
1,,1,10,1,1,3932,0.18,33,22,County Judge,REPUBLICAN PARTY,1,1,Doyle E. Barnett,C,1,,702,103,29,0,0,0,0,0,336,46,9,0,366,57,20,0
1,,1,10,1,1,3932,0.18,33,22,County Judge,REPUBLICAN PARTY,1,2,Stephanie Silvas,C,2,,702,331,29,0,0,0,0,0,336,161,9,0,366,170,20,0
