political_subdivision,election_date,election_name,totalprovisionalballots,totalprovisionalballotscounted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Lindsey Graham,R,0,0
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Carly Fiorina,R,0,0
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Rand Paul,R,4,0
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Ben Carson,R,9,17
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Mike Huckabee,R,2,0
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,John R. Kasich,R,17,9
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Marco Rubio,R,36,42
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Chris Christie,R,0,0
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Jeb Bush,R,5,1
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Elizabeth Gray,R,0,0
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Rick Santorum,R,0,2
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Ted Cruz,R,209,239
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Donald J. Trump,R,107,104
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,President   R,Uncommitted,R,8,4
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"U. S. Representative, District 14   R",Keith Casey,R,55,98
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"U. S. Representative, District 14   R",Randy Weber,R,303,276
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,Railroad Commissioner    R,Ron Hale,R,55,72
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,Railroad Commissioner    R,Weston Martinez,R,23,38
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,Railroad Commissioner    R,Wayne Christian,R,61,56
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,Railroad Commissioner    R,Lance N. Christian,R,22,33
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,Railroad Commissioner    R,Gary Gates,R,120,83
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,Railroad Commissioner    R,Doug Jeffrey,R,17,26
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,Railroad Commissioner    R,John Greytok,R,13,23
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Justice, Supreme Court, Place 3    R",Michael Massengale,R,158,190
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Justice, Supreme Court, Place 3    R",Debra Lehrmann,R,161,154
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Justice, Supreme Court, Place 5    R",Paul Green,R,176,219
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Justice, Supreme Court, Place 5    R",Rick Green,R,132,113
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Justice, Supreme Court, Place 9   R",Eva Guzman,R,193,178
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Justice, Supreme Court, Place 9   R",Joe Pool,R,128,163
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 2    R",Ray Wheless,R,145,114
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 2    R",Chris Oldner,R,69,103
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 2    R",Mary Lou Keel,R,88,104
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 5    R",Scott Walker,R,120,155
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 5    R",Brent Webster,R,108,67
BRAZORIA COUNTY,3/1/2016,2016 Republican Primary Election,,,1,4198,"Judge, Court of Criminal Appeals Place 5    R",Sid Harle,R,11,23
