Political_Subdivision,Precinct_name,Election_Date,Election_Name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,Total Provisional Ballots,Total Provisional Ballots Counted,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,1,Ben Carson,C,1,REP,2,0,166,12,3,0,0,0,0,0,23,5,0,0,143,7,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,2,Carly Fiorina,C,2,REP,2,0,166,0,3,0,0,0,0,0,23,0,0,0,143,0,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,3,Chris Christie,C,3,REP,2,0,166,0,3,0,0,0,0,0,23,0,0,0,143,0,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,4,Donald J. Trump,C,4,REP,2,0,166,30,3,0,0,0,0,0,23,5,0,0,143,25,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,5,Elizabeth Gray,C,5,REP,2,0,166,0,3,0,0,0,0,0,23,0,0,0,143,0,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,6,Jeb Bush,C,6,REP,2,0,166,1,3,0,0,0,0,0,23,1,0,0,143,0,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,7,John R. Kasich,C,7,REP,2,0,166,2,3,0,0,0,0,0,23,0,0,0,143,2,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,8,Lindsey Graham,C,8,REP,2,0,166,0,3,0,0,0,0,0,23,0,0,0,143,0,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,9,Marco Rubio,C,9,REP,2,0,166,17,3,0,0,0,0,0,23,3,0,0,143,14,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,10,Mike Huckabee,C,10,REP,2,0,166,0,3,0,0,0,0,0,23,0,0,0,143,0,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,11,Rand Paul,C,11,REP,2,0,166,0,3,0,0,0,0,0,23,0,0,0,143,0,3,0
Castro County,101,3/1/2016,Republican Primary,1,5,1,1,754,0.22,3,3,President,,1,12,Rick Santorum,C,12,REP,2,0,166,0,3,0,0,0,0,0,23,0,0,0,143,0,3,0
