political_subdivision,election_date,election name,Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,8,Marco Rubio,C,1,,187,11,3,0,0,0,0,0,54,3,0,0,133,8,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,4,Donald J. Trump,C,2,,187,59,3,0,0,0,0,0,54,24,0,0,133,35,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,2,Carly Fiorina,C,3,,187,0,3,0,0,0,0,0,54,0,0,0,133,0,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,9,Mike Huckabee,C,4,,187,0,3,0,0,0,0,0,54,0,0,0,133,0,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,7,Lindsey Graham,C,5,,187,0,3,0,0,0,0,0,54,0,0,0,133,0,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,3,Chris Christie,C,6,,187,0,3,0,0,0,0,0,54,0,0,0,133,0,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,11,Ted Cruz,C,7,,187,89,3,0,0,0,0,0,54,17,0,0,133,72,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,1,Ben Carson,C,8,,187,2,3,0,0,0,0,0,54,0,0,0,133,2,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,14,Rick Santorum,C,9,,187,0,3,0,0,0,0,0,54,0,0,0,133,0,3,0
Red River County,3/1/2016,2016 Primary Election,1,,1,16,1,1,1020,0.18,7,6,President,REPUBLICAN PARTY,1,10,Rand Paul,C,10,,187,0,3,0,0,0,0,0,54,0,0,0,133,0,3,0
