political_subdivision,election-date,election-name, ,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,31,2,Straight Party,,1,1,Republican Party,C,1,REP,209,85,63,0,0,0,0,0,90,43,22,0,119,42,41,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,31,2,Straight Party,,1,2,Democratic Party,C,2,DEM,209,58,63,0,0,0,0,0,90,25,22,0,119,33,41,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,31,2,Straight Party,,1,3,Libertarian Party,C,3,LIB,209,3,63,0,0,0,0,0,90,0,22,0,119,3,41,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,31,2,Straight Party,,1,4,Green Party,C,4,GRN,209,0,63,0,0,0,0,0,90,0,22,0,119,0,41,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,32,3,United States Senator,,1,1,John Cornyn,C,1,REP,209,118,12,0,0,0,0,0,90,52,5,0,119,66,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,32,3,United States Senator,,1,2,David M. Alameel,C,2,DEM,209,71,12,0,0,0,0,0,90,31,5,0,119,40,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,32,3,United States Senator,,1,4,Rebecca Paddock,C,3,LIB,209,8,12,0,0,0,0,0,90,2,5,0,119,6,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,32,3,United States Senator,,1,3,"Emily ""Spicybrown"" Sanchez",C,4,GRN,209,0,12,0,0,0,0,0,90,0,5,0,119,0,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,32,3,United States Senator,,1,6,Mohammed Tahiro,W,5,,209,0,12,0,0,0,0,0,90,0,5,0,119,0,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,2,4,"United States Representative, District 4",,1,1,John Ratcliffe,C,1,REP,209,123,86,0,0,0,0,0,90,54,36,0,119,69,50,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,3,5,Governor,,1,1,Greg Abbott,C,1,REP,209,120,8,0,0,0,0,0,90,56,1,0,119,64,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,3,5,Governor,,1,2,Wendy R. Davis,C,2,DEM,209,77,8,0,0,0,0,0,90,33,1,0,119,44,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,3,5,Governor,,1,4,Kathie Glass,C,3,LIB,209,3,8,0,0,0,0,0,90,0,1,0,119,3,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,3,5,Governor,,1,3,Brandon Parmer,C,4,GRN,209,1,8,0,0,0,0,0,90,0,1,0,119,1,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,3,5,Governor,,1,6,Sarah M. Pavitt,W,5,,209,0,8,0,0,0,0,0,90,0,1,0,119,0,7,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,4,6,Lieutenant Governor,,1,1,Dan Patrick,C,1,REP,209,122,6,0,0,0,0,0,90,54,2,0,119,68,4,0
MARION COUNTY,11/4/2014,2014 General Election,1,,1,6,1,1,605,0.35,4,6,Lieutenant Governor,,1,2,Leticia Van de Putte,C,2,DEM,209,75,6,0,0,0,0,0,90,33,2,0,119,42,4,0
