political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,4,1479,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,94,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,4,1479,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,100
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,14,0,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,14,0,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,48,365,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,24,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,48,365,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,13
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,50,666,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,29,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,50,666,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,19
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,59,5,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,59,5,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,65,2748,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,156,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,65,2748,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,131
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,66,3452,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,248,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,66,3452,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,200
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,67,64,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,3,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,67,64,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,74,454,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,34,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,74,454,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,20
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,95,717,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,49,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,95,717,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,44
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,99,371,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,8,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,99,371,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,22
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,100,3372,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,261,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,100,3372,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,158
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,102,929,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,58,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,102,929,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,36
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,105,63,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,4,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,105,63,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,7
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,108,0,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,0
LOS FRESNOS CONS. ISD,11/4/2014,School Trustee Election,0,0,108,0,"Trustee, Position #4","Jesus ""Toy"" Amaya",ONA,0,0
