political_subdivision,election_date,election_name,Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,2,2,Instruction DEM,,0,1,No Candidate for Race,N,1,,140,0,0,0,13,0,0,0,78,0,0,0,49,0,0,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,3,3,United States Senator    DEM,,1,4,Harry Kim,C,1,DEM,140,4,12,0,13,1,1,0,78,3,8,0,49,0,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,3,3,United States Senator    DEM,,1,2,"Michael ""Fjet"" Fjetland",C,2,DEM,140,0,12,0,13,0,1,0,78,0,8,0,49,0,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,3,3,United States Senator    DEM,,1,5,Kesha Rogers,C,3,DEM,140,7,12,0,13,1,1,0,78,4,8,0,49,2,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,3,3,United States Senator    DEM,,1,1,Maxey Marie Scherr,C,4,DEM,140,7,12,0,13,0,1,0,78,3,8,0,49,4,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,3,3,United States Senator    DEM,,1,3,David M. Alameel,C,5,DEM,140,27,12,0,13,3,1,0,78,20,8,0,49,4,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,4,4,"United States Representative, District 27    DEM",,1,1,Wesley Reed,C,1,DEM,140,42,15,0,13,4,2,0,78,27,11,0,49,11,2,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,5,5,Governor    DEM,,1,2,"Reynaldo ""Ray"" Madrigal",C,1,DEM,140,7,3,0,13,0,1,0,78,7,2,0,49,0,0,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,5,5,Governor    DEM,,1,1,Wendy R. Davis,C,2,DEM,140,47,3,0,13,5,1,0,78,29,2,0,49,13,0,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,6,6,Lieutenant Governor    DEM,,1,1,Leticia Van de Putte,C,1,DEM,140,41,16,0,13,3,3,0,78,28,10,0,49,10,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,7,7,Attorney General    DEM,,1,1,Sam Houston,C,1,DEM,140,38,19,0,13,3,3,0,78,27,11,0,49,8,5,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,8,8,Comptroller of Public Accounts    DEM,,1,1,Mike Collier,C,1,DEM,140,39,18,0,13,3,3,0,78,27,11,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,9,9,Commissioner of the General Land Office    DEM,,1,1,John Cook,C,1,DEM,140,38,19,0,13,3,3,0,78,26,12,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,10,10,Commissioner of Agriculture    DEM,,1,2,Jim Hogan,C,1,DEM,140,15,8,0,13,3,1,0,78,8,6,0,49,4,1,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,10,10,Commissioner of Agriculture    DEM,,1,3,"Richard ""Kinky"" Friedman",C,2,DEM,140,25,8,0,13,0,1,0,78,18,6,0,49,7,1,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,10,10,Commissioner of Agriculture    DEM,,1,1,Hugh Asa Fitzsimons III,C,3,DEM,140,9,8,0,13,2,1,0,78,6,6,0,49,1,1,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,11,11,Railroad Commissioner    DEM,,1,1,Steve Brown,C,1,DEM,140,26,16,0,13,2,1,0,78,16,11,0,49,8,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,11,11,Railroad Commissioner    DEM,,1,2,Dale Henry,C,2,DEM,140,15,16,0,13,3,1,0,78,11,11,0,49,1,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,12,12,"Chief Justice, Supreme Court    DEM",,1,1,William Moody,C,1,DEM,140,38,19,0,13,3,3,0,78,27,11,0,49,8,5,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,13,13,"Justice, Supreme Court, Place 6, Unexpired Term    DEM",,1,1,Lawrence Edward Meyers,C,1,DEM,140,37,20,0,13,3,3,0,78,25,13,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,14,14,"Justice, Supreme Court, Place 7    DEM",,1,1,Gina Benavides,C,1,DEM,140,40,17,0,13,3,3,0,78,28,10,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,15,15,"Judge, Court of Criminal Appeals, Place 3    DEM",,1,1,John Granberg,C,1,DEM,140,36,21,0,13,3,3,0,78,25,13,0,49,8,5,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,18,16,"Member, State Board of Education, District 2    DEM",,1,1,Ruben Cortez Jr.,C,1,DEM,140,41,16,0,13,3,3,0,78,28,10,0,49,10,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,20,17,"State Representative, District 34    DEM",,1,1,Abel Herrero,C,1,DEM,140,42,15,0,13,3,3,0,78,30,8,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,21,18,"Justice, 13th Court of Appeals District, Place 6    DEM",,1,1,Dori Contreras Garza,C,1,DEM,140,40,17,0,13,3,3,0,78,28,10,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,22,19,"District Judge, 94th Judicial District    DEM",,1,1,Bobby Galvan,C,1,DEM,140,44,13,0,13,3,3,0,78,32,6,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,23,20,"District Judge, 105th Judicial District    DEM",,1,1,Rose Meza Harrison,C,1,DEM,140,40,17,0,13,3,3,0,78,30,8,0,49,7,6,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,24,21,"District Judge, 117th Judicial District    DEM",,1,1,Sandra Watts,C,1,DEM,140,44,13,0,13,4,2,0,78,31,7,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,25,22,"District Judge, 148th Judicial District    DEM",,1,1,Mark A. Gonzalez,C,1,DEM,140,21,8,0,13,1,2,0,78,15,3,0,49,5,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,25,22,"District Judge, 148th Judicial District    DEM",,1,2,"Augustin ""Augie"" Rivera Jr.",C,2,DEM,140,28,8,0,13,3,2,0,78,20,3,0,49,5,3,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,26,23,"Family District Judge, 319th Judicial District    DEM",,1,1,Michele Villarreal-Kuchta,C,1,DEM,140,38,19,0,13,3,3,0,78,27,11,0,49,8,5,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,27,24,County Judge    DEM,,1,1,Mary Helen Berlanga,C,1,DEM,140,42,15,0,13,3,3,0,78,30,8,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,28,25,"Judge, County Court at Law No. 1    DEM",,1,1,Robert J. Vargas,C,1,DEM,140,41,16,0,13,3,3,0,78,29,9,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,29,26,"Judge, County Court at Law No. 2    DEM",,1,1,Lisa Gonzales,C,1,DEM,140,42,15,0,13,3,3,0,78,30,8,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,30,27,"Judge, County Court at Law No. 3    DEM",,1,1,Deeanne Galvan,C,1,DEM,140,43,14,0,13,3,3,0,78,31,7,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,31,28,"Judge, County Court at Law No. 4    DEM",,1,1,Carlos Valdez,C,1,DEM,140,45,12,0,13,3,3,0,78,33,5,0,49,9,4,0
Democratic Party,3/4/2014,2014 Primary Election,1,,1,18,1,1,1195,0.12,32,29,"Judge, County Court at Law No. 5    DEM",,1,3,Martha Huerta Quintanilla,C,1,DEM,140,21,8,0,13,2,2,0,78,12,4,0,49,7,2,0
