political_subdivision,election-date,election_name,Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,40,42,United States Senator,D,1,1,David M. Alameel,C,1,,69,4,2,0,0,0,0,0,19,0,1,0,50,4,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,40,42,United States Senator,D,1,3,"Michael ""Fjet"" Fjetland",C,2,,69,1,2,0,0,0,0,0,19,0,1,0,50,1,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,40,42,United States Senator,D,1,2,Maxey Marie Scherr,C,3,,69,6,2,0,0,0,0,0,19,1,1,0,50,5,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,40,42,United States Senator,D,1,4,Kesha Rogers,C,4,,69,2,2,0,0,0,0,0,19,0,1,0,50,2,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,40,42,United States Senator,D,1,5,Harry Kim,C,5,,69,2,2,0,0,0,0,0,19,0,1,0,50,2,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,42,44,Governor,D,1,1,Wendy R. Davis,C,1,,69,14,1,0,0,0,0,0,19,2,0,0,50,12,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,42,44,Governor,D,1,2,"Reynaldo ""Ray"" Madrigal",C,2,,69,2,1,0,0,0,0,0,19,0,0,0,50,2,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,43,45,Lieutenant Governor,D,1,1,Leticia Van de Putte,C,1,,69,13,4,0,0,0,0,0,19,1,1,0,50,12,3,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,44,46,Attorney General,D,1,1,Sam Houston,C,1,,69,14,3,0,0,0,0,0,19,2,0,0,50,12,3,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,45,47,Comptroller of Public Accounts,D,1,1,Mike Collier,C,1,,69,13,4,0,0,0,0,0,19,2,0,0,50,11,4,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,46,48,Commissioner of the General Land Office,D,1,1,John Cook,C,1,,69,13,4,0,0,0,0,0,19,1,1,0,50,12,3,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,47,49,Commissioner of Agriculture,D,1,3,"Richard ""Kinky"" Friedman",C,1,,69,7,2,0,0,0,0,0,19,0,1,0,50,7,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,47,49,Commissioner of Agriculture,D,1,1,Hugh Asa Fitzsimons III,C,2,,69,2,2,0,0,0,0,0,19,0,1,0,50,2,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,47,49,Commissioner of Agriculture,D,1,2,Jim Hogan,C,3,,69,6,2,0,0,0,0,0,19,1,1,0,50,5,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,48,50,Railroad Commissioner,D,1,1,Steve Brown,C,1,,69,12,2,0,0,0,0,0,19,1,1,0,50,11,1,0
Marion County,3/4/2014,2014 Primary,1,,1,5,1,1,1226,0.06,48,50,Railroad Commissioner,D,1,2,Dale Henry,C,2,,69,3,2,0,0,0,0,0,19,0,1,0,50,3,1,0
