political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_name,reg_voters,race_name,candidate_name,early_votes,election_votes
CONGRESSIONAL DISTRICT 35 - D,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT 35, UNITED STATES REPRESENTATIVE - DEM",Lloyd Doggett,80,153
Federal Ballots - DEM,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,Maxey Marie Scherr,25,40
Federal Ballots - DEM,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,Harry Kim,4,12
Federal Ballots - DEM,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,Kesha Rogers,14,43
Federal Ballots - DEM,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,"Michael ""Fjet"" Fjetland",6,3
Federal Ballots - DEM,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,David M. Alameel,28,49
JUSTICE OF THE PEACE 1 - D,3/4/2014,Joint General Election,8,6,101,4348,"PRECINCT 1, JUSTICE OF THE PEACE - DEM",Yvonne M. Williams,76,144
LEGISLATIVE DISTRICT 51 - D,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT 51, STATE REPRESENTATIVE - DEM",Eddie Rodriguez,76,147
SENATE DISTRICT 14 - D,3/4/2014,Joint General Election,8,6,101,4348,"DISTRICT 14, STATE SENATOR - DEM",Kirk Watson,75,144
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,Maxey Marie Scherr,25,40
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,Harry Kim,4,12
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,Kesha Rogers,14,43
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,"Michael ""Fjet"" Fjetland",6,3
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,UNITED STATES SENATOR - DEM,David M. Alameel,28,49
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,GOVERNOR - DEM,"Reynaldo ""Ray"" Madrigal",4,9
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,GOVERNOR - DEM,Wendy R. Davis,82,149
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,LIEUTENANT GOVERNOR - DEM,Leticia Van de Putte,76,146
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,ATTORNEY GENERAL - DEM,Sam Houston,75,145
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COMPTROLLER OF PUBLIC ACCOUNTS - DEM,Mike Collier,76,146
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COMMISSIONER OF THE GENERAL LAND OFFICE - DEM,John Cook,78,148
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COMMISSIONER OF AGRICULTURE - DEM,"Richard ""Kinky"" Friedman",29,52
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COMMISSIONER OF AGRICULTURE - DEM,Jim Hogan,31,57
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,COMMISSIONER OF AGRICULTURE - DEM,Hugh Asa Fitzsimons III,17,33
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,RAILROAD COMMISSIONER - DEM,Dale Henry,15,51
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,RAILROAD COMMISSIONER - DEM,Steve Brown,58,89
Travis County Democratic Primary Election,3/4/2014,Joint General Election,8,6,101,4348,"CHIEF JUSTICE, SUPREME COURT - DEM",William Moody,76,136
