Political_subdivision,election_date,election_name,total prov ballots,total prov ballots counted,precinct_number,reg_voters,race_name,candidate_name,Party_code,early_votes,election_votes
San Patricio County,11/6/2018,General Election,,,101,479,Railroad Commissioner,Mike Wright,LIB,6,1
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,78,31
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,36,70
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, Supreme Court, Place 4",John Devine,REP,77,31
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,36,70
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, Supreme Court, Place 6",Jeff Brown,REP,75,33
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,38,68
San Patricio County,11/6/2018,General Election,,,101,479,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,REP,75,31
San Patricio County,11/6/2018,General Election,,,101,479,"Presiding Judge, Court of Criminal Appeals",Maria T. (Terri) Jackson,DEM,37,68
San Patricio County,11/6/2018,General Election,,,101,479,"Presiding Judge, Court of Criminal Appeals",William Bryan Strange III,LIB,1,2
San Patricio County,11/6/2018,General Election,,,101,479,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,REP,76,33
San Patricio County,11/6/2018,General Election,,,101,479,"Judge, Court of Criminal Appeals, Place 7",Ramona Franklin,DEM,36,68
San Patricio County,11/6/2018,General Election,,,101,479,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,REP,81,41
San Patricio County,11/6/2018,General Election,,,101,479,"Judge, Court of Criminal Appeals, Place 8",Mark Ash,LIB,15,25
San Patricio County,11/6/2018,General Election,,,101,479,"Member, State Board of Education, District No. 2","Charles ""Tad"" Hasse",REP,75,32
San Patricio County,11/6/2018,General Election,,,101,479,"Member, State Board of Education, District No. 2","Ruben Cortez, Jr.",DEM,38,69
San Patricio County,11/6/2018,General Election,,,101,479,"State Representative, District No. 43",J.M. Lozano,REP,76,36
San Patricio County,11/6/2018,General Election,,,101,479,"State Representative, District No. 43",Dee Ann Torres Miller,DEM,38,65
San Patricio County,11/6/2018,General Election,,,101,479,"Chief Justice, 13th Court of Appeals District",Ernie Aliseda,REP,77,30
San Patricio County,11/6/2018,General Election,,,101,479,"Chief Justice, 13th Court of Appeals District",Dori Contreras,DEM,36,71
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, 13th Court of Appeals District, Place No. 2",Greg Perkes,REP,72,33
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, 13th Court of Appeals District, Place No. 2",Nora Longoria,DEM,41,67
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, 13th Court of Appeals District, Place No. 4",Jaime Tijerina,REP,73,30
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, 13th Court of Appeals District, Place No. 4",Rudy Delgado,DEM,40,70
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, 13th Court of Appeals District, Place No. 5",Clarissa Silva,REP,76,29
San Patricio County,11/6/2018,General Election,,,101,479,"Justice, 13th Court of Appeals District, Place No. 5",Gina Benavides,DEM,37,72
San Patricio County,11/6/2018,General Election,,,101,479,"District Judge, 36th Judicial District",Starr Bauer,REP,86,48
San Patricio County,11/6/2018,General Election,,,101,479,"District Judge, 156th Judicial District",Patrick L. Flanigan,REP,86,48
San Patricio County,11/6/2018,General Election,,,101,479,County Judge,David R. Krebs,REP,84,49
San Patricio County,11/6/2018,General Election,,,101,479,"Judge, County Court-at-Law",Elizabeth Welborn,REP,85,47
San Patricio County,11/6/2018,General Election,,,101,479,District Clerk,Heather Marks,REP,86,48
San Patricio County,11/6/2018,General Election,,,101,479,County Clerk,Gracie Alaniz-Gonzales,DEM,53,80
San Patricio County,11/6/2018,General Election,,,101,479,County Treasurer,Denise Janak,REP,89,48
San Patricio County,11/6/2018,General Election,,,101,479,County Surveyor,Julius Petrus,REP,87,46
San Patricio County,11/6/2018,General Election,,,101,479,"Justice of the Peace, Precinct No. 2","Daniel ""Danny"" Garza",DEM,52,79
San Patricio County,11/6/2018,General Election,,,102,2522,Straight-Party,Republican Party,REP,256,164
San Patricio County,11/6/2018,General Election,,,102,2522,Straight-Party,Democratic Party,DEM,231,207
San Patricio County,11/6/2018,General Election,,,102,2522,Straight-Party,Libertarian Party,LIB,2,9
San Patricio County,11/6/2018,General Election,,,102,2522,United States Senator,Ted Cruz,REP,351,221
San Patricio County,11/6/2018,General Election,,,102,2522,United States Senator,Beto O'Rourke,DEM,295,258
San Patricio County,11/6/2018,General Election,,,102,2522,United States Senator,Neal M. Dikeman,LIB,0,4
San Patricio County,11/6/2018,General Election,,,102,2522,"United States Representative, District No. 34",Rey Gonzalez,REP,336,219
San Patricio County,11/6/2018,General Election,,,102,2522,"United States Representative, District No. 34",Filemon B. Vela,DEM,301,255
San Patricio County,11/6/2018,General Election,,,102,2522,Governor,Greg Abbott,REP,381,248
San Patricio County,11/6/2018,General Election,,,102,2522,Governor,Lupe Valdez,DEM,261,222
San Patricio County,11/6/2018,General Election,,,102,2522,Governor,Mark Jay Tippetts,LIB,4,7
San Patricio County,11/6/2018,General Election,,,102,2522,Lieutenant Governor,Dan Patrick,REP,347,211
San Patricio County,11/6/2018,General Election,,,102,2522,Lieutenant Governor,Mike Collier,DEM,291,250
San Patricio County,11/6/2018,General Election,,,102,2522,Lieutenant Governor,Kerry Douglas McKennon,LIB,5,13
San Patricio County,11/6/2018,General Election,,,102,2522,Attorney General,Ken Paxton,REP,335,214
San Patricio County,11/6/2018,General Election,,,102,2522,Attorney General,Justin Nelson,DEM,295,251
San Patricio County,11/6/2018,General Election,,,102,2522,Attorney General,Michael Ray Harris,LIB,9,12
San Patricio County,11/6/2018,General Election,,,102,2522,Comptroller of Public Accounts,Glenn Hegar,REP,350,215
San Patricio County,11/6/2018,General Election,,,102,2522,Comptroller of Public Accounts,Joi Chevalier,DEM,277,241
San Patricio County,11/6/2018,General Election,,,102,2522,Comptroller of Public Accounts,Ben Sanders,LIB,7,17
San Patricio County,11/6/2018,General Election,,,102,2522,Commissioner of the General Land Office,George P. Bush,REP,340,224
San Patricio County,11/6/2018,General Election,,,102,2522,Commissioner of the General Land Office,Miguel Suazo,DEM,274,239
San Patricio County,11/6/2018,General Election,,,102,2522,Commissioner of the General Land Office,Matt Pina,LIB,24,15
San Patricio County,11/6/2018,General Election,,,102,2522,Commissioner of Agriculture,Sid Miller,REP,336,216
San Patricio County,11/6/2018,General Election,,,102,2522,Commissioner of Agriculture,Kim Olson,DEM,291,249
San Patricio County,11/6/2018,General Election,,,102,2522,Commissioner of Agriculture,Richard Carpenter,LIB,9,10
San Patricio County,11/6/2018,General Election,,,102,2522,Railroad Commissioner,Christi Craddick,REP,338,207
San Patricio County,11/6/2018,General Election,,,102,2522,Railroad Commissioner,Roman McAllen,DEM,291,250
San Patricio County,11/6/2018,General Election,,,102,2522,Railroad Commissioner,Mike Wright,LIB,9,14
San Patricio County,11/6/2018,General Election,,,102,2522,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,349,215
