Contest	PrecinctName	VotingType	Choice	Party	Votes	VotesPercent	TotalVotes	TotalVotesPercent	CastTotal	CastTotalPercent	MainTotal	MainTotalPercent	UnderVotes	TotalUnderVotes	OverVotes	TotalOverVotes	InvalidVotes	TotalInvalidVotes	RejectedWriteInVotes	TotalRejectedWriteInVotes	UnresolvedWriteInVotes	TotalUnresolvedWriteInVotes
Straight Party	Precinct 1 - Wallisville	Absentee Voting	Republican Party REP	REP	4	66.67%	169	82.04%	6	100.00%	206	100.00%	15	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Early Voting	Republican Party REP	REP	109	87.90%	169	82.04%	124	100.00%	206	100.00%	69	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Election Day Voting	Republican Party REP	REP	56	73.68%	169	82.04%	76	100.00%	206	100.00%	65	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Absentee Voting	Democratic Party DEM	DEM	2	33.33%	35	16.99%	6	100.00%	206	100.00%	15	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Early Voting	Democratic Party DEM	DEM	14	11.29%	35	16.99%	124	100.00%	206	100.00%	69	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Election Day Voting	Democratic Party DEM	DEM	19	25.00%	35	16.99%	76	100.00%	206	100.00%	65	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Absentee Voting	Libertarian Party LIB	LIB	0	0.00%	2	0.97%	6	100.00%	206	100.00%	15	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Early Voting	Libertarian Party LIB	LIB	1	0.81%	2	0.97%	124	100.00%	206	100.00%	69	149	0	0	0	0	0	0	0	0
Straight Party	Precinct 1 - Wallisville	Election Day Voting	Libertarian Party LIB	LIB	1	1.32%	2	0.97%	76	100.00%	206	100.00%	65	149	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Absentee Voting	Ted Cruz	REP	17	80.95%	290	82.62%	21	100.00%	351	100.00%	0	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Early Voting	Ted Cruz	REP	173	89.64%	290	82.62%	193	100.00%	351	100.00%	0	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Election Day Voting	Ted Cruz	REP	100	72.99%	290	82.62%	137	100.00%	351	100.00%	4	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Absentee Voting	Beto O'Rourke	DEM	4	19.05%	58	16.52%	21	100.00%	351	100.00%	0	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Early Voting	Beto O'Rourke	DEM	19	9.84%	58	16.52%	193	100.00%	351	100.00%	0	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Election Day Voting	Beto O'Rourke	DEM	35	25.55%	58	16.52%	137	100.00%	351	100.00%	4	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Absentee Voting	Neal M. Dikeman	LIB	0	0.00%	3	0.85%	21	100.00%	351	100.00%	0	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Early Voting	Neal M. Dikeman	LIB	1	0.52%	3	0.85%	193	100.00%	351	100.00%	0	4	0	0	0	0	0	0	0	0
United States Senator	Precinct 1 - Wallisville	Election Day Voting	Neal M. Dikeman	LIB	2	1.46%	3	0.85%	137	100.00%	351	100.00%	4	4	0	0	0	0	0	0	0	0
"United States Representative, District No. 36"	Precinct 1 - Wallisville	Absentee Voting	Brian Babin	REP	16	80.00%	289	82.81%	20	100.00%	349	100.00%	1	6	0	0	0	0	0	0	0	0
