id,poltical_subdivision,election_date,election_name,Precinct_name,Split_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
1,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,31,2,Straight Party,,1,1,Republican Party,C,1,REP,314,182,115,1,0,0,0,0,241,142,85,1,73,40,30,0
2,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,31,2,Straight Party,,1,2,Democratic Party,C,2,DEM,314,14,115,1,0,0,0,0,241,12,85,1,73,2,30,0
3,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,31,2,Straight Party,,1,3,Libertarian Party,C,3,LIB,314,2,115,1,0,0,0,0,241,1,85,1,73,1,30,0
4,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,32,3,United States Senator,,1,1,Ted Cruz,C,1,REP,314,283,1,0,0,0,0,0,241,221,0,0,73,62,1,0
5,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,32,3,United States Senator,,1,2,Beto O'Rourke,C,2,DEM,314,29,1,0,0,0,0,0,241,19,0,0,73,10,1,0
6,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,32,3,United States Senator,,1,4,Neal M. Dikeman,C,3,LIB,314,1,1,0,0,0,0,0,241,1,0,0,73,0,1,0
7,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,2,4,"United States Representative, District 19",,1,1,Jodey Arrington,C,1,REP,314,283,1,0,0,0,0,0,241,220,0,0,73,63,1,0
8,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,2,4,"United States Representative, District 19",,1,2,Miguel Levario,C,2,DEM,314,30,1,0,0,0,0,0,241,21,0,0,73,9,1,0
9,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,3,5,Governor,,1,1,Greg Abbott,C,1,REP,314,284,1,0,0,0,0,0,241,221,1,0,73,63,0,0
10,SHACKELFORD COUNTY,11/6/18,GENERAL ELECTION,101,,1,3,1,1,538,0.58,3,5,Governor,,1,2,Lupe Valdez,C,2,DEM,314,27,1,0,0,0,0,0,241,18,1,0,73,9,0,0
