01860032128000086   ISDEDGEEdgewood ISD Position 1                                 UNDER VOTES                                                                                  01 
01870011013000099NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011026000000NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011029000226NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011030000003NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011031000176NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011032000228NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011035000000NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011088000098NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011090000000NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011096000003NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012011000240NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012012000132NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012015000195NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012016000121NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012017000101NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012019000159NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012020000235NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012021000306NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012022000164NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012030000054NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012043000223NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012074000089NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012089000024NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012128000069NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870021013000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021026000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021029000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021030000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021031000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021032000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021035000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021088000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021090000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021096000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022011000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022012000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022015000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022016000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022017000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022019000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022020000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022021000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022022000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022030000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022043000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022074000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022089000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022128000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870031013000151   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031026000000   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031029000272   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031030000005   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031031000217   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031032000314   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031035000000   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031088000118   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031090000000   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031096000003   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032011000267   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032012000158   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032015000218   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032016000152   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032017000136   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032019000192   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032020000347   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032021000391   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
