political_subdivision,election_date,election_name,total_provisional_ballots,total_provisional_ballots_counted,precinct_number,reg_voters,race_name,candidate_name,party_code,early_votes,election_votes
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,2,522,"Trustee, Position #5",Leonel G. Garza,ONA,87,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,2,2,2,522,"Trustee, Position #5",Leonel G. Garza,ONA,0,41
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,3,2656,"Trustee, Position #5",Leonel G. Garza,ONA,299,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,3,2656,"Trustee, Position #5",Leonel G. Garza,ONA,0,107
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,4,1696,"Trustee, Position #5",Leonel G. Garza,ONA,242,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,2,2,4,1696,"Trustee, Position #5",Leonel G. Garza,ONA,0,119
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,14,1,"Trustee, Position #5",Leonel G. Garza,ONA,0,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,14,1,"Trustee, Position #5",Leonel G. Garza,ONA,0,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,48,511,"Trustee, Position #5",Leonel G. Garza,ONA,56,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,48,511,"Trustee, Position #5",Leonel G. Garza,ONA,0,33
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,50,805,"Trustee, Position #5",Leonel G. Garza,ONA,82,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,50,805,"Trustee, Position #5",Leonel G. Garza,ONA,0,37
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,59,3,"Trustee, Position #5",Leonel G. Garza,ONA,1,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,59,3,"Trustee, Position #5",Leonel G. Garza,ONA,0,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,1,1,65,3138,"Trustee, Position #5",Leonel G. Garza,ONA,374,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,65,3138,"Trustee, Position #5",Leonel G. Garza,ONA,0,164
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,66,4270,"Trustee, Position #5",Leonel G. Garza,ONA,619,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,3,3,66,4270,"Trustee, Position #5",Leonel G. Garza,ONA,0,258
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,67,80,"Trustee, Position #5",Leonel G. Garza,ONA,9,0
LOS FRESNOS CONS. ISD,11/6/2018,School Trustee Election,0,0,67,80,"Trustee, Position #5",Leonel G. Garza,ONA,0,5
