political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,partycode,early_votes,election_votes
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Straight Party,Republican Party,REP,1385,503
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Straight Party,Democratic Party,DEM,161,48
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Straight Party,Libertarian Party,LIB,5,4
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,United States Senator,Ted Cruz,REP,1790,636
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,United States Senator,Beto O'Rourke,DEM,279,90
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,United States Senator,Neal M. Dikeman,LIB,13,7
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"United States Representative, District 13",Mac Thornberry,REP,1784,647
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"United States Representative, District 13",Greg Sagan,DEM,262,67
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"United States Representative, District 13",Calvin DeWeese,LIB,22,14
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Governor,Greg Abbott,REP,1808,655
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Governor,Lupe Valdez,DEM,260,60
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Governor,Mark Jay Tippetts,LIB,12,13
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Lieutenant Governor,Dan Patrick,REP,1756,628
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Lieutenant Governor,Mike Collier,DEM,291,84
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Lieutenant Governor,Kerry Douglas McKennon,LIB,27,15
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Attorney General,Ken Paxton,REP,1750,630
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Attorney General,Justin Nelson,DEM,291,82
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Attorney General,Michael Ray Harris,LIB,33,13
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Comptroller of Public Accounts,Glenn Hegar,REP,1787,632
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Comptroller of Public Accounts,Joi Chevalier,DEM,251,67
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Comptroller of Public Accounts,Ben Sanders,LIB,36,24
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Commissioner of the General Land Office,George P. Bush,REP,1749,631
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Commissioner of the General Land Office,Miguel Suazo,DEM,255,68
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Commissioner of the General Land Office,Matt Pina,LIB,62,25
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Commissioner of Agriculture,Sid Miller,REP,1759,625
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Commissioner of Agriculture,Kim Olson,DEM,282,83
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Commissioner of Agriculture,Richard Carpenter,LIB,33,14
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Railroad Commissioner,Christi Craddick,REP,1776,638
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Railroad Commissioner,Roman McAllen,DEM,259,67
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,Railroad Commissioner,Mike Wright,LIB,31,18
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,1791,642
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,279,80
Randall County,11/6/2018,General Election,20,10,110 CISD,4916,"Justice, Supreme Court, Place 4",John Devine,REP,1795,640
