#Precinct,Precinct ID,Precinct Reporting,Registered Voters,Ballots Cast,Turnout Percentage,Contest Title,Contest ID,Contest Party,Choice Name,Choice ID,Choice Party,Total Votes,Total Overvotes,Total Undervotes,Total Invalid Votes,Absentee Voting Votes,Absentee Voting Overvotes,Absentee Voting Undervotes,Absentee Voting Invalid Votes,Early Voting Votes,Early Voting Overvotes,Early Voting Undervotes,Early Voting Invalid Votes,Election Day Voting Votes,Election Day Voting Overvotes,Election Day Voting Undervotes,Election Day Voting Invalid Votes
101 - BISD,0,Reporting,1774,1024,57.72,Straight Party,0,,Republican Party    REP,0,REP,662,0,259,,31,0,19,,487,0,198,,144,0,42,
101 - BISD,0,Reporting,1774,1024,57.72,Straight Party,0,,Democratic Party   DEM,0,DEM,101,0,259,,2,0,19,,71,0,198,,28,0,42,
101 - BISD,0,Reporting,1774,1024,57.72,Straight Party,0,,Libertarian Party    LIB,0,LIB,2,0,259,,0,0,19,,2,0,198,,0,0,42,
101 - BISD,0,Reporting,1774,1024,57.72,United States Senator,0,,Ted Cruz,0,REP,824,0,5,,39,0,1,,615,0,2,,170,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,United States Senator,0,,Beto O'Rourke,0,DEM,185,0,5,,10,0,1,,136,0,2,,39,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,United States Senator,0,,Neal M. Dikeman,0,LIB,10,0,5,,2,0,1,,5,0,2,,3,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,"United States Representative,
District No. 21",0,,Chip Roy,0,REP,805,0,12,,37,0,1,,601,0,9,,167,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,"United States Representative,
District No. 21",0,,Joseph Kopser,0,DEM,190,0,12,,13,0,1,,138,0,9,,39,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,"United States Representative,
District No. 21",0,,Lee Santos,0,LIB,17,0,12,,1,0,1,,10,0,9,,6,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,Governor,0,,Greg Abbott,0,REP,845,0,4,,41,0,1,,628,0,1,,176,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,Governor,0,,Lupe Valdez,0,DEM,164,0,4,,10,0,1,,121,0,1,,33,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,Governor,0,,Mark Jay Tippetts,0,LIB,11,0,4,,0,0,1,,8,0,1,,3,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,Lieutenant Governor,0,,Dan Patrick,0,REP,810,0,6,,38,0,1,,602,0,2,,170,0,3,
101 - BISD,0,Reporting,1774,1024,57.72,Lieutenant Governor,0,,Mike Collier,0,DEM,189,0,6,,13,0,1,,138,0,2,,38,0,3,
101 - BISD,0,Reporting,1774,1024,57.72,Lieutenant Governor,0,,Kerry Douglas McKennon,0,LIB,19,0,6,,0,0,1,,16,0,2,,3,0,3,
101 - BISD,0,Reporting,1774,1024,57.72,Attorney General,0,,Ken Paxton,0,REP,801,0,11,,37,0,1,,594,0,7,,170,0,3,
101 - BISD,0,Reporting,1774,1024,57.72,Attorney General,0,,Justin Nelson,0,DEM,183,0,11,,14,0,1,,133,0,7,,36,0,3,
101 - BISD,0,Reporting,1774,1024,57.72,Attorney General,0,,Michael Ray Harris,0,LIB,29,0,11,,0,0,1,,24,0,7,,5,0,3,
101 - BISD,0,Reporting,1774,1024,57.72,Comptroller of Public Accounts,0,,Glenn Hegar,0,REP,810,0,11,,38,0,1,,603,0,8,,169,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,Comptroller of Public Accounts,0,,Joi Chevalier,0,DEM,172,0,11,,13,0,1,,123,0,8,,36,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,Comptroller of Public Accounts,0,,Ben Sanders,0,LIB,31,0,11,,0,0,1,,24,0,8,,7,0,2,
101 - BISD,0,Reporting,1774,1024,57.72,"Commissioner of the General
Land Office",0,,George P. Bush,0,REP,798,0,8,,41,0,1,,593,0,6,,164,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,"Commissioner of the General
Land Office",0,,Miguel Suazo,0,DEM,168,0,8,,10,0,1,,119,0,6,,39,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,"Commissioner of the General
Land Office",0,,Matt Piña,0,LIB,50,0,8,,0,0,1,,40,0,6,,10,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,Commissioner of Agriculture,0,,Sid Miller,0,REP,795,0,6,,38,0,0,,593,0,5,,164,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,Commissioner of Agriculture,0,,Kim Olson,0,DEM,194,0,6,,13,0,0,,139,0,5,,42,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,Commissioner of Agriculture,0,,Richard Carpenter,0,LIB,29,0,6,,1,0,0,,21,0,5,,7,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,Railroad Commissioner,0,,Christi Craddick,0,REP,826,0,8,,39,0,1,,617,0,6,,170,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,Railroad Commissioner,0,,Roman McAllen,0,DEM,165,0,8,,12,0,1,,118,0,6,,35,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,Railroad Commissioner,0,,Mike Wright,0,LIB,25,0,8,,0,0,1,,17,0,6,,8,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,"Justice, Supreme Court, Place 2",0,,Jimmy Blacklock,0,REP,828,0,8,,38,0,1,,617,0,6,,173,0,1,
101 - BISD,0,Reporting,1774,1024,57.72,"Justice, Supreme Court, Place 2",0,,Steven Kirkland,0,DEM,188,0,8,,13,0,1,,135,0,6,,40,0,1,
