political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,,,,Absentee Voting Votes,Early Voting Votes
Gaines County,11/6/2018,General Election,2,1,2,8926,Straight Party,Republican Party    REP,REP,186,76,,,,9,177
Gaines County,11/6/2018,General Election,,,2,8926,Straight Party,Democratic Party   DEM,DEM,7,3,,,,1,6
Gaines County,11/6/2018,General Election,,,2,8926,Straight Party,Libertarian Party    LIB,LIB,0,0,,,,0,0
Gaines County,11/6/2018,General Election,,,2,8926,United States Senator,Ted Cruz,REP,223,88,,,,12,211
Gaines County,11/6/2018,General Election,,,2,8926,United States Senator,Beto O'Rourke,DEM,11,9,,,,2,9
Gaines County,11/6/2018,General Election,,,2,8926,United States Senator,Neal M. Dikeman,LIB,1,0,,,,0,1
Gaines County,11/6/2018,General Election,,,2,8926,"United States Representative,
District No. 19",Jodey Arrington,REP,222,87,,,,12,210
Gaines County,11/6/2018,General Election,,,2,8926,"United States Representative,
District No. 19",Miguel Levario,DEM,9,9,,,,2,7
Gaines County,11/6/2018,General Election,,,2,8926,Governor,Greg Abbott,REP,221,89,,,,12,209
Gaines County,11/6/2018,General Election,,,2,8926,Governor,Lupe Valdez,DEM,9,7,,,,2,7
Gaines County,11/6/2018,General Election,,,2,8926,Governor,Mark Jay Tippetts,LIB,3,2,,,,0,3
Gaines County,11/6/2018,General Election,,,2,8926,Lieutenant Governor,Dan Patrick,REP,214,84,,,,12,202
Gaines County,11/6/2018,General Election,,,2,8926,Lieutenant Governor,Mike Collier,DEM,14,10,,,,2,12
Gaines County,11/6/2018,General Election,,,2,8926,Lieutenant Governor,Kerry Douglas McKennon,LIB,3,0,,,,0,3
Gaines County,11/6/2018,General Election,,,2,8926,Attorney General,Ken Paxton,REP,216,84,,,,12,204
Gaines County,11/6/2018,General Election,,,2,8926,Attorney General,Justin Nelson,DEM,13,10,,,,2,11
Gaines County,11/6/2018,General Election,,,2,8926,Attorney General,Michael Ray Harris,LIB,2,0,,,,0,2
Gaines County,11/6/2018,General Election,,,2,8926,Comptroller of Public Accounts,Glenn Hegar,REP,219,86,,,,12,207
Gaines County,11/6/2018,General Election,,,2,8926,Comptroller of Public Accounts,Joi Chevalier,DEM,8,9,,,,2,6
Gaines County,11/6/2018,General Election,,,2,8926,Comptroller of Public Accounts,Ben Sanders,LIB,4,0,,,,0,4
Gaines County,11/6/2018,General Election,,,2,8926,"Commissioner of the General
Land Office",George P. Bush,REP,210,85,,,,10,200
Gaines County,11/6/2018,General Election,,,2,8926,"Commissioner of the General
Land Office",Miguel Suazo,DEM,11,10,,,,2,9
Gaines County,11/6/2018,General Election,,,2,8926,"Commissioner of the General
Land Office",Matt Piña,LIB,6,1,,,,2,4
Gaines County,11/6/2018,General Election,,,2,8926,Commissioner of Agriculture,Sid Miller,REP,216,84,,,,12,204
Gaines County,11/6/2018,General Election,,,2,8926,Commissioner of Agriculture,Kim Olson,DEM,12,11,,,,2,10
Gaines County,11/6/2018,General Election,,,2,8926,Commissioner of Agriculture,Richard Carpenter,LIB,4,0,,,,0,4
Gaines County,11/6/2018,General Election,,,2,8926,Railroad Commissioner,Christi Craddick,REP,218,86,,,,12,206
