"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)"
"Straight Party, Vote For 1","Republican Party","412","94","506","77.85%","Republican Party","28","384","94","506","77.85%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Democratic Party","99","40","139","21.38%","Democratic Party","12","87","40","139","21.38%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Libertarian Party","3","2","5","0.77%","Libertarian Party","0","3","2","5","0.77%","Cast Votes:","514","45.45%","136","44.44%","650","Over Votes:","0","0","0","0.00%","Under Votes:","617","170","787","54.77%","Cast Votes:","40","474","136","44.44%","650","45.23%","Over Votes:","0","0","0","0","0.00%","Under Votes:","40","577","170","787","54.77%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","United States Senator, Vote For 1","Ted Cruz","880","221","1,101","77.75%","Ted Cruz","56","824","221","1,101","77.75%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Beto O'Rourke","228","79","307","21.68%","Beto O'Rourke","22","206","79","307","21.68%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Neal M. Dikeman","5","3","8","0.56%","Neal M. Dikeman","0","5","3","8","0.56%","Cast Votes:","1,113","98.32%","303","99.02%","1,416","Over Votes:","0","0","0","0.00%","Under Votes:","19","3","22","1.53%","Cast Votes:","78","1,035","303","99.02%","1,416","98.47%","Over Votes:","0","0","0","0","0.00%","Under Votes:","3","16","3","22","1.53%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","United States Representative, District 27, Vote For 1","Michael Cloud","849","208","1,057","75.34%","Michael Cloud","54","795","208","1,057","75.34%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Eric Holguin","185","61","246","17.53%","Eric Holguin","22","163","61","246","17.53%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Daniel Tinus","58","27","85","6.06%","Daniel Tinus","1","57","27","85","6.06%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","James Duerr","12","3","15","1.07%","James Duerr","0","12","3","15","1.07%","Cast Votes:","1,104","97.53%","299","97.71%","1,403","Over Votes:","0","0","0","0.00%","Under Votes:","28","7","35","2.43%","Cast Votes:","77","1,027","299","97.71%","1,403","97.57%","Over Votes:","0","0","0","0","0.00%","Under Votes:","4","24","7","35","2.43%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Governor, Vote For 1","Greg Abbott","921","236","1,157","81.42%","Greg Abbott","60","861","236","1,157","81.42%"
"","","Page 1 of 1","11/14/2018 11:24 AM","","","","","Party","Candidate","","","","Total","Party","Candidate","","","Total","Precinct 1A  (Ballots Cast: 1,438)","Lupe Valdez","191","60","251","17.66%","Lupe Valdez","19","172","60","251","17.66%"
