01860032128000134   ISDEDGEEdgewood ISD Position 1                                 UNDER VOTES                                                                                  01 
01870011013000132NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011026000000NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011029000322NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011030000005NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011031000235NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011032000350NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011035000000NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011088000151NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011090000000NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870011096000003NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012011000326NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012012000203NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012015000265NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012016000164NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012017000146NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012019000239NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012020000342NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012021000396NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012022000223NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012030000079NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012043000306NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012074000130NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012089000028NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870012128000102NONISDEDGEEdgewood ISD Position 2                                 Stella D. Camacho                                                                            01 
01870021013000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021026000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021029000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021030000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021031000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021032000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021035000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021088000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021090000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870021096000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022011000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022012000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022015000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022016000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022017000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022019000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022020000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022021000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022022000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022030000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022043000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022074000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022089000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870022128000000   ISDEDGEEdgewood ISD Position 2                                 OVER VOTES                                                                                   01 
01870031013000198   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031026000000   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031029000391   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031030000011   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031031000305   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031032000477   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031035000000   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031088000194   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031090000000   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870031096000006   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032011000373   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032012000256   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032015000312   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032016000217   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032017000192   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032019000311   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032020000495   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032021000531   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032022000300   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032030000087   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032043000394   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032074000181   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032089000059   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
01870032128000129   ISDEDGEEdgewood ISD Position 2                                 UNDER VOTES                                                                                  01 
