Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,TotalUnderVotes,OverVotes,TotalOverVotes,InvalidVotes,TotalInvalidVotes,RejectedWriteInVotes,TotalRejectedWriteInVotes,UnresolvedWriteInVotes,TotalUnresolvedWriteInVotes
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",013,Absentee Voting,Martin Castillo,,16,34.78%,706,52.77%,46,100.00%,1338,100.00%,11,436,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",013,Early Voting,Martin Castillo,,534,53.51%,706,52.77%,998,100.00%,1338,100.00%,328,436,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",013,Election Day,Martin Castillo,,156,53.06%,706,52.77%,294,100.00%,1338,100.00%,97,436,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",013,Absentee Voting,Sam B. Gonzalez,,30,65.22%,632,47.23%,46,100.00%,1338,100.00%,11,436,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",013,Early Voting,Sam B. Gonzalez,,464,46.49%,632,47.23%,998,100.00%,1338,100.00%,328,436,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",013,Election Day,Sam B. Gonzalez,,138,46.94%,632,47.23%,294,100.00%,1338,100.00%,97,436,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",014,Absentee Voting,Martin Castillo,,23,62.16%,231,48.63%,37,100.00%,475,100.00%,5,143,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",014,Early Voting,Martin Castillo,,142,46.25%,231,48.63%,307,100.00%,475,100.00%,94,143,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",014,Election Day,Martin Castillo,,66,50.38%,231,48.63%,131,100.00%,475,100.00%,44,143,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",014,Absentee Voting,Sam B. Gonzalez,,14,37.84%,244,51.37%,37,100.00%,475,100.00%,5,143,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",014,Early Voting,Sam B. Gonzalez,,165,53.75%,244,51.37%,307,100.00%,475,100.00%,94,143,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",014,Election Day,Sam B. Gonzalez,,65,49.62%,244,51.37%,131,100.00%,475,100.00%,44,143,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",019,Absentee Voting,Martin Castillo,,2,28.57%,39,56.52%,7,100.00%,69,100.00%,6,37,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",019,Early Voting,Martin Castillo,,19,63.33%,39,56.52%,30,100.00%,69,100.00%,17,37,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",019,Election Day,Martin Castillo,,18,56.25%,39,56.52%,32,100.00%,69,100.00%,14,37,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",019,Absentee Voting,Sam B. Gonzalez,,5,71.43%,30,43.48%,7,100.00%,69,100.00%,6,37,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",019,Early Voting,Sam B. Gonzalez,,11,36.67%,30,43.48%,30,100.00%,69,100.00%,17,37,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",019,Election Day,Sam B. Gonzalez,,14,43.75%,30,43.48%,32,100.00%,69,100.00%,14,37,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",030,Absentee Voting,Martin Castillo,,16,57.14%,725,56.46%,28,100.00%,1284,100.00%,1,325,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",030,Early Voting,Martin Castillo,,491,54.68%,725,56.46%,898,100.00%,1284,100.00%,228,325,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",030,Election Day,Martin Castillo,,218,60.89%,725,56.46%,358,100.00%,1284,100.00%,96,325,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",030,Absentee Voting,Sam B. Gonzalez,,12,42.86%,559,43.54%,28,100.00%,1284,100.00%,1,325,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",030,Early Voting,Sam B. Gonzalez,,407,45.32%,559,43.54%,898,100.00%,1284,100.00%,228,325,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",030,Election Day,Sam B. Gonzalez,,140,39.11%,559,43.54%,358,100.00%,1284,100.00%,96,325,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",031,Absentee Voting,Martin Castillo,,13,65.00%,279,53.04%,20,100.00%,526,100.00%,9,144,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",031,Early Voting,Martin Castillo,,187,51.37%,279,53.04%,364,100.00%,526,100.00%,97,144,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",031,Election Day,Martin Castillo,,79,55.63%,279,53.04%,142,100.00%,526,100.00%,38,144,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",031,Absentee Voting,Sam B. Gonzalez,,7,35.00%,247,46.96%,20,100.00%,526,100.00%,9,144,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",031,Early Voting,Sam B. Gonzalez,,177,48.63%,247,46.96%,364,100.00%,526,100.00%,97,144,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",031,Election Day,Sam B. Gonzalez,,63,44.37%,247,46.96%,142,100.00%,526,100.00%,38,144,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",043,Absentee Voting,Martin Castillo,,21,56.76%,665,55.65%,37,100.00%,1195,100.00%,5,394,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",043,Early Voting,Martin Castillo,,502,56.66%,665,55.65%,886,100.00%,1195,100.00%,259,394,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",043,Election Day,Martin Castillo,,142,52.21%,665,55.65%,272,100.00%,1195,100.00%,130,394,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",043,Absentee Voting,Sam B. Gonzalez,,16,43.24%,530,44.35%,37,100.00%,1195,100.00%,5,394,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",043,Early Voting,Sam B. Gonzalez,,384,43.34%,530,44.35%,886,100.00%,1195,100.00%,259,394,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",043,Election Day,Sam B. Gonzalez,,130,47.79%,530,44.35%,272,100.00%,1195,100.00%,130,394,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",052,Absentee Voting,Martin Castillo,,26,45.61%,837,51.96%,57,100.00%,1611,100.00%,28,540,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",052,Early Voting,Martin Castillo,,615,50.49%,837,51.96%,1218,100.00%,1611,100.00%,384,540,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",052,Election Day,Martin Castillo,,196,58.33%,837,51.96%,336,100.00%,1611,100.00%,128,540,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",052,Absentee Voting,Sam B. Gonzalez,,31,54.39%,774,48.04%,57,100.00%,1611,100.00%,28,540,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",052,Early Voting,Sam B. Gonzalez,,603,49.51%,774,48.04%,1218,100.00%,1611,100.00%,384,540,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",052,Election Day,Sam B. Gonzalez,,140,41.67%,774,48.04%,336,100.00%,1611,100.00%,128,540,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",053,Absentee Voting,Martin Castillo,,36,64.29%,1101,56.12%,56,100.00%,1962,100.00%,16,470,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",053,Early Voting,Martin Castillo,,761,54.51%,1101,56.12%,1396,100.00%,1962,100.00%,325,470,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",053,Election Day,Martin Castillo,,304,59.61%,1101,56.12%,510,100.00%,1962,100.00%,129,470,0,0,0,0,0,0,0,0
"For South Texas I.S.D. School Board Trustee, Hidalgo County Commissioners' Pct. #4",053,Absentee Voting,Sam B. Gonzalez,,20,35.71%,861,43.88%,56,100.00%,1962,100.00%,16,470,0,0,0,0,0,0,0,0
