Political_Subdivision,Election_Date,Election_Name,Total_Provisional_Ballots_Counted,Precinct_name,Reporting_flag,Update_count,Pct_Id,Pct_seq_nbr,Reg_voters,Turn_Out,Contest_Id,Contest_seq_nbr,Contest_title,Contest_party_name,Selectable_Options,candidate_id,candidate_name,Candidate_Type,cand_seq_nbr,Party_Code,total_ballots,total_votes,total_under_votes,total_over_votes,absentee_ballots,absentee_votes,absentee_under_votes,absentee_over_votes,early_ballots,early_votes,early_under_votes,early_over_votes,election_ballots,election_votes,election_under_votes,election_over_votes
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,2,2,Straight Party,,1,1,Republican,C,1,REP,225,56,83,0,0,0,0,0,63,15,23,0,162,41,60,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,2,2,Straight Party,,1,2,Democratic,C,2,DEM,225,86,83,0,0,0,0,0,63,25,23,0,162,61,60,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,2,2,Straight Party,,1,3,Libertarian,C,3,LIB,225,0,83,0,0,0,0,0,63,0,23,0,162,0,60,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,3,3,United States Senator,,1,1,Ted Cruz,C,1,REP,225,120,5,0,0,0,0,0,63,35,0,0,162,85,5,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,3,3,United States Senator,,1,2,Beto O'Rourke,C,2,DEM,225,99,5,0,0,0,0,0,63,27,0,0,162,72,5,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,3,3,United States Senator,,1,3,Neal M. Dikerman,C,3,LIB,225,1,5,0,0,0,0,0,63,1,0,0,162,0,5,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,4,4,"United States Representative, District 19",,1,1,Jodey Arrington,C,1,REP,225,111,8,0,0,0,0,0,63,33,3,0,162,78,5,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,4,4,"United States Representative, District 19",,1,2,Miguel Levario,C,2,DEM,225,106,8,0,0,0,0,0,63,27,3,0,162,79,5,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,5,5,Governor,,1,1,Greg Abbott,C,1,REP,225,119,3,0,0,0,0,0,63,35,0,0,162,84,3,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,5,5,Governor,,1,2,Lupe Valdez,C,2,DEM,225,102,3,0,0,0,0,0,63,27,0,0,162,75,3,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,5,5,Governor,,1,3,Mark Jay Tippetts,C,3,LIB,225,1,3,0,0,0,0,0,63,1,0,0,162,0,3,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,6,6,Lieutenant Governor,,1,1,Dan Patrick,C,1,REP,225,100,10,0,0,0,0,0,63,32,1,0,162,68,9,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,6,6,Lieutenant Governor,,1,2,Mike Collier,C,2,DEM,225,109,10,0,0,0,0,0,63,27,1,0,162,82,9,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,6,6,Lieutenant Governor,,1,3,Kerry Douglas McKennon,C,3,LIB,225,6,10,0,0,0,0,0,63,3,1,0,162,3,9,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,7,7,Attorney General,,1,1,Ken Paxton,C,1,REP,225,111,5,0,0,0,0,0,63,32,1,0,162,79,4,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,7,7,Attorney General,,1,2,Justin Nelson,C,2,DEM,225,108,5,0,0,0,0,0,63,29,1,0,162,79,4,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,7,7,Attorney General,,1,3,Michael Ray Harris,C,3,LIB,225,1,5,0,0,0,0,0,63,1,1,0,162,0,4,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,8,8,Comptroller of Public Accounts,,1,1,Glenn Hegar,C,1,REP,225,112,3,0,0,0,0,0,63,35,0,0,162,77,3,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,8,8,Comptroller of Public Accounts,,1,2,Joi Chevalier,C,2,DEM,225,106,3,0,0,0,0,0,63,28,0,0,162,78,3,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,8,8,Comptroller of Public Accounts,,1,3,Ben Sanders,C,3,LIB,225,4,3,0,0,0,0,0,63,0,0,0,162,4,3,0
Castro County,11/6/2018,General Election,0,101,1,3,1,1,715,0.31,9,9,Commissioner of the General Land Office,,1,1,George P. Bush,C,1,REP,225,110,10,0,0,0,0,0,63,32,4,0,162,78,6,0
