Contest,PrecinctName,VotingType,Choice,Party,Votes,VotesPercent,TotalVotes,TotalVotesPercent,CastTotal,CastTotalPercent,MainTotal,MainTotalPercent,UnderVotes,TotalUnderVotes,OverVotes,TotalOverVotes,InvalidVotes,TotalInvalidVotes,RejectedWriteInVotes,TotalRejectedWriteInVotes,UnresolvedWriteInVotes,TotalUnresolvedWriteInVotes
Straight Party - Vote for One,121,Absentee Voting,Republican Party,REP,70,84.34%,684,83.01%,83,100.00%,824,100.00%,37,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Early Voting,Republican Party,REP,454,83.46%,684,83.01%,544,100.00%,824,100.00%,258,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Election Day Voting,Republican Party,REP,160,81.22%,684,83.01%,197,100.00%,824,100.00%,107,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Absentee Voting,Democratic Party,DEM,13,15.66%,135,16.38%,83,100.00%,824,100.00%,37,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Early Voting,Democratic Party,DEM,87,15.99%,135,16.38%,544,100.00%,824,100.00%,258,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Election Day Voting,Democratic Party,DEM,35,17.77%,135,16.38%,197,100.00%,824,100.00%,107,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Absentee Voting,Libertarian Party,LIB,0,0.00%,5,0.61%,83,100.00%,824,100.00%,37,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Early Voting,Libertarian Party,LIB,3,0.55%,5,0.61%,544,100.00%,824,100.00%,258,402,0,0,0,0,0,0,0,0
Straight Party - Vote for One,121,Election Day Voting,Libertarian Party,LIB,2,1.02%,5,0.61%,197,100.00%,824,100.00%,107,402,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Absentee Voting,Ted Cruz,REP,93,77.50%,959,78.61%,120,100.00%,1220,100.00%,0,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Early Voting,Ted Cruz,REP,629,78.92%,959,78.61%,797,100.00%,1220,100.00%,5,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Election Day Voting,Ted Cruz,REP,237,78.22%,959,78.61%,303,100.00%,1220,100.00%,1,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Absentee Voting,Beto O'Rourke,DEM,27,22.50%,253,20.74%,120,100.00%,1220,100.00%,0,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Early Voting,Beto O'Rourke,DEM,164,20.58%,253,20.74%,797,100.00%,1220,100.00%,5,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Election Day Voting,Beto O'Rourke,DEM,62,20.46%,253,20.74%,303,100.00%,1220,100.00%,1,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Absentee Voting,Neal M. Dikeman,LIB,0,0.00%,8,0.66%,120,100.00%,1220,100.00%,0,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Early Voting,Neal M. Dikeman,LIB,4,0.50%,8,0.66%,797,100.00%,1220,100.00%,5,6,0,0,0,0,0,0,0,0
United States Senator - Vote for One,121,Election Day Voting,Neal M. Dikeman,LIB,4,1.32%,8,0.66%,303,100.00%,1220,100.00%,1,6,0,0,0,0,0,0,0,0
"United States Representative, District 13 - Vote for One",121,Absentee Voting,Mac Thornberry,REP,96,80.67%,994,81.48%,119,100.00%,1220,100.00%,1,6,0,0,0,0,0,0,0,0
"United States Representative, District 13 - Vote for One",121,Early Voting,Mac Thornberry,REP,643,80.68%,994,81.48%,797,100.00%,1220,100.00%,5,6,0,0,0,0,0,0,0,0
"United States Representative, District 13 - Vote for One",121,Election Day Voting,Mac Thornberry,REP,255,83.88%,994,81.48%,304,100.00%,1220,100.00%,0,6,0,0,0,0,0,0,0,0
"United States Representative, District 13 - Vote for One",121,Absentee Voting,Greg Sagan,DEM,20,16.81%,203,16.64%,119,100.00%,1220,100.00%,1,6,0,0,0,0,0,0,0,0
