political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,,,,Absentee Voting Votes,Early Voting Votes
City Of Seagraves,11/6/2018,Municipal Election,3,,7 - Seagraves,669,"CITY OF SEAGRAVES
PROPOSITION A",For,,63,47,,,,1,62
City Of Seagraves,11/6/2018,Municipal Election,,,7 - Seagraves,669,"CITY OF SEAGRAVES
PROPOSITION A",Against,,16,14,,,,0,16
City Of Seagraves,11/6/2018,Municipal Election,1,,8 - Seagraves,724,"CITY OF SEAGRAVES
PROPOSITION A",For,,146,57,,,,8,138
City Of Seagraves,11/6/2018,Municipal Election,,,8 - Seagraves,724,"CITY OF SEAGRAVES
PROPOSITION A",Against,,36,14,,,,4,32
