political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precinct_number,reg_voters,race_name,candidate_name,party code,early_votes,election_votes,Absentee Voting Votes,Early Voting Votes
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Straight Party,Republican Party    REP,REP,55,44,3,52
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Straight Party,Democratic Party   DEM,DEM,115,108,9,106
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Straight Party,Libertarian Party    LIB,LIB,0,3,0,0
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,United States Senator,Ted Cruz,REP,105,109,7,98
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,United States Senator,Beto O'Rourke,DEM,195,188,13,182
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,United States Senator,Neal M. Dikeman,LIB,1,4,1,0
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"United States Representative,
District No. 28",Henry Cuellar,DEM,256,262,18,238
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"United States Representative,
District No. 28",Arthur Thomas IV,LIB,12,13,1,11
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Governor,Greg Abbott,REP,106,124,7,99
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Governor,Lupe Valdez,DEM,188,162,13,175
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Governor,Mark Jay Tippetts,LIB,2,3,1,1
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Lieutenant Governor,Dan Patrick,REP,97,98,6,91
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Lieutenant Governor,Mike Collier,DEM,190,174,14,176
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Lieutenant Governor,Kerry Douglas McKennon,LIB,3,6,0,3
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Attorney General,Ken Paxton,REP,88,85,2,86
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Attorney General,Justin Nelson,DEM,196,184,15,181
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Attorney General,Michael Ray Harris,LIB,6,13,2,4
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Comptroller of Public Accounts,Glenn Hegar,REP,94,89,4,90
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Comptroller of Public Accounts,Joi Chevalier,DEM,180,169,14,166
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Comptroller of Public Accounts,Ben Sanders,LIB,13,19,1,12
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Commissioner of the General
Land Office",George P. Bush,REP,113,111,4,109
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Commissioner of the General
Land Office",Miguel Suazo,DEM,179,163,16,163
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Commissioner of the General
Land Office",Matt Piña,LIB,1,9,0,1
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Commissioner of Agriculture,Sid Miller,REP,88,89,3,85
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Commissioner of Agriculture,Kim Olson,DEM,195,176,16,179
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Commissioner of Agriculture,Richard Carpenter,LIB,7,7,1,6
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Railroad Commissioner,Christi Craddick,REP,92,88,4,88
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Railroad Commissioner,Roman McAllen,DEM,192,171,15,177
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,Railroad Commissioner,Mike Wright,LIB,3,9,0,3
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Justice, Supreme Court, Place 2",Jimmy Blacklock,REP,92,94,4,88
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Justice, Supreme Court, Place 2",Steven Kirkland,DEM,196,176,15,181
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Justice, Supreme Court, Place 4",John Devine,REP,96,94,6,90
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Justice, Supreme Court, Place 4",R.K. Sandill,DEM,191,175,13,178
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Justice, Supreme Court, Place 6",Jeff Brown,REP,100,92,6,94
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Justice, Supreme Court, Place 6",Kathy Cheng,DEM,186,175,14,172
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Presiding Judge, Court of
Criminal Appeals",Sharon Keller,REP,89,87,3,86
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Presiding Judge, Court of
Criminal Appeals",Maria T. (Terri) Jackson,DEM,198,182,17,181
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Presiding Judge, Court of
Criminal Appeals",William Bryan Strange III,LIB,3,5,0,3
Zapata County Courthouse,11/6/2018,General Eelction,4,2,1,1753,"Judge, Court of Criminal Appeals,
Place 7",Barbara Parker Hervey,REP,95,89,5,90
