political_subdivision,election_date,election_name,total provisional ballots,total provisional ballots counted,precint_number,reg_voters,race_name,candidate_name,Choice ID,party code,early_votes,election_votes
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,United States Senator,Stefano de Stefano,0,,9,10
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,United States Senator,Ted Cruz,0,,357,272
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,United States Senator,Geraldine Sam,0,,3,1
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,United States Senator,Mary Miller,0,,18,11
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,United States Senator,"Bruce Jacobson, Jr.",0,,14,7
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,United States Representative District 11,Mike Conaway,0,,333,231
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,United States Representative District 11,Paul Myers,0,,52,46
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Governor,Greg Abbott,0,,367,279
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Governor,Barbara Krueger,0,,21,18
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Governor,SECEDE Kilgore,0,,8,4
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Lieutenant Governor,Dan Patrick,0,,307,202
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Lieutenant Governor,Scott Milder,0,,82,86
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Attorney General,Ken Paxton,0,,348,253
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Comptroller of Public Accounts,Glenn Hegar,0,,340,247
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Commissioner of the General Land Office,Rick Range,0,,41,21
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Commissioner of the General Land Office,Davey Edwards,0,,32,20
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Commissioner of the General Land Office,Jerry Patterson,0,,75,48
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Commissioner of the General Land Office,George P. Bush,0,,221,180
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Commissioner of Agriculture,Sid Miller,0,,265,176
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Commissioner of Agriculture,Trey Blocker,0,,42,18
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Commissioner of Agriculture,Jim Hogan,0,,56,61
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Railroad Commissioner,Christi Craddick,0,,288,193
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Railroad Commissioner,Weston Martinez,0,,55,49
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Justice, Supreme Court, Place 2",Jimmy Blacklock,0,,321,241
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Justice, Supreme Court, Place 4",John Devine,0,,320,242
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Justice, Supreme Court, Place 6",Jeff Brown,0,,317,234
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Presiding Judge, Court of Criminal Appeals",David Bridges,0,,212,156
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Presiding Judge, Court of Criminal Appeals",Sharon Keller,0,,128,87
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Judge, Court of Criminal Appeals, Place 7",Barbara Parker Hervey,0,,318,230
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Judge, Court of Criminal Appeals, Place 8",Michelle Slaughter,0,,196,137
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Judge, Court of Criminal Appeals, Place 8",Jay Brandon,0,,100,79
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Judge, Court of Criminal Appeals, Place 8",Dib Waldrip,0,,29,14
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"State Representative, District 60",Jim Largent,0,,149,101
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"State Representative, District 60",Mike Lang,0,,248,195
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"State Representative, District 60",Gregory Risse,0,,7,6
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,"Chief Justice, 11th Court of Appeals District",John Bailey,0,,363,258
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,Criminal District Attorney,Russell (Russ) D. Thomason,0,,354,274
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,County Judge,James R. King,0,,111,63
eastland county,3/6/2018,2018 joint primary,12,1,1,2698,County Judge,Paul W. Lewallen,0,,29,43
