political_subdivision,election_date,election_name,number provisional ballots,number provisional ballots counted,precinct_number,Precinct_name,REP Ballots Cast,DEM Ballots Cast,race_name,p,election_votes,Party_Code,candidate_name,early_votes,absentee,Early Voting Votes
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,United States Senator,,3,REP,"Bruce Jacobson, Jr.",17,1,16
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,United States Senator,,2,REP,Geraldine Sam,3,1,2
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,United States Senator,,14,REP,Mary Miller,12,0,12
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,United States Senator,,4,REP,Stefano de Stefano,4,0,4
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,United States Senator,,177,REP,Ted Cruz,183,21,162
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,"United States Representative, District No. 8",,189,REP,Kevin Brady,206,19,187
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Governor,,18,REP,Barbara Krueger,29,1,28
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Governor,,177,REP,Greg Abbott,181,22,159
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Governor,,2,REP,SECEDE Kilgore,4,0,4
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Lieutenant Governor,,125,REP,Dan Patrick,132,20,112
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Lieutenant Governor,,73,REP,Scott Milder,90,1,89
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Attorney General,,186,REP,Ken Paxton,199,19,180
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Comptroller of Public Accounts,,180,REP,Glenn Hegar,195,19,176
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Commissioner of the General Land Office,,14,REP,Davey Edwards,21,1,20
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Commissioner of the General Land Office,,117,REP,George P. Bush,128,13,115
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Commissioner of the General Land Office,,49,REP,Jerry Patterson,50,7,43
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Commissioner of the General Land Office,,5,REP,Rick Range,11,1,10
Madison County,3/6/18,03/06/2018--2018 MARCH 6TH REPUBLICAN PRIMARY,1,1,101,1763,452,23,Commissioner of Agriculture,,33,REP,Jim Hogan,57,1,56
